finding_id,task_id,source_id,scope,candidate_url,title,published_at_or_period,sector,entity_hint,decision,promoted_target_id,promoted_event_id,notes
SIF-026,CIS-SCALE-009,SRC-041,Zahle,https://today.lorientlejour.com/article/1480758/joe-saddi-in-zahle-state-authority-also-means-ending-water-and-electricity-violations.html,Joe Saddi in Zahle: State authority also means ending water and electricity violations,2025-10-11,water,MEW;EDL;BWE,candidate_only,,,Good policy/context source but no concrete complaint lifecycle or resolution event.
SIF-027,CIS-SCALE-010,SRC-038,Baladi Map,https://www.baladimap.com/en,Baladi Map public issue tracker and status model,2026-05-26 access check,public_space;waste;roads;water;electricity,MUN,access_checked_no_bulk_import,,,"Homepage exposes public issue tracker, map, scoreboard, municipality notification, and resolution tracking; site claims open data and email privacy. Terms/privacy links were visible but not retrievable through crawler, so bulk import remains blocked pending legal/API confirmation."
SIF-028,CIS-SCALE-010,SRC-038,Baladi Map latest issues,https://www.baladimap.com/en,Baladi Map latest issue examples,2026-05-26 access check,public_space;waste,MUN,manual_sampling_only,,,"Latest-issue cards show routeable civic shapes such as sidewalk closure, road hole, noise, garbage collection, and broken streetlights. Existing CIE-000012 and CIE-000013 cover seed shapes; future extraction should use issue detail pages or an authorized API only."
SIF-029,CIS-SCALE-010,SRC-046,Baldati,https://baldati.app/,Baldati smart municipality platform access check,2026-05-26 access check,municipal_services,MUN,workflow_context_only,,,"Public page describes civic issue reporting with photo evidence, municipality directory, announcements, and status tracking for assigned/in-progress/resolved reports. No public export/API or legal terms were verified, so use for workflow/status vocabulary until authorized access exists."
SIF-030,CIS-SCALE-010,SRC-110,Lebanon Trash Crowdmap,https://trashleb.crowdmap.com/,Lebanon Trash historical crowdsourced map,2015-2016 historical tracker,waste,HITL,context_only,,,"Public anonymous map contains historical trash-crisis reports and categories, but it is stale, low-trust for current routing, and may include exact locations/photos. Use only for historical language/spatial patterns with redaction; do not promote to production routing."
SIF-031,CIS-SCALE-010,SRC-065,Baladiat related civic app,https://apps.apple.com/lb/app/baladiat-%D8%A8%D9%84%D8%AF%D9%8A%D8%A7%D8%AA/id6747610140,Baladiat municipal app workflow and privacy check,2026-05-26 access check,municipal_services,MUN,workflow_context_only,,,"App Store listing confirms transaction/report status tracking, acknowledged community issues, comments/photos, and municipal admin dashboards. App privacy discloses identity-linked location/contact/user-content data, so any event extraction requires authorized export and strict redaction."
SIF-032,CIS-SCALE-011,SRC-092,IMPACT Open Data,https://impact.gov.lb/,IMPACT open-data municipal and ministerial indicators,2026-05-26 access check,all,HITL,context_dataset_inventory,CIS-058,,"Official IMPACT portal exposes municipal/ministry data and export affordances, including counts for municipalities, towns, ministries, hospitals, and surveyed citizens. Use for aggregate coverage/risk context; no public complaint lifecycle feed found."
SIF-033,CIS-SCALE-011,SRC-093,Central Inspection IMPACT page,https://www.cib.gov.lb/en/impact-inter-ministerial-and-municipal-platform-assessment-coordination-and-tracking,Central Inspection IMPACT platform source target,2026-05-26 access check,all,HITL,source_target_registered,CIS-161,,"Registered missing CIS target for the official Central Inspection IMPACT source. Treat as platform/process context, not normalized complaint evidence."
SIF-034,CIS-SCALE-011,SRC-094,Central Inspection complaint portal,https://www.cib.gov.lb/en,Central Inspection public complaint pathway,2026-05-26 access check,all,HITL,oversight_process_only,CIS-059,,"Portal exposes complaint submission/status fields, administrative-unit targeting, uploads, and sensitive identity fields. It supports oversight escalation against administrations/employees, but public case outcomes are not a safe event feed; all such cases remain HITL."
SIF-035,CIS-SCALE-011,SRC-095,Open Data Lebanon,https://www.opendatalebanon.org/data/,Open Data Lebanon dataset inventory,2026-05-26 access check,environment;energy;transport;safety,HITL,context_dataset_inventory,CIS-060,,"Portal exposes public datasets such as conflict/event, humanitarian, public-service pressure, and sector context. Useful for severity/risk features and discovery, but not official complaint-resolution evidence by itself."
SIF-036,CIS-SCALE-011,SRC-094,Central Inspection general inspection reports,https://www.cib.gov.lb/sites/default/files/General%20Inspection%20Preliminary%20Report_English.pdf,General Inspection preliminary report on digital complaint mechanisms,2025 report,municipal_services,HITL,aggregate_context_only,CIS-059,,"Reported digital complaint mechanism coverage is useful as aggregate readiness context, but not an event feed. Use to prioritize manual verification of complaint channels rather than to route citizen repair issues."
SIF-037,CIS-SCALE-012,SRC-041,Qalamoun,https://today.lorientlejour.com/article/1494389/qalamoun-municipality-asks-residential-complex-residents-to-evacuate-building.html,Qalamoun municipality asks residential-complex residents to evacuate,2026-02-09,safety,MUN;CD,promoted,CIS-162,CIE-000071,Promoted as T2 structural-safety case with private-location redaction and HITL.
SIF-038,CIS-SCALE-012,SRC-040,Bchannine,https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/798888/pm-salam-follows-up-on-fallout-from-bchannine-lan,PM follows up on fallout from Bchannine landfill fire,2025-07-02,waste,MOE;CD;MUN,promoted,CIS-163,CIE-000072,Promoted as official waste/environment escalation; no routine pickup inference.
SIF-039,CIS-SCALE-012,SRC-040,Erzi,https://www.nna-leb.gov.lb/ar/news/short/821071,Waste dump fire in Erzi,2025-11-05,safety,CD;MUN;MOE,promoted,CIS-164,CIE-000073,Promoted as South Governorate T2 dump-fire emergency seed.
SIF-040,CIS-SCALE-012,SRC-040,Burj al-Shamali,https://www.nna-leb.gov.lb/ar/news/short/765824,Burj al-Shamali municipality statement on landfill fire,2025-03-15,safety,CD;MUN;MOE,promoted,CIS-165,CIE-000074,Promoted as emergency-to-municipal waste-site mitigation boundary case.
SIF-041,CIS-SCALE-012,SRC-040,Aakkar;Baalbek-Hermel,https://nna-leb.gov.lb/ar/news/short/772520,MPWT continues opening Qammoua road after snow closure,2025-04-14,roads,MPWT;CD;ISF,promoted,CIS-166,CIE-000075,Promoted for Aakkar road-depth and cross-governorate highland closure routing.
SIF-042,CIS-SCALE-012,SRC-040,Deir Ammar,https://nna-leb.gov.lb/ar/%D9%85%D8%AA%D9%81%D8%B1%D9%82%D8%A7%D8%AA/783865/%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A-%D8%A7%D8%AE%D9%85%D8%AF-%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D8%A6%D9%82-%D9%81%D9%8A-%D9%85%D9%83%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D9%86%D9%81%D8%A7%D9%8A%D8%A7%D8%AA-%D8%B6%D9%85%D9%86-%D9%86,Civil Defense extinguished fires in Deir Ammar waste dumps,2025-05-28,safety,CD;MUN;MOE,promoted,CIS-167,CIE-000076,Promoted as T2 waste-fire emergency with public-health complaint signal.
SIF-043,CIS-SCALE-012,SRC-040,Baalbek-Hermel,https://www.nna-leb.gov.lb/ar/%D9%85%D8%AA%D9%81%D8%B1%D9%82%D8%A7%D8%AA/829956/%D9%84%D9%82%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A8%D9%84%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D9%84%D9%84%D9%85%D8%B7%D8%A7%D9%84%D8%A8%D8%A9-%D8%A8%D8%A5%D9%86%D8%B5%D8%A7%D9%81-%D8%A8%D8%B9%D9%84%D8%A8%D9%83-%D8%A8,Baalbek municipal-union meeting demands fair electricity and water service,2025-12-12,electricity,EDL;BWE;MUN,promoted,CIS-168,CIE-000077,Promoted as systemic utility complaint with HITL; no resolution signal captured.
SIF-044,CIS-SCALE-012,SRC-040,Sin el Fil,https://www.nna-leb.gov.lb/ar/news/short/763953,MPWT treats Sin el Fil drainage flooding within minutes,2025-03-06,roads,MPWT;MUN;CDR,promoted,CIS-169,CIE-000078,Promoted as road-drainage flood owner boundary case with explicit quick response signal.
