"task_id","priority","data_family","target_dataset","current_gap","next_data_to_get","why_it_matters","source_candidates","acceptance_criteria","privacy_risk","owner_notes"
"NDA-011","P0","telecom_fixed","knowledge_base/telecom/required_fields.csv; complaint_channels.csv","Ogero 1515/contact-form routing and 3-working-day fixed-line followup signal are seeded but exact app/form fields and ticket behavior still need deeper extraction","Verify Ogero app/form/1515 fields, reference behavior, outage/fault submission paths, and exchange-area clues","Turns OGERO routing into actionable support instructions","SRC-OGERO-CONTACT; SRC-OGERO-FAQ; official app listing; official social status posts","Rows update required_fields, complaint_channels, source_registry, and entity JSON only when official evidence is present","medium","Do not collect customer account numbers in research data."
"NDA-012","P0","telecom_mobile","knowledge_base/telecom/mobile_operator_channels.csv","Seeded 7 Alfa/Touch/TRA operator-first rows, but exact mobile form fields, email endpoints, ticket behavior, status histories, and restoration SLAs are still open","Extract official Alfa and Touch detailed form fields, support email endpoints, status/outage history, ticket/reference behavior, and restoration policy if published","Prevents routing mobile-network issues to Ogero or TRA too early while keeping followup instructions concrete","SRC-ALFA-SUPPORT-FAQ; SRC-TOUCH-CONTACT-FORM; official Alfa/Touch apps/status pages/social support pages; SRC-TRA-MANDATE","Rows include operator, channel, issue_scope, required fields, source_id, confidence, verification_status, HITL flag, and limitations","medium","No private subscriber data; only official channel facts."
"NDA-013","P0","telecom_regulatory","knowledge_base/telecom/sla_policy.csv; required_fields.csv","TRA provider-first 10-day acknowledgment and 20-day escalation signal are seeded, but exact public field list and legal wording need precise source-backed capture","Extract TRA consumer complaint required fields, prior-provider requirement, exact acknowledgement/response legal wording, 1739 notes, and any online-form schema","Needed for correct regulatory escalation and IEP-8 instructions","SRC-TRA-COMPLAINT; SRC-TRA-CONSUMER-COMPLAINTS; TRA Consumer Affairs Guidelines; TRA Consumer Protection Brochure","Rows must cite exact source_id and mark whether deadline applies to provider, TRA, or both","medium","Regulatory complaints may include legal/identity info; keep examples synthetic or redacted."
"NDA-014","P0","outcomes","complaint_intelligence/complaint_resolution_event.schema.json; normalized/","No live CedarFix outcome feed yet","Start capturing accepted/rejected/redirected/resolved/reopened outcomes from official or user-consented reports","This is the fastest path to real routing calibration and IEP-7 value","Direct CedarFix submissions; official status pages; authorized exports; public official updates","Every event validates against complaint_resolution_event.schema.json and has privacy/store_raw_text decisions","high","Never scrape private groups or store citizen PII without consent."
"NDA-015","P0","human_override","new: complaint_intelligence/routing_override_review_queue.csv","Wrong-route reasons are not yet systematically captured","Log human-corrected entity, original entity, correction reason, missing field, and new eval candidate flag","Turns mistakes into targeted data instead of anecdotes","CedarFix operator review; eval failures; support feedback","Each row has complaint_id or synthetic_case_id, original_route, corrected_route, reason_code, reviewer, source","high","Use synthetic IDs when the complaint contains personal details."
"NDA-016","P1","visual_hazards","new: eval/image_hazard_fusion_eval_v2.jsonl or reviewed training folder","Image-fusion eval exists but needs broader real-world hazard variety","Collect consented or public-domain labeled images for exposed wires, floods, potholes, waste, smoke, water leaks, telecom cabinets","Strengthens IEP-6 and multimodal disambiguation","Direct CedarFix submissions; official municipal before/after posts; public-domain/open-license images","Each image item has label, GPS precision, text context, privacy flags, license/consent, and do-not-train marker if needed","high","Blur faces/license plates; avoid private property details unless user-submitted with consent."
"NDA-017","P1","eval_electricity","data/eval/electricity_routing_eval_v1.jsonl or v2","Electricity eval has known behavioral failures despite full resolver coverage","Add hard cases for EDZ vs EDL, private generator, internal wiring, streetlight, sparking wires, transformer fire, missing location","Separates data coverage from classifier/router behavior","Existing electricity KB; source-backed boundary_conditions; human override queue","New cases must be source-backed or synthetic boundary cases with stable expected behavior","low","Prefer v2 if changing expected behavior."
"NDA-018","P1","eval_telecom_safety_waste","data/eval/telecom/public_safety/waste fixtures or v2 successors","Telecom, public safety, and waste need more adversarial routing cases","Add hard negatives and boundary cases around public hazards, private devices, mobile/fixed, dumping/fire/crime/environment","Targets the current weak sectors without poisoning train/test separation","Sector KB boundary files; official source registries; outcome queue","Cases include expected entity, HITL reason, required evidence, and not-responsible boundary","low","Do not train on eval fixtures."
"NDA-019","P1","contact_freshness","new: knowledge_base/contact_freshness_audit.csv","Contacts exist but freshness checks are not uniform across shards","Track last verified date, dead link status, replacement candidate, and verification method for all contacts/channels","Stops Copilot and IEP-8 from trusting stale phone/email/form details","All sector contact_points.csv and complaint_channels.csv files","Audit rows cover every contact_id/channel_id with status, checked_at, checked_by, source_id","medium","Automated checks should not submit forms or call numbers."
"NDA-020","P2","source_policy","knowledge_base/channel_discovery/municipality_do_not_scrape.csv; complaint_intelligence/source_targets.csv","Policy exists but new source types keep appearing","Keep source access rules current for apps, social pages, civic trackers, forums, and official forms","Prevents accidental collection of private or unsafe data","Current do_not_scrape list; platform terms; source_targets.csv","Every new source family has allowed fields, blocked fields, privacy risk, and promotion rule","high","This is governance data; update before bulk acquisition."
