municipality_id,municipality_key,name_en,name_ar,governorate_en,district_en,dglac_found,dglac_detail_status,official_website_status,complaint_form_status,municipal_app_status,official_social_status,news_trace_status,civic_tracker_status,public_forum_status,batch_status,priority_hint,next_search_queries,notes,rank,batch_id,batch_priority,priority_score,research_tier,recommended_next_action,reason_codes,dglac_form_available,dglac_website_found,dglac_email_found,official_search_queries,social_search_queries,news_search_queries
50415,jdeideh_bourj_hammoud,Al Jadeeda - Al Boushriyeh - Al Sadd,الجديدة-البوشرية-السد,Mount Lebanon,Matn,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality Lebanon complaint | ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality Lebanon official website | ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality Lebanon Facebook | ""الجديدة-البوشرية-السد"" بلدية شكوى | ""الجديدة-البوشرية-السد"" بلدية فيسبوك",Official DGLAC detail fetched.,11,MUN-BATCH-002,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality Lebanon official website | ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality complaint form | ""الجديدة-البوشرية-السد"" بلدية شكوى | ""الجديدة-البوشرية-السد"" بلدية الموقع الرسمي","site:facebook.com ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality | site:facebook.com ""الجديدة-البوشرية-السد"" بلدية | site:instagram.com ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality | site:x.com ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality","""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality repair Lebanon | ""الجديدة-البوشرية-السد"" بلدية اصلاح | NNA ""Al Jadeeda - Al Boushriyeh - Al Sadd"" municipality | ""Al Jadeeda - Al Boushriyeh - Al Sadd"" water electricity waste road Lebanon"
50631,sin_el_fil,Sin el Fil,سن الفيل,Mount Lebanon,Matn,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Sin el Fil"" municipality Lebanon complaint | ""Sin el Fil"" municipality Lebanon official website | ""Sin el Fil"" municipality Lebanon Facebook | ""سن الفيل"" بلدية شكوى | ""سن الفيل"" بلدية فيسبوك",Official DGLAC detail fetched.,12,MUN-BATCH-002,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Sin el Fil"" municipality Lebanon official website | ""Sin el Fil"" municipality complaint form | ""سن الفيل"" بلدية شكوى | ""سن الفيل"" بلدية الموقع الرسمي","site:facebook.com ""Sin el Fil"" municipality | site:facebook.com ""سن الفيل"" بلدية | site:instagram.com ""Sin el Fil"" municipality | site:x.com ""Sin el Fil"" municipality","""Sin el Fil"" municipality repair Lebanon | ""سن الفيل"" بلدية اصلاح | NNA ""Sin el Fil"" municipality | ""Sin el Fil"" water electricity waste road Lebanon"
56820,bint_jbeil,Bint Jbeil,بنت جبيل,Nabatiye,Bint Jbeil,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Bint Jbeil"" municipality Lebanon complaint | ""Bint Jbeil"" municipality Lebanon official website | ""Bint Jbeil"" municipality Lebanon Facebook | ""بنت جبيل"" بلدية شكوى | ""بنت جبيل"" بلدية فيسبوك",Official DGLAC detail fetched.,13,MUN-BATCH-004,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Bint Jbeil"" municipality Lebanon official website | ""Bint Jbeil"" municipality complaint form | ""بنت جبيل"" بلدية شكوى | ""بنت جبيل"" بلدية الموقع الرسمي","site:facebook.com ""Bint Jbeil"" municipality | site:facebook.com ""بنت جبيل"" بلدية | site:instagram.com ""Bint Jbeil"" municipality | site:x.com ""Bint Jbeil"" municipality","""Bint Jbeil"" municipality repair Lebanon | ""بنت جبيل"" بلدية اصلاح | NNA ""Bint Jbeil"" municipality | ""Bint Jbeil"" water electricity waste road Lebanon"
57144,nabatieh,Nabatieh,النبطية,Nabatiye,Nabatiyeh,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Nabatieh"" municipality Lebanon complaint | ""Nabatieh"" municipality Lebanon official website | ""Nabatieh"" municipality Lebanon Facebook | ""النبطية"" بلدية شكوى | ""النبطية"" بلدية فيسبوك",Official DGLAC detail fetched.,14,MUN-BATCH-004,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Nabatieh"" municipality Lebanon official website | ""Nabatieh"" municipality complaint form | ""النبطية"" بلدية شكوى | ""النبطية"" بلدية الموقع الرسمي","site:facebook.com ""Nabatieh"" municipality | site:facebook.com ""النبطية"" بلدية | site:instagram.com ""Nabatieh"" municipality | site:x.com ""Nabatieh"" municipality","""Nabatieh"" municipality repair Lebanon | ""النبطية"" بلدية اصلاح | NNA ""Nabatieh"" municipality | ""Nabatieh"" water electricity waste road Lebanon"
52494,batroun,Al Batroun,البترون,North,Batroun,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Al Batroun"" municipality Lebanon complaint | ""Al Batroun"" municipality Lebanon official website | ""Al Batroun"" municipality Lebanon Facebook | ""البترون"" بلدية شكوى | ""البترون"" بلدية فيسبوك",Official DGLAC detail fetched.,15,MUN-BATCH-003,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Al Batroun"" municipality Lebanon official website | ""Al Batroun"" municipality complaint form | ""البترون"" بلدية شكوى | ""البترون"" بلدية الموقع الرسمي","site:facebook.com ""Al Batroun"" municipality | site:facebook.com ""البترون"" بلدية | site:instagram.com ""Al Batroun"" municipality | site:x.com ""Al Batroun"" municipality","""Al Batroun"" municipality repair Lebanon | ""البترون"" بلدية اصلاح | NNA ""Al Batroun"" municipality | ""Al Batroun"" water electricity waste road Lebanon"
57504,tyre,Sour,صور,South,Sour,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Sour"" municipality Lebanon complaint | ""Sour"" municipality Lebanon official website | ""Sour"" municipality Lebanon Facebook | ""صور"" بلدية شكوى | ""صور"" بلدية فيسبوك",Official DGLAC detail fetched.,16,MUN-BATCH-001,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Sour"" municipality Lebanon official website | ""Sour"" municipality complaint form | ""صور"" بلدية شكوى | ""صور"" بلدية الموقع الرسمي","site:facebook.com ""Sour"" municipality | site:facebook.com ""صور"" بلدية | site:instagram.com ""Sour"" municipality | site:x.com ""Sour"" municipality","""Sour"" municipality repair Lebanon | ""صور"" بلدية اصلاح | NNA ""Sour"" municipality | ""Sour"" water electricity waste road Lebanon"
48015,baabda,,بعبدا - اللويزة,Mount Lebanon,بعبدا,yes,fetched,not_found,needs_review,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""بعبدا - اللويزة"" municipality Lebanon complaint | ""بعبدا - اللويزة"" municipality Lebanon official website | ""بعبدا - اللويزة"" municipality Lebanon Facebook | ""بعبدا - اللويزة"" بلدية شكوى | ""بعبدا - اللويزة"" بلدية فيسبوك",Official DGLAC detail fetched. Generic DGLAC municipality-form link present; not a verified local portal.,17,MUN-BATCH-002,P1,171,T1_seed_planned,run_full_source_matrix,seed_batch_p1;dglac_form_present_verify_workflow;no_dglac_website;no_dglac_email;missing_english_name;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,yes,no,no,"""Baabda - Louaize"" municipality Lebanon official website | ""Baabda - Louaize"" municipality complaint form | ""بعبدا - اللويزة"" بلدية شكوى | ""بعبدا - اللويزة"" بلدية الموقع الرسمي","site:facebook.com ""Baabda - Louaize"" municipality | site:facebook.com ""بعبدا - اللويزة"" بلدية | site:instagram.com ""Baabda - Louaize"" municipality | site:x.com ""Baabda - Louaize"" municipality","""Baabda - Louaize"" municipality repair Lebanon | ""بعبدا - اللويزة"" بلدية اصلاح | NNA ""Baabda - Louaize"" municipality | ""Baabda - Louaize"" water electricity waste road Lebanon"
52089,jbeil,Jbeil,جبيل,Mount Lebanon,Byblos,yes,fetched,not_found,needs_review,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Jbeil"" municipality Lebanon complaint | ""Jbeil"" municipality Lebanon official website | ""Jbeil"" municipality Lebanon Facebook | ""جبيل"" بلدية شكوى | ""جبيل"" بلدية فيسبوك",Official DGLAC detail fetched. Generic DGLAC municipality-form link present; not a verified local portal.,18,MUN-BATCH-002,P1,165,T1_seed_planned,run_full_source_matrix,seed_batch_p1;dglac_form_present_verify_workflow;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,yes,no,no,"""Jbeil"" municipality Lebanon official website | ""Jbeil"" municipality complaint form | ""جبيل"" بلدية شكوى | ""جبيل"" بلدية الموقع الرسمي","site:facebook.com ""Jbeil"" municipality | site:facebook.com ""جبيل"" بلدية | site:instagram.com ""Jbeil"" municipality | site:x.com ""Jbeil"" municipality","""Jbeil"" municipality repair Lebanon | ""جبيل"" بلدية اصلاح | NNA ""Jbeil"" municipality | ""Jbeil"" water electricity waste road Lebanon"
55929,taalabaya_chtaura,Talabayya,تعلبايا,Beqaa,Zahle,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Talabayya"" municipality Lebanon complaint | ""Talabayya"" municipality Lebanon official website | ""Talabayya"" municipality Lebanon Facebook | ""تعلبايا"" بلدية شكوى | ""تعلبايا"" بلدية فيسبوك",Official DGLAC detail fetched.,19,MUN-BATCH-004,P2,162,T1_seed_planned,run_full_source_matrix,seed_batch_p2;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Talabayya"" municipality Lebanon official website | ""Talabayya"" municipality complaint form | ""تعلبايا"" بلدية شكوى | ""تعلبايا"" بلدية الموقع الرسمي","site:facebook.com ""Talabayya"" municipality | site:facebook.com ""تعلبايا"" بلدية | site:instagram.com ""Talabayya"" municipality | site:x.com ""Talabayya"" municipality","""Talabayya"" municipality repair Lebanon | ""تعلبايا"" بلدية اصلاح | NNA ""Talabayya"" municipality | ""Talabayya"" water electricity waste road Lebanon"
56001,taalabaya_chtaura,Chatura,شتوره,Beqaa,Zahle,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Chatura"" municipality Lebanon complaint | ""Chatura"" municipality Lebanon official website | ""Chatura"" municipality Lebanon Facebook | ""شتوره"" بلدية شكوى | ""شتوره"" بلدية فيسبوك",Official DGLAC detail fetched.,20,MUN-BATCH-004,P2,162,T1_seed_planned,run_full_source_matrix,seed_batch_p2;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Chatura"" municipality Lebanon official website | ""Chatura"" municipality complaint form | ""شتوره"" بلدية شكوى | ""شتوره"" بلدية الموقع الرسمي","site:facebook.com ""Chatura"" municipality | site:facebook.com ""شتوره"" بلدية | site:instagram.com ""Chatura"" municipality | site:x.com ""Chatura"" municipality","""Chatura"" municipality repair Lebanon | ""شتوره"" بلدية اصلاح | NNA ""Chatura"" municipality | ""Chatura"" water electricity waste road Lebanon"
53418,kousba,Kousba,كوسبا,North,Koura,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Kousba"" municipality Lebanon complaint | ""Kousba"" municipality Lebanon official website | ""Kousba"" municipality Lebanon Facebook | ""كوسبا"" بلدية شكوى | ""كوسبا"" بلدية فيسبوك",Official DGLAC detail fetched.,21,MUN-BATCH-003,P2,162,T1_seed_planned,run_full_source_matrix,seed_batch_p2;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Kousba"" municipality Lebanon official website | ""Kousba"" municipality complaint form | ""كوسبا"" بلدية شكوى | ""كوسبا"" بلدية الموقع الرسمي","site:facebook.com ""Kousba"" municipality | site:facebook.com ""كوسبا"" بلدية | site:instagram.com ""Kousba"" municipality | site:x.com ""Kousba"" municipality","""Kousba"" municipality repair Lebanon | ""كوسبا"" بلدية اصلاح | NNA ""Kousba"" municipality | ""Kousba"" water electricity waste road Lebanon"
52878,zgharta,Zgharta-Ehden,زغرتا-اهدن,North,Zgharta,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Zgharta-Ehden"" municipality Lebanon complaint | ""Zgharta-Ehden"" municipality Lebanon official website | ""Zgharta-Ehden"" municipality Lebanon Facebook | ""زغرتا-اهدن"" بلدية شكوى | ""زغرتا-اهدن"" بلدية فيسبوك",Official DGLAC detail fetched.,22,MUN-BATCH-003,P2,162,T1_seed_planned,run_full_source_matrix,seed_batch_p2;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Zgharta-Ehden"" municipality Lebanon official website | ""Zgharta-Ehden"" municipality complaint form | ""زغرتا-اهدن"" بلدية شكوى | ""زغرتا-اهدن"" بلدية الموقع الرسمي","site:facebook.com ""Zgharta-Ehden"" municipality | site:facebook.com ""زغرتا-اهدن"" بلدية | site:instagram.com ""Zgharta-Ehden"" municipality | site:x.com ""Zgharta-Ehden"" municipality","""Zgharta-Ehden"" municipality repair Lebanon | ""زغرتا-اهدن"" بلدية اصلاح | NNA ""Zgharta-Ehden"" municipality | ""Zgharta-Ehden"" water electricity waste road Lebanon"
