review_id,source,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,complaint_use,candidate_sector,candidate_issue,decision,reason,suggested_action,preferred_rewrite
CFR-00020,master_signal_lexicon,yamin,yamin,يمين,right,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00021,master_signal_lexicon,yameen,yamin,يمين,right,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00022,master_signal_lexicon,yemin,yamin,يمين,right,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00023,master_signal_lexicon,3al yamin,3al yamin,عاليمين,to/on the right,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00024,master_signal_lexicon,3al yameen,3al yamin,عاليمين,to/on the right,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00025,master_signal_lexicon,shmel,shmel,شمال,left,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00026,master_signal_lexicon,shmeel,shmel,شمال,left,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00027,master_signal_lexicon,shmal,shmel,شمال,left,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00028,master_signal_lexicon,3al shmel,3al shmel,عالشمال,to/on the left,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00029,master_signal_lexicon,3al shmal,3al shmel,عالشمال,to/on the left,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00030,master_signal_lexicon,tari2,tari2,طريق,road / way,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00031,master_signal_lexicon,taree2,tari2,طريق,road / way,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00032,master_signal_lexicon,tare2,tari2,طريق,road / way,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00033,master_signal_lexicon,tariq,tari2,طريق,road / way,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00034,master_signal_lexicon,tareeq,tari2,طريق,road / way,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00035,master_signal_lexicon,sayyara,sayyara,سيارة,car,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00036,master_signal_lexicon,sayara,sayyara,سيارة,car,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00037,master_signal_lexicon,siyyara,sayyara,سيارة,car,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00038,master_signal_lexicon,seyara,sayyara,سيارة,car,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00039,master_signal_lexicon,siyara,sayyara,سيارة,car,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00040,master_signal_lexicon,autobus,autobus,أوتوبوس,bus,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00041,master_signal_lexicon,otobus,autobus,أوتوبوس,bus,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00042,master_signal_lexicon,sawa2,sawa2,سواق,driver,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00043,master_signal_lexicon,sawaq,sawa2,سواق,driver,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00044,master_signal_lexicon,saww2,sawa2,سواق,driver,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00045,master_signal_lexicon,sawwa2,sawa2,سواق,driver,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00046,master_signal_lexicon,sawaa2,sawa2,سواق,driver,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00047,master_signal_lexicon,tale3,tale3,طالع,going up / going out,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00048,master_signal_lexicon,tali3,tale3,طالع,going up / going out,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00049,master_signal_lexicon,talee3,tale3,طالع,going up / going out,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00050,master_signal_lexicon,taleaa,tale3,طالع,going up / going out,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00051,master_signal_lexicon,tale3 la,tale3,طالع,going up / going out,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00052,master_signal_lexicon,nezel,nezel,نازل,going down / coming down,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00053,master_signal_lexicon,nazel,nezel,نازل,going down / coming down,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00054,master_signal_lexicon,nezil,nezel,نازل,going down / coming down,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00055,master_signal_lexicon,nazil,nezel,نازل,going down / coming down,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00056,master_signal_lexicon,nzl,nezel,نازل,going down / coming down,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00057,master_signal_lexicon,dawer,dawer,دوّر,turn / look around,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00058,master_signal_lexicon,dawwir,dawer,دوّر,turn / look around,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00059,master_signal_lexicon,dawer 3a,dawer,دوّر,turn / look around,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00060,master_signal_lexicon,dawwir 3a,dawer,دوّر,turn / look around,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00061,master_signal_lexicon,dawr,dawer,دوّر,turn / look around,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00062,master_signal_lexicon,zawye,zawye,زاوية,corner,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00063,master_signal_lexicon,zawyi,zawye,زاوية,corner,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00064,master_signal_lexicon,zewye,zawye,زاوية,corner,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00065,master_signal_lexicon,zawyeh,zawye,زاوية,corner,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00066,master_signal_lexicon,zawiye,zawye,زاوية,corner,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00067,master_signal_lexicon,sha7en,sha7en,شاحن,charger / charging,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00068,master_signal_lexicon,shahen,sha7en,شاحن,charger / charging,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00069,master_signal_lexicon,sha7no,sha7en,شاحن,charger / charging,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00070,master_signal_lexicon,shahno,sha7en,شاحن,charger / charging,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00071,master_signal_lexicon,sha7en l mobile,sha7en,شاحن,charger / charging,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00072,master_signal_lexicon,saffet,saffet,صفّيت,I parked,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00073,master_signal_lexicon,safafet,saffet,صفّيت,I parked,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00074,master_signal_lexicon,saffit,saffet,صفّيت,I parked,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00075,master_signal_lexicon,safit,saffet,صفّيت,I parked,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00076,master_signal_lexicon,saffet l siyara,saffet,صفّيت,I parked,transportation,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00077,master_signal_lexicon,mobile,mobile,موبايل,phone,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00078,master_signal_lexicon,mobil,mobile,موبايل,phone,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00079,master_signal_lexicon,mobeil,mobile,موبايل,phone,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00080,master_signal_lexicon,telephone,mobile,موبايل,phone,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00081,master_signal_lexicon,telefon,mobile,موبايل,phone,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00082,master_signal_lexicon,batterie,batterie,بطارية,battery,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00083,master_signal_lexicon,battariye,batterie,بطارية,battery,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00084,master_signal_lexicon,battery,batterie,بطارية,battery,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00085,master_signal_lexicon,batariye,batterie,بطارية,battery,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00086,master_signal_lexicon,batriye,batterie,بطارية,battery,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00087,master_signal_lexicon,internet,internet,إنترنت,internet,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00088,master_signal_lexicon,net,internet,إنترنت,internet,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00089,master_signal_lexicon,l net,internet,إنترنت,internet,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00090,master_signal_lexicon,internet 3atel,internet,إنترنت,internet,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00091,master_signal_lexicon,net 3atel,internet,إنترنت,internet,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00092,master_signal_lexicon,wifi,wifi,واي فاي,Wi‑Fi,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00093,master_signal_lexicon,wayfi,wifi,واي فاي,Wi‑Fi,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00094,master_signal_lexicon,l wifi,wifi,واي فاي,Wi‑Fi,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00095,master_signal_lexicon,wify,wifi,واي فاي,Wi‑Fi,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00096,master_signal_lexicon,daw,daw,ضو,light,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00097,master_signal_lexicon,daww,daw,ضو,light,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00098,master_signal_lexicon,dawwe,daw,ضو,light,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00099,master_signal_lexicon,l daw,daw,ضو,light,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00100,master_signal_lexicon,daw l beit,daw,ضو,light,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00101,master_signal_lexicon,laptop,laptop,لابتوب,laptop,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00102,master_signal_lexicon,labtop,laptop,لابتوب,laptop,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00103,master_signal_lexicon,laptob,laptop,لابتوب,laptop,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00104,master_signal_lexicon,lap,laptop,لابتوب,laptop,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00105,master_signal_lexicon,laptopi,laptop,لابتوب,laptop,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00106,master_signal_lexicon,computer,computer,كمبيوتر,computer,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00107,master_signal_lexicon,komputer,computer,كمبيوتر,computer,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00108,master_signal_lexicon,pc,computer,كمبيوتر,computer,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00109,master_signal_lexicon,kompyuter,computer,كمبيوتر,computer,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00110,master_signal_lexicon,computeri,computer,كمبيوتر,computer,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00111,master_signal_lexicon,screen,screen,شاشة,screen,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00112,master_signal_lexicon,scrin,screen,شاشة,screen,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00113,master_signal_lexicon,sheshe,screen,شاشة,screen,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00114,master_signal_lexicon,sheche,screen,شاشة,screen,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00115,master_signal_lexicon,sheshet l laptop,screen,شاشة,screen,phone_internet,classification_context_support,OTHER,,QUARANTINE_PRIVATE_DEVICE,"private device/accessory language, not public infrastructure",Use only as OTHER hard-negative after review.,
CFR-00116,master_signal_lexicon,keyboard,keyboard,كيبورد,keyboard,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00117,master_signal_lexicon,keybord,keyboard,كيبورد,keyboard,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00118,master_signal_lexicon,kibord,keyboard,كيبورد,keyboard,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00119,master_signal_lexicon,clavier,keyboard,كيبورد,keyboard,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00120,master_signal_lexicon,klavye,keyboard,كيبورد,keyboard,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00121,master_signal_lexicon,mouse,mouse,ماوس,mouse,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00122,master_signal_lexicon,maws,mouse,ماوس,mouse,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00123,master_signal_lexicon,maouse,mouse,ماوس,mouse,phone_internet,classification_context_support,OTHER,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
