scenario_id,sector,issue_type,scenario_name,asset_types,failure_modes,causes,states,impacts,location_patterns,time_expressions,urgency_expressions,agency_candidates,responsible_party_hints,hitl_triggers,hard_negative_near_misses,required_evidence,forbidden_combinations,dialect_notes,example_complaints,coverage_status
CFS-0011,ELECTRICITY,dangerous_electrical_box,open electrical box in public,box kahraba; tableau; cabinet,mfatou7; bidoon ghata; wires baynin,unknown; citizen-observed failure,vandalism; missing cover,children can touch; electrocution risk,3al rasif; bel park; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; MUN; CD,public agency depends on asset and location,public box vs private building box,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFS-0012,ELECTRICITY,meter_or_connection_delay,public connection or meter issue,3adad; compteur; khat kahraba,ma terkab; kharbene; ma 3am y2ra,unknown; citizen-observed failure,new connection; meter/service delay,service delay; no power in unit,bel bineye; 3and l madkhal; bi l mahal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; UNKNOWN,public agency depends on asset and location,billing/private account vs public service,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,3adad l kahraba ma 3am y2ra; talabna khat kahraba w ma 7ada aja; compteur l bineye kharbene w ma 7ada radd,needs_expansion
CFS-0013,ELECTRICITY,generator_boundary,private generator confusion,moteur; moteur l 7ay; ishtirak,ma 3am yeshteghil; 2ate3; gheli,unknown; citizen-observed failure,private subscription issue,citizen may think municipal but private,bel 7ay; 3and l moteur; bi l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,UNKNOWN; MUN; EDL,private generator; EDL grid,private generator vs public electricity,private generator bill; subscription dispute,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,moteur l 7ay 2ate3 bas ma ba3ref la meen; l ishtirak ma 3am ykafe w l daw 2ate3; ma fi kahraba wala moteur bel 7ay,edge_case
CFS-0014,ELECTRICITY,public_lighting_after_repair,streetlight repair failed,lampe; 3amoud nour; repair crew,zabbato w rje3 khereb; ma dawwa,unknown; citizen-observed failure,bad repair; repeated failure,dark street again; citizen follow-up,3al share3; 2oddem l bineye; 7ad l park,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; EDL,public agency depends on asset and location,municipal crew vs EDL fixture,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ejit l fer2a bass l lampe ba3da mtfiye; zabbato daw l share3 w rje3 2ate3; ba3d l tasli7 l share3 ba3do mdallam,seed
CFS-0015,ELECTRICITY,partial_phase_outage,one phase missing,phase; khat; kahraba,phase ra7et; nos l bineye bala daw,unknown; citizen-observed failure,grid phase fault,some apartments no power; appliances risk,bi l bineye; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; UNKNOWN,public agency depends on asset and location,technical public grid vs internal wiring,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,nos l bineye fi kahraba w nos la2; phase ra7et 3anna w l motor 3am y7em; khat kahraba wa2ef bi she2a w she2a,seed
CFS-0016,ELECTRICITY,electricity_tree_contact,tree touching power wires,shajra; wire; 3amoud,3am tlems l cable; mday2a 3al wire,unknown; citizen-observed failure,wind; overgrown tree,sparks; outage risk; sidewalk hazard,3al rasif; 7ad l madrase; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; MUN; CD,public agency depends on asset and location,tree trimming vs EDL wire safety,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,shajra 3am tlems wire kahraba; l aghsan 3al cable w fi sparks; badna 7ada y2oss l shajra 2abl ma ysir sa32,seed
CFS-0017,WATER,water_cut,multi-day water cut,may; khat may; 5azzan,2at3a; ma fi may; ma 3am tousal,unknown; citizen-observed failure,network cut; pump failure; schedule issue,tanks empty; residents cannot wash,bel bayt; bel bineye; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MUN,regional water authority; local network,private tank/pump vs public supply,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ma fi may men tlet iyem; l may 2at3a w l 5azzan fadi; l may ma 3am tousal 3al bineye,strong
CFS-0018,WATER,no_supply,no supply after scheduled hours,may; khat may; moteur may,ma ejit; ma 3abbet; schedule missed,unknown; citizen-observed failure,supply schedule failure,neighborhood no supply,bel 7ay; 3al khat; fo2 l tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,district authority and schedule confirmation,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l may ma ejit 3al dawra; 3anna nawbet may w ma 3abbet; kel l 7ay nater l may w ma woslet,seed
CFS-0019,WATER,low_pressure,weak water pressure,may; daght; khat,da3ife; ma btousal 3al fo2; btin2ot,unknown; citizen-observed failure,pressure loss; pump/network issue,upper floors no water; incomplete supply,bel bineye; 3al tab2a l fo2aniye; bel 7ay,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; UNKNOWN,public agency depends on asset and location,building pump vs public pressure,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,daght l may ktir da3if; l may ma btousal 3al tab2a l fo2aniye; may btin2ot w bt2ta3,seed
CFS-0020,WATER,dirty_water,brown or dirty water,may; khat; 5azzan,weskha; bniye; safra; fi trab,unknown; citizen-observed failure,pipe repair; contamination; old network,unsafe drinking water; smell,bel bayt; bel 7ay; ba3d l tasli7,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MUN,public agency depends on asset and location,private tank contamination vs public supply,private-only issue; unrelated app/file/password/order context,GPS; image of water; time; repeated reports,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l may nazle bniye; fi trab bel may men l khat; l may weskha w ma fina neshraba,seed
CFS-0021,WATER,dirty_water,bad smell in drinking water,may; khat may; 5azzan,ri7a ghribe; ri7a majrour; ta3me khayse,unknown; citizen-observed failure,sewage contamination; tank issue,health concern; cannot use water,bel bineye; bel 7ay; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MOE,public agency depends on asset and location,public contamination vs private tank,private-only issue; unrelated app/file/password/order context,sample/photo; repeated reports; authority district,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi ri7a majrour bel may; l may ta3meta ghribe; may l 7anafiyye ri7ta khayse,seed
CFS-0022,WATER,pipe_leak,public pipe leaking in street,masoura; anboub; khat may,3am ysarrib; nfajar; may 3al tari2,unknown; citizen-observed failure,broken pipe; old network; road works,water waste; road damage; flooding,3al tari2; ta7t l rasif; 7ad l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MUN,public agency depends on asset and location,public pipe vs private building pipe,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi masoura may 3am tsarrib 3al tari2; anboub nfajar 7ad l bineye; may 3am tenzal men ta7t l rasif,strong
CFS-0023,WATER,pipe_leak,building-side pipe ambiguity,masoura; bineye; parking; basement,3am tenzal; nash; may dakhle,unknown; citizen-observed failure,private pipe; public line entering building,basement wet; residents affected,bi parking l bineye; bel 2abo; 3al madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MUN; UNKNOWN,public agency depends on asset and location,private building pipe vs public network,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi may 3am tenzal bi parking l bineye; masoura 3al madkhal 3am tsarrib; bel 2abo may w ma ba3ref men wen,edge_case
CFS-0024,WATER,sewage_overflow,sewage overflowing on street,majrour; sarf se7e; manhole,fa2; 3am yifour; msakkar,unknown; citizen-observed failure,blocked sewage; rain; old network,dirty water on road; health hazard; bad smell,3al tari2; 2oddem l bineye; 7ad l madrase,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; BMLWE; NLWE; BWE; SLWE; MOE,public agency depends on asset and location,municipal drainage vs water authority sewage,private-only issue; unrelated app/file/password/order context,GPS; image; smell/health note,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l majrour fa2 3al tari2; sarf se7e 3am yifour 2oddem l bineye; ri7et majrour w may weskha bel share3,strong
CFS-0025,WATER,sewage_overflow,sewage entering building,majrour; 2abo; basement; parking,rje3; fa2; 3am yfout,unknown; citizen-observed failure,blocked line; rain; backflow,basement contaminated; residents cannot enter,bel 2abo; bi parking l bineye; 3al madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; BMLWE; NLWE; BWE; SLWE; CD,public agency depends on asset and location,private building plumbing vs public sewer,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l majrour rje3 3al 2abo; sarf se7e 3am yfout 3al parking; ri7a khayse bel bineye men l majrour,seed
CFS-0026,WATER,blocked_drain,storm drain blocked,balou3a; drain; majra,msakkra; m3abbeye wra2; ma 3am tsarref,unknown; citizen-observed failure,trash/leaves; bad maintenance,standing water; flood risk,3al tari2; 3al mafra2; ta7t l jesr,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; CDR; MPWT,public agency depends on asset and location,municipal drain vs highway drainage,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,balou3a msakkra w l may wa2fe; l drain ma 3am ysarref ba3d l matar; fi wra2 w zbele msakrin l balou3a,seed
CFS-0027,WATER,water_meter_or_valve,public valve or meter box leak,3adad may; valve; box may,3am ysarrib; mfatou7; ghata maf2oud,unknown; citizen-observed failure,damaged valve; missing cover,water loss; pedestrian hazard,3al rasif; 2oddem l bayt; 7ad l store,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; MUN,public agency depends on asset and location,authority meter vs private meter,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,box l may mfatou7 3al rasif; valve may 3am ysarrib; ghata 3adad l may maf2oud w khatir,seed
CFS-0028,WATER,water_entering_home,water entering house from public source,may; bayt; madkhal; rasif,3am tfout; ghare2; m3abbeye,unknown; citizen-observed failure,street flooding; pipe leak; blocked drain,home damage; furniture affected,3al madkhal; 2oddem l bayt; men l tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; BMLWE; NLWE; BWE; SLWE; CD,public agency depends on asset and location,flooding vs water pipe vs private leak,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,may 3am tfout 3al bayt men l tari2; l madkhal m3abba may; baytna ghare2 men tasrib barra,seed
CFS-0029,WATER,intermittent_supply,water comes and cuts repeatedly,may; khat; dawret may,btiji shway w bt2ta3; met2atte3a,unknown; citizen-observed failure,schedule issue; pressure issue,cannot fill tanks; repeated complaints,bel 7ay; bel bineye; 3al khat,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,normal rationing vs fault,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l may btiji shway w bt2ta3; ma 3am nla77e2 n3abbe l 5azzan; kel yom l may met2atte3a,seed
CFS-0030,WATER,public_fountain_or_tap,public tap/fountain leaking,nab3a; 7anafiyye 3amme; public tap,3am tdeff; kharbene; ma btetsakkar,unknown; citizen-observed failure,broken valve; vandalism,water waste; slippery sidewalk,bel park; 3al rasif; 7ad l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,municipal asset vs water authority,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l 7anafiyye l 3amme 3am tdeff; nab3a bel park ma btetsakkar; may 3al rasif men tap kharbene,seed
CFS-0031,WATER,water_bill_or_service_followup,water authority follow-up issue,ishtirak may; fatoura l may; 3adad,ma 7ada radd; service delayed; fatoura ghalta,unknown; citizen-observed failure,administrative issue,citizen needs routing/HITL,bel maktab; online; 3al telephone,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,BMLWE; NLWE; BWE; SLWE; UNKNOWN,public agency depends on asset and location,administrative/private account vs infrastructure,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ba3atna shakwa 3al may w ma 7ada radd; talabna ykashfo 3al khat w ma ejjo; fatoura l may ghalta w ma 3am yjawbo,needs_expansion
CFS-0032,WATER,hydrant_or_fire_water,fire hydrant damaged or leaking,hydrant; 7anafiyye daf3 madane; khat may,mksour; 3am ysarrib; ma byefta7,unknown; citizen-observed failure,accident; vandalism,fire response risk; water loss,3al rasif; 7ad l madrase; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; BMLWE; NLWE; BWE; SLWE; CD,public agency depends on asset and location,Civil Defense fire asset vs water authority,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,hydrant mksour w may 3al tari2; 7anafiyye l daf3 madane ma byefta7; fi hydrant 3am ysarrib 7ad l school,seed
CFS-0033,FLOODING,road_flooded,road flooded after rain,tari2; may; drain,ghare2; may 3al tari2; ma fi tasrif,unknown; citizen-observed failure,heavy rain; blocked drains,cars stuck; road unsafe,3al tari2; ta7t l jesr; 3al mafra2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; MPWT; CDR,public agency depends on asset and location,municipal street vs highway/national drainage,private-only issue; unrelated app/file/password/order context,GPS; image/video; active flood flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l tari2 ghare2a ba3d l matar; fi may 3al tari2 w ma fi tasrif; sayarat 3am tew2af men l may,strong
CFS-0034,FLOODING,flash_flood,fast water stream in street,seyl; may; wadi; tari2,jeye bi sor3a; 3am tejrif; seyle,unknown; citizen-observed failure,storm; blocked channel,people/cars at risk,3al mafra2; ta7t l jesr; 7ad l wadi,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; MPWT,public agency depends on asset and location,active emergency; rescue vs drainage repair,private-only issue; unrelated app/file/password/order context,GPS; time; image/video; trapped people flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi seyl jeye bi sor3a 3al tari2; l may 3am tejrif l sayarat; seyle kbire 7ad l bineye,strong
CFS-0035,FLOODING,basement_flooded,basement or parking flooded,2abo; basement; parking; may,m3abba may; ghare2; may dakhlet,unknown; citizen-observed failure,rainwater; sewer backup; pipe burst,property damage; smell; unsafe electricity,bel 2abo; bi parking l bineye; ta7t l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,flooding vs sewage vs private building responsibility,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l 2abo m3abba may; parking l bineye ghare2 ba3d l matar; may dakhlet 3al basement w fi ri7a,seed
CFS-0036,FLOODING,house_flooded,water entering home,bayt; ardiyye; madkhal,may dakhlet; ard m3abbeye; ghare2,unknown; citizen-observed failure,rainwater; blocked road drain; broken pipe,home damage; residents need help,2oddem l bayt; 3al madkhal; bel dar,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; BMLWE; NLWE; BWE; SLWE,public agency depends on asset and location,emergency vs maintenance; public vs private cause,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,may dakhlet 3al bayt; ardiyye l dar m3abbeye may; ba3d l matar l may 3am tfout 3al madkhal,seed
CFS-0037,FLOODING,standing_water,standing water not draining,birket may; rasif; tari2; balou3a,may wa2fe; ma 3am trouh; rawa2ed,unknown; citizen-observed failure,poor drainage; blocked drain,mosquitoes; smell; slippery road,3al rasif; 2oddem l bineye; 7ad l container,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,road drainage ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi birket may 2oddem l bineye; l may wa2fe men embare7; ba3d l matar l may ma 3am trouh,seed
CFS-0038,FLOODING,blocked_drain,drain blocked causing flood,balou3a; drain; majra,msakkra; m3abbeye zbele; ma tsarref,unknown; citizen-observed failure,trash; mud; leaves,water backs up; street floods,3al mafra2; 7ad l school; ta7t l jesr,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CDR,public agency depends on asset and location,municipal drain vs national road drain,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,balou3a msakkra w l tari2 ghare2; drain m3abba zbele w ma 3am ysarref; badna yefta7o l majra 2abl l shita,seed
CFS-0039,FLOODING,school_or_hospital_access_flooded,critical access flooded,madkhal; tari2; school; hospital,ghare2; msakkar bel may; ma byin2ata3,unknown; citizen-observed failure,rain; blocked drainage,children/patients cannot pass,2oddem l madrase; 7ad l moustashfa; 3al madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; MUN; MPWT,public agency depends on asset and location,emergency priority and road ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,2oddem l madrase may ktir w l wled ma 3am tfout; tari2 l moustashfa ghare2a; madkhal l school msakkar bel may,seed
CFS-0040,FLOODING,mudslide_or_rocks_after_rain,mud or rocks blocking road after rain,tein; 7jar; tari2; jabal,nazlin 3al tari2; msakrin; khatir,unknown; citizen-observed failure,rain; slope failure,road blocked; crash risk,3al tari2 l jabal; 7ad l bineye; 3al mafra2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; MPWT; CD; CDR,public agency depends on asset and location,landslide danger; road ownership,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,tein nazil 3al tari2 ba3d l matar; 7jar msakrin nos l tari2; l jabal 3am yenzal 3al share3,seed
CFS-0041,FLOODING,car_trapped_in_water,car stuck in floodwater,sayyara; may; tari2,ghari2a; wa2fe bel may; ma 3am tetla3,unknown; citizen-observed failure,road flood; flash water,rescue risk; blocked traffic,ta7t l jesr; 3al tunnel; 3al tari2,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,CD; ISF; MUN; MPWT,public agency depends on asset and location,active rescue and traffic control,private-only issue; unrelated app/file/password/order context,GPS; active trapped/cars flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,sayyara wa2fe bel may ta7t l jesr; fi cars ghari2a 3al tari2; l may 3am tfout 3al sayarat,seed
