source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-CIVILDEF-UNDP-2026,Lebanon's Civil Defense: Prepared Today to Save Lives Every Day,UNDP Lebanon,reputable_partner_report,https://www.undp.org/lebanon/stories/lebanons-civil-defense-prepared-today-save-lives-every-day,T1_reputable,Civil Defense fire/rescue/emergency-response support context.,"Not an official Civil Defense page, but high-quality for emergency responder role and capacity context.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CIB-MANDATE,Public administrations and institutions under Central Inspection mandate,Central Inspection,official_portal,https://www.cib.gov.lb/en/public-administrations-and-institutions-fall-under-mandate-central-inspection,T0_official,"Oversight mandate over public administrations, institutions and municipalities.","Use for accountability/oversight complaints, not field-service routing.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CIB-ROLE,Role of the Central Inspection,Central Inspection,official_portal,https://www.cib.gov.lb/en/%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AA%D9%81%D8%AA%D9%8A%D8%B4-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A,T0_official,"Central Inspection oversight, inspections, administrative process improvement, advice.",Use for administration-performance and complaint-against-public-body meta-layer.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-IMPACT-OPEN-DATA,IMPACT Open Data,Central Inspection / IMPACT,official_open_data_portal,https://impact.cib.gov.lb/,T0_official,"Aggregate public-administration data; context, not necessarily incident routing.",Confirm dataset/license before bulk reuse.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MUNI-AUTONOMY-HANDBOOK,Citizen & Municipality Handbook,Nahnoo,civil_society_handbook,https://nahnoo.org/wp-content/uploads/2025/06/Citizen-municipalities-handbook-english-1.pdf,T1_secondary,Municipality legal personality/autonomous local administration under central supervision.,Secondary explanatory source; cite official law when possible.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ARAB-REFORM-MUNI-2025,Empowering Lebanon's Municipalities Amid Crisis,Arab Reform Initiative,policy_analysis,https://www.arab-reform.net/publication/empowering-lebanons-municipalities-amid-crisis/,T1_policy,Municipal Act broad public-interest mandate and centralization constraints.,Good for context; production facts still need official/local evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-AUB-WASTE-GUIDE,Guide to Municipal Solid Waste Management,AUB Nature Conservation Center / partners,sector_guide,https://www.aub.edu.lb/natureconservation/Documents/guide_to_municipal_solid_waste_management.pdf,T1_academic,Municipal responsibility for waste collection under MoIM tutelage; ambiguity around treatment/disposal.,Use as secondary rule; confirm local contractor/union arrangements case-by-case.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOE-SWM-POLICY,Policy Summary on Integrated Solid Waste Management,Ministry of Environment,official_policy,https://www.moe.gov.lb/getattachment/cca17155-ac13-4cf3-83c1-6c5baee40df4/Policy-Summary-for-Jan-2018.aspx,T0_official,"Municipalities/unions continuing awareness, sorting, recycling roles and service continuity under central arrangements.","Use for solid-waste policy context, not daily routing alone.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOEW-DGO,Ministry of Energy and Water profile,Digital Government Observatory,government_profile,https://en.dgo.gov.lb/read/ministry,T1_government_profile,"MoEW undertakes affairs of water, electricity, oil, minerals, mines and quarries.","Use as sector policy/regulator context, not field-service dispatch.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CDR-HOME,Council for Development and Reconstruction Home,CDR,official_portal,https://www.cdr.gov.lb/,T0_official,CDR public infrastructure projects context.,"Use for project owner/contractor evidence, not daily complaint resolver unless project-specific.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MPWT-CONTACT,Ministry of Public Works and Transport contact page,Ministry of Public Works and Transport,official_contact,https://mopw.gov.lb/%D8%A7%D8%AA%D8%B5%D9%84-%D8%A8%D9%86%D8%A7?lang=en-us,T0_official,MPWT general contact phone email and contact form.,Use as non-emergency contact evidence for MPWT.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MPWT-ADMIN-COMPLAINTS,MPWT shared administrative directorate contact details,Ministry of Public Works and Transport,official_contact,https://mopw.gov.lb/%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%281%29/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B4%D8%AA%D8%B1%D9%83%D8%A9?lang=en-us,T0_official,MPWT complaints section phone and administrative contact units.,Use for complaint-section contact only not emergency dispatch.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CDR-CONTACT,CDR Contact Us,Council for Development and Reconstruction,official_contact,https://cdr.gov.lb/en-US/Contact-Us.aspx,T0_official,CDR address phone fax email and contact form.,Use for project-owner inquiries and project complaint escalation.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-OGERO-CONTACT,Ogero Contact Us,OGERO,official_contact,https://ogero.gov.lb/contact.php,T0_official,Ogero customer care hotline main phone email and contact form.,Use for fixed telecom intake and followup.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-OGERO-FAQ,Ogero FAQs,OGERO,official_faq,https://www.ogero.gov.lb/faqs.php,T0_official,Ogero fault reporting channels repair timing and customer care references.,Use for process evidence not hard SLA unless official wording is explicit.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ISF-FAQ,ISF FAQ and user services,Internal Security Forces,official_faq,https://isf.gov.lb/faq/,T0_official,ISF user service guidance and non-emergency station/report process examples.,Use for HITL safety and report-document process evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ISF-ANONYMOUS-COMPLAINTS,ISF anonymous complaints form,Internal Security Forces,official_complaint_process,https://isf.gov.lb/anonymous-complaints/,T0_official,"Anonymous online complaint form with selectable complaint categories, optional contact fields, and attachment support.","Use for non-immediate complaints including cybercrime or crime tips; emergencies still use 112 and domestic-violence hotline 1745.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CD-HOTLINE,Lebanese Civil Defense official site emergency number,Lebanese Civil Defense,official_contact,https://www.civildefense.gov.lb/index.php?page=examresult,T0_official,Civil Defense official site footer showing emergency number 125.,Use for emergency hotline evidence only.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CD-HOMEPAGE,Lebanese Civil Defense official homepage,Lebanese Civil Defense,official_portal,http://www.civildefense.gov.lb/,T0_official,Civil Defense official homepage showing emergency number 125 and official public guidance/news context.,Verified over HTTP on 2026-05-31 because HTTPS returned certificate/name errors in browser tooling.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-CD-CONTACT-PAGE,Lebanese Civil Defense official contact page,Lebanese Civil Defense,official_contact,http://www.civildefense.gov.lb/index.php?page=co,T0_official,"Civil Defense emergency number, headquarters address, phone/fax, official email, complaints email/phone-fax, media office, training department, and contact-form/CAPTCHA fields.",Verified over HTTP on 2026-05-31. Use for CD operational contact and non-emergency complaint channel evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-CD-CENTERS-PAGE,Lebanese Civil Defense official centers page,Lebanese Civil Defense,official_directory,http://www.civildefense.gov.lb/index.php?page=centers,T0_official,Official Civil Defense centers page.,Browser snapshot on 2026-05-31 confirmed page existence/title but did not expose full station list; use only for broad centers-page evidence until station details are separately verified.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-CD-STATIONS-MAP-2010,Lebanese Civil Defense Lebanon overview PDF,Lebanese Civil Defense,official_pdf,http://www.civildefense.gov.lb/uploads/file/Civil%20Defense%20Lebanon_overview.pdf,T0_official,Historic Civil Defense station and capability overview map linked from official homepage.,Prepared 2010; use as historical station-coverage evidence only and require review before current nearest-station routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOE-MANDATE,Ministry of Environment website,Ministry of Environment,official_portal,https://www.moe.gov.lb/,T0_official,Ministry of Environment official portal for environmental complaints and sector information.,Use for environmental regulator context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOE-CONTACT,MOE Contact Us,Ministry of Environment,official_contact,https://moe.gov.lb/contact-us.aspx?lang=en-us,T0_official,MOE address phone short code fax email and online contact form.,Use for environmental complaint channel and contact fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOE-COMPLAINTS,MOE environmental complaint instructions,Ministry of Environment,official_complaint_process,https://www.moe.gov.lb/%D8%A7%D9%84%D8%B4%D9%83%D8%A7%D9%88%D9%89/%D8%A7%D9%84%D8%B4%D9%83%D8%A7%D9%88%D9%89-%D8%A7%D9%84%D8%A8%D9%8A%D9%8A%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%82%D8%AF%D9%85%D8%A9-%D8%B9%D8%A8%D8%B1-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D9%8A%D8%A9.aspx,T0_official,MOE complaint hotline fax email required form details and complaint number/date process.,Use for environmental complaint process and reference-number policy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-EDZ-CONCESSION,Electricite de Zahle company profile,Electricite de Zahle,official_profile,https://edz.com.lb/landing.aspx?pageid=3,T0_official,EDZ describes Zahle concession and distribution network coverage.,Use for Zahle electricity exception and concession context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-EDZ-CONTACT,Electricite de Zahle Contact Us,Electricite de Zahle,official_contact,https://www.edz.com.lb/contactus.aspx?pageid=23,T0_official,EDZ phone fax office address email office-hours and contact form details.,Use for Zahle electricity contact routing and EDZ email verification.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-EDZ-COMPLAINT,Electricite de Zahle file a complaint form,Electricite de Zahle,official_complaint_process,https://www.edz.com.lb/Services/File_a_Complaint,T0_official,EDZ complaint form requiring meter serial and subscription number.,Use for EDZ complaint process and required-fields evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOIM-CONTACT,MOIM contact footer and complaints room,Ministry of Interior and Municipalities,official_contact,https://moim.gov.lb/%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D8%A7%D8%AA-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D9%8A%D8%A9-%D9%84%D9%85%D9%86%D8%B5%D8%A9-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B4%D8%AA/,T0_official,MOIM footer phone numbers address and complaints-room number.,Use for MOIM non-emergency contact only.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-DGLAC-CONTACT,DGLAC home and contact details,DGLAC,official_contact,https://www.dglac.gov.lb/en/web/guest/home,T0_official,DGLAC role phone address working hours and contact section.,Use for local-administration contact and directory context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-DGLAC-FAQ,DGLAC FAQ,DGLAC,official_faq,https://www.dglac.gov.lb/faq,T0_official,DGLAC FAQ with WhatsApp/contact numbers registration tracking and email contact.,Use for form tracking and DGLAC channel evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CIB-CONTACT,Central Inspection contact form,Central Inspection,official_contact,https://www.cib.gov.lb/en/contact-us,T0_official,Central Inspection online contact form and complaint submission instructions.,Use for oversight complaint channels.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-CIB-COMPLAINT,Central Inspection complaint form,Central Inspection,official_complaint_process,https://www.cib.gov.lb/en/node/1029,T0_official,Central Inspection complaint process including walk-in registration and reference slip.,Use for complaint steps and ticket-reference policy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-TRA-MANDATE,TRA Our organization,Telecommunications Regulatory Authority,official_mandate,https://www.tra.gov.lb/Our-organization,T0_official,TRA mandate to regulate telecom competition consumer rights licensing spectrum and market oversight.,Use for telecom regulatory escalation and TRA source refs.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-TRA-COMPLAINT,TRA filing a complaint,Telecommunications Regulatory Authority,official_complaint_process,https://www.tra.gov.lb/Filing-complaint-with-TRA,T0_official,TRA Consumer Protection Directorate complaint escalation through 1739 after provider resolution failure or missed deadlines.,Use for TRA complaint routing and process evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-TRA-CONSUMER-COMPLAINTS,TRA resolving your complaints,Telecommunications Regulatory Authority,official_complaint_process,https://www.tra.gov.lb/Protecting-your-rights-Resolving-your-complaints,T0_official,Provider-first consumer complaint workflow with 10-day acknowledgment 20-day escalation 1739 and consumer email.,Use as regulatory escalation after provider handling failure. Do not use as first-line technical dispatch.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ALFA-SUPPORT-FAQ,Alfa Support FAQ,Alfa,official_operator_site,https://www.alfa.com.lb/en/support/faq,T0_official_operator,Alfa customer support and claims channel evidence including 111 03 391111 live chat email social channels and store locations.,Use for Alfa operator-first mobile routing. Exact online form fields or email address are not encoded unless independently captured.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-TOUCH-CONTACT-FORM,Touch Contact Form,Touch,official_operator_site,https://www.touch.com.lb/autoforms/portal/touch/support/contact-us,T0_official_operator,Touch customer support and claims channel evidence including 111 IVR live chat contact form 03 800111 and info email.,Use for Touch operator-first mobile routing. Exact info email address is not encoded unless independently captured.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-ABOUT,BMLWE About Us,Beirut and Mount Lebanon Water Establishment,official_portal,https://ebml.gov.lb/about.php?lang=en,T0_official,BMLWE mission and potable/wastewater water-quality monitoring context.,Use for Beirut/Mount Lebanon water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-ABOUT,Bekaa Water Establishment About,Bekaa Water Establishment,official_portal,https://bwe.gov.lb/en/about/,T0_official,"BWE entrusted with water sector in Bekaa/Baalbek-Hermel: drinking, irrigation, wastewater collection/treatment.",Use for Bekaa/Baalbek-Hermel water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-HOME,Bekaa Water Establishment Home,Bekaa Water Establishment,official_portal,https://bwe.gov.lb/en/home/,T0_official,BWE e-services/customer services and subscriber context.,Use for workflow/channel evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-OMT,North Lebanon Water Establishment OMT governmental service,OMT,governmental_service_partner,https://www.omt.com.lb/en/services/governmental/north-lebanon-water-establishment-nlwe,T1_partner,NLWE subscribers to drinking water and sewage services in North Lebanon; payment/service evidence.,Need official NLWE page for higher confidence if available.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-HOME,North Lebanon Water Establishment Home,North Lebanon Water Establishment,official_portal,https://eeln.gov.lb/en/home/,T0_official,NLWE public portal and customer-service context.,Use to verify channels and working hours.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-HOME,South Lebanon Water Establishment Home,South Lebanon Water Establishment,official_portal,https://www.slwe.gov.lb/,T0_official,South Lebanon Water Establishment public portal; water tanks/quality and contact navigation.,Use for South/Nabatieh water routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-SLWE-OMT,South Lebanon Water Establishment OMT governmental service,OMT,governmental_service_partner,https://www.omt.com.lb/en/services/governmental/south-lebanon-water-establishment,T1_partner,Subscribers to drinking water and sewage services in South and Nabatieh governorates.,Useful service-area evidence; official SLWE page still preferred.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-CONTACT,EBML Contact Us,Beirut and Mount Lebanon Water Establishment,official_contact,https://ebml.gov.lb/contactus.php?lang=en,T0_official,BMLWE hotline email office phone and district office list.,Use for Beirut and Mount Lebanon water contact routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BWE-CONTACT,Bekaa Water Establishment Contact Us,Bekaa Water Establishment,official_contact,https://bwe.gov.lb/en/contact/,T0_official,BWE main office email phone branch phones and contact form.,Use for Bekaa water contact routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-FAQ,EBML FAQ,Beirut and Mount Lebanon Water Establishment,official_customer_service,https://ebml.gov.lb/faq.php?lang=en,T0_official,EBML fault and leak reporting through ticketing system website/app or hotline 1713.,Use for BMLWE complaint channels and required handling notes.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-FORMS,EBML forms and required documents,Beirut and Mount Lebanon Water Establishment,official_forms,https://ebml.gov.lb/forms.php?lang=en,T0_official,EBML subscription meter transfer and service-request form/document list.,Use for BMLWE service request evidence requirements.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-BMLWE-TICKET,EBML online ticketing system,Beirut and Mount Lebanon Water Establishment,official_complaint_channel,https://ebml.gov.lb/user_ticket.php?lang=en,T0_official,EBML ticketing endpoint referenced from official navigation and FAQ.,Use for BMLWE online complaint channel; page may require browser/session rendering.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-ABOUT,North Lebanon Water Establishment about,North Lebanon Water Establishment,official_portal,https://eeln.gov.lb/en/about/,T0_official,NLWE legal basis service mission production figures and water/sanitation expansion mission.,Use for NLWE mandate and North/Akkar routing context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-CONTACT,North Lebanon Water Establishment contact,North Lebanon Water Establishment,official_contact,https://eeln.gov.lb/en/contact/,T0_official,NLWE main office email phone contact form working hours and district branch numbers.,Use for NLWE contact and walk-in/branch routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-CUSTOMER-SERVICE,North Lebanon Water Establishment customer service,North Lebanon Water Establishment,official_complaint_process,https://eeln.gov.lb/en/customer-services/,T0_official,NLWE customer-service page states complaints are received and asks for subscriber name subscription number problem and address; complaint phone 1712.,Use for NLWE complaint process and evidence fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-SERVICE-REQUESTS,North Lebanon Water Establishment service requests and forms,North Lebanon Water Establishment,official_forms,https://eeln.gov.lb/en/customer-services1/,T0_official,NLWE service-request page gives phone 06/430075 office visit process and required documents for subscriptions and changes.,Use for NLWE non-complaint service workflow requirements.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-NLWE-ESERVICES,North Lebanon Water Establishment electronic services,North Lebanon Water Establishment,official_eservices,https://eservices.eeln.gov.lb/Home1?language=en-US,T0_official,NLWE e-services include bill inquiry and bill payment.,Use for NLWE online channel taxonomy.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
