workflow_id,complaint_type_id,complaint_type,intake_stage,triage_stage,referral_stage,field_remediation_stage,closure_criteria,official_sla_policy,deadline_policy,source_ids,confidence,status,last_verified
WF-011,CT-ROAD-005,road_blocked_by_debris,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-012,CT-ROAD-006,snow_or_storm_road_closure,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-013,CT-ROAD-007,unsafe_road_sign_or_missing_barrier,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-014,CT-DRAIN-001,blocked_storm_drain_local,"Capture exact location, rain/storm context, drain/manhole, road class, flooding depth/danger.",Local drain vs main-road drainage vs sewage overflow vs emergency flooding.,Municipality for local storm drains; MPWT for main/classified road drainage; water establishment for sewage/network; Civil Defense if rescue/danger.,"Unblock drain, pump/clear water, inspect line, refer to infrastructure owner.",Close only after water recedes/line cleared/official handoff documented.,No default SLA.,Use observed incident timelines only.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-015,CT-DRAIN-002,main_road_flooding,"Capture exact location, rain/storm context, drain/manhole, road class, flooding depth/danger.",Local drain vs main-road drainage vs sewage overflow vs emergency flooding.,Municipality for local storm drains; MPWT for main/classified road drainage; water establishment for sewage/network; Civil Defense if rescue/danger.,"Unblock drain, pump/clear water, inspect line, refer to infrastructure owner.",Close only after water recedes/line cleared/official handoff documented.,No default SLA.,Use observed incident timelines only.,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_workflow,2026-05-29
WF-016,CT-DRAIN-003,rainwater_not_discharging,"Capture exact location, rain/storm context, drain/manhole, road class, flooding depth/danger.",Local drain vs main-road drainage vs sewage overflow vs emergency flooding.,Municipality for local storm drains; MPWT for main/classified road drainage; water establishment for sewage/network; Civil Defense if rescue/danger.,"Unblock drain, pump/clear water, inspect line, refer to infrastructure owner.",Close only after water recedes/line cleared/official handoff documented.,No default SLA.,Use observed incident timelines only.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-017,CT-DRAIN-004,sewage_overflow_public,"Capture exact location, rain/storm context, drain/manhole, road class, flooding depth/danger.",Local drain vs main-road drainage vs sewage overflow vs emergency flooding.,Municipality for local storm drains; MPWT for main/classified road drainage; water establishment for sewage/network; Civil Defense if rescue/danger.,"Unblock drain, pump/clear water, inspect line, refer to infrastructure owner.",Close only after water recedes/line cleared/official handoff documented.,No default SLA.,Use observed incident timelines only.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-018,CT-WATER-001,water_outage_area,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-019,CT-WATER-002,dirty_water_from_tap,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-020,CT-WATER-003,public_water_pipe_leak,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-021,CT-WATER-004,water_pressure_low,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-022,CT-WATER-005,water_meter_or_bill_issue,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-023,CT-WATER-006,irrigation_water_issue,"Capture municipality, neighborhood, water issue type, tap/public pipe/meter, duration, photos if leak.",Map municipality to BMLWE/NLWE/SLWE/BWE; distinguish public network from private building/plumbing.,"Relevant water establishment for public network, customer service for bill/meter; municipality only for forwarding/public-space effects.","Inspect network, valve/pump/source, repair pipe/meter, restore supply or issue notice.","Close only when supply restored, leak fixed, or official notice explains outage/restoration.",No generic SLA unless WE publishes one.,Do not promise restoration time unless official notice provides it.,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_workflow,2026-05-29
WF-024,CT-ELEC-001,area_power_outage,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_workflow,2026-05-29
WF-025,CT-ELEC-002,exposed_electric_wires,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_workflow,2026-05-29
WF-026,CT-ELEC-003,sparking_wire_or_box,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_workflow,2026-05-29
WF-027,CT-ELEC-004,street_light_out,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-028,CT-ELEC-005,transformer_fault,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_workflow,2026-05-29
WF-029,CT-ELEC-006,electric_meter_issue,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_workflow,2026-05-29
WF-030,CT-ELEC-007,private_generator_issue,"Capture exact asset/location, outage vs wire/box/transformer, sparks/fire/noise, public danger.",EDL grid vs municipal streetlight vs private generator/concession; safety gate if exposed/sparking.,EDL for grid/wires/transformer; Civil Defense/ISF if danger; municipality for streetlight fixture where appropriate; private generator owner/local regulator for eshtirak.,"Secure hazard, dispatch repair crew, replace/repair line/transformer/light fixture as applicable.",Close after official repair/restoration or safety secured evidence.,No default SLA.,Use official outage/repair notices only.,SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_workflow,2026-05-29
WF-031,CT-TEL-001,fixed_internet_outage,"Capture fixed line vs mobile, municipality, line/cabinet/cable, service account if private support workflow.",OGERO fixed telecom vs mobile operator vs public-space hazard.,OGERO for fixed internet/landline/cabinet/cable; mobile operator/regulator for cellular; municipality/ISF if physical hazard.,"Check line/cabinet/exchange, dispatch technician, repair cable or service.",Close after service restored or OGERO/status evidence.,No default civic SLA.,Do not invent repair deadline.,SRC-OGERO-MISSION,medium,seed_workflow,2026-05-29
WF-032,CT-TEL-002,landline_down,"Capture fixed line vs mobile, municipality, line/cabinet/cable, service account if private support workflow.",OGERO fixed telecom vs mobile operator vs public-space hazard.,OGERO for fixed internet/landline/cabinet/cable; mobile operator/regulator for cellular; municipality/ISF if physical hazard.,"Check line/cabinet/exchange, dispatch technician, repair cable or service.",Close after service restored or OGERO/status evidence.,No default civic SLA.,Do not invent repair deadline.,SRC-OGERO-MISSION,medium,seed_workflow,2026-05-29
WF-033,CT-TEL-003,telecom_cable_cut,"Capture fixed line vs mobile, municipality, line/cabinet/cable, service account if private support workflow.",OGERO fixed telecom vs mobile operator vs public-space hazard.,OGERO for fixed internet/landline/cabinet/cable; mobile operator/regulator for cellular; municipality/ISF if physical hazard.,"Check line/cabinet/exchange, dispatch technician, repair cable or service.",Close after service restored or OGERO/status evidence.,No default civic SLA.,Do not invent repair deadline.,SRC-OGERO-MISSION,medium,seed_workflow,2026-05-29
WF-034,CT-TEL-004,telecom_cabinet_open_or_damaged,"Capture fixed line vs mobile, municipality, line/cabinet/cable, service account if private support workflow.",OGERO fixed telecom vs mobile operator vs public-space hazard.,OGERO for fixed internet/landline/cabinet/cable; mobile operator/regulator for cellular; municipality/ISF if physical hazard.,"Check line/cabinet/exchange, dispatch technician, repair cable or service.",Close after service restored or OGERO/status evidence.,No default civic SLA.,Do not invent repair deadline.,SRC-OGERO-MISSION,medium,seed_workflow,2026-05-29
WF-035,CT-TEL-005,mobile_network_outage,"Capture fixed line vs mobile, municipality, line/cabinet/cable, service account if private support workflow.",OGERO fixed telecom vs mobile operator vs public-space hazard.,OGERO for fixed internet/landline/cabinet/cable; mobile operator/regulator for cellular; municipality/ISF if physical hazard.,"Check line/cabinet/exchange, dispatch technician, repair cable or service.",Close after service restored or OGERO/status evidence.,No default civic SLA.,Do not invent repair deadline.,SRC-OGERO-MISSION,medium,seed_workflow,2026-05-29
WF-036,CT-SAFE-001,fire_public_area,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-CIVILDEF-UNDP-2026,medium,seed_workflow,2026-05-29
WF-037,CT-SAFE-002,building_collapse_risk,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-038,CT-SAFE-003,crime_or_threat,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-ISF-STRATEGIC;SRC-ISF-UNITS,medium,seed_workflow,2026-05-29
WF-039,CT-SAFE-004,traffic_accident_or_danger,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-ISF-STRATEGIC;SRC-ISF-UNITS,medium,seed_workflow,2026-05-29
WF-040,CT-SAFE-005,dangerous_tree_or_pole,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-041,CT-SAFE-006,stray_animals_public_risk,"Capture exact location, immediate risk, people affected, asset involved, safest contact path.",Emergency/fire/rescue/security vs routine municipal safety issue.,Civil Defense for fire/rescue/collapse danger; ISF for crime/security/traffic; municipality/EDL/MPWT after safety triage.,"Emergency response first, then technical/public works repair if needed.",Close only after hazard controlled and responsible technical owner identified.,Emergency route has immediate escalation; no civic repair SLA.,No non-official deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-042,CT-MUNI-001,illegal_parking_blocking_access,"Capture municipality, exact place, violation type, time pattern, safety/security level.",Minor local enforcement vs traffic/crime/security; private dispute vs public-space violation.,Municipality/municipal police for local non-criminal enforcement; ISF if crime/threat/major traffic risk.,"Inspection, warning/fine/removal/referral as per local rules.","Close after action taken, violation resolved, or formal referral.",No default SLA.,Do not invent enforcement deadlines.,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_workflow,2026-05-29
WF-043,CT-MUNI-002,noise_complaint_local,"Capture municipality, exact place, violation type, time pattern, safety/security level.",Minor local enforcement vs traffic/crime/security; private dispute vs public-space violation.,Municipality/municipal police for local non-criminal enforcement; ISF if crime/threat/major traffic risk.,"Inspection, warning/fine/removal/referral as per local rules.","Close after action taken, violation resolved, or formal referral.",No default SLA.,Do not invent enforcement deadlines.,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_workflow,2026-05-29
WF-044,CT-MUNI-003,public_space_obstruction,"Capture municipality, exact place, violation type, time pattern, safety/security level.",Minor local enforcement vs traffic/crime/security; private dispute vs public-space violation.,Municipality/municipal police for local non-criminal enforcement; ISF if crime/threat/major traffic risk.,"Inspection, warning/fine/removal/referral as per local rules.","Close after action taken, violation resolved, or formal referral.",No default SLA.,Do not invent enforcement deadlines.,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_workflow,2026-05-29
WF-045,CT-MUNI-004,illegal_construction_visible,"Capture municipality, exact place, violation type, time pattern, safety/security level.",Minor local enforcement vs traffic/crime/security; private dispute vs public-space violation.,Municipality/municipal police for local non-criminal enforcement; ISF if crime/threat/major traffic risk.,"Inspection, warning/fine/removal/referral as per local rules.","Close after action taken, violation resolved, or formal referral.",No default SLA.,Do not invent enforcement deadlines.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-046,CT-MUNI-005,municipal_permit_or_license,"Capture municipality, exact place, violation type, time pattern, safety/security level.",Minor local enforcement vs traffic/crime/security; private dispute vs public-space violation.,Municipality/municipal police for local non-criminal enforcement; ISF if crime/threat/major traffic risk.,"Inspection, warning/fine/removal/referral as per local rules.","Close after action taken, violation resolved, or formal referral.",No default SLA.,Do not invent enforcement deadlines.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-047,CT-ENV-001,air_pollution_smoke,"Capture source, exact location, type of pollution, photos, health/safety indicators.",Local nuisance vs industrial/hazardous/regulatory issue; public-health gate.,Municipality for local nuisance; MoE/regulators for industrial/hazardous; ISF/Civil Defense if immediate danger.,"Inspection, sampling if relevant, enforcement/referral, cleanup order.",Close only with inspection result/cleanup/order/resolution evidence.,No default SLA.,No deadline without official process source.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-048,CT-ENV-002,industrial_pollution,"Capture source, exact location, type of pollution, photos, health/safety indicators.",Local nuisance vs industrial/hazardous/regulatory issue; public-health gate.,Municipality for local nuisance; MoE/regulators for industrial/hazardous; ISF/Civil Defense if immediate danger.,"Inspection, sampling if relevant, enforcement/referral, cleanup order.",Close only with inspection result/cleanup/order/resolution evidence.,No default SLA.,No deadline without official process source.,SRC-MOE-SWM-POLICY,medium,seed_workflow,2026-05-29
