term_id,canonical_arabizi,variants,arabic_lebanese,english_meaning,language_role,sector_hint,issue_hint,asset_type,source,confidence,complaint_use,context_required,negative_constraints,example_contexts,review_status
CFL-00041,l shantet ma wasslo,l shantet ma wasslo; l shantet ma wasslo,الشنط ما وصلوا,the bags did not arrive,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00042,l suitcase ma wasslit,el suitcase ma wasslet; l suitcase ma wasslit,السووتكيس ما وصلت,the suitcase did not arrive,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00043,l taxi bel matar ghale,l taxi bel matar ghale; l taxi bel matar ghale,التاكسي بالمطار غالي,the airport taxi is expensive,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00044,l taxi t2akhar 3al matar,l taxi t2akhar 3al matar; l taxi t2akhar 3al matar,التاكسي تأخّر عالمطار,the taxi was late to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00045,l visa ba3da,l visa ba3da; l visa ba3da ma tli3et,الفيزا بعدها,the visa is still pending,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00046,l visa tl3et,l visa tl3et; l visa tli3et,الفيزا طلعت,the visa came out,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00047,ma 7a l7a2 l flight,ma 7a l7a2 l flight; ma rah la7e2 el flight,ما رح لحق الفلايت,I will not make the flight,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00048,ma 7a nel7a2 l flight,ma 7a nel7a2 l flight; ma ra7 nel7a2 el flight,ما رح نلحق الفلايت,we will not catch the flight,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00049,ma baddi et2akhar 3al matar,ma baddi et2akhar 3al matar; ma bade et2akhar 3al matar,ما بدي إتأخر عالمطار,I do not want to be late to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00050,ma fi mahal bel shanta,ma fe mahal bel shanta; ma fi mahal bel shanta,ما في محل بالشنطة,there is no space in the bag,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00051,ma tdayye3 l boarding pass,ma tdaye3 el boarding pass; ma tdayye3 l boarding pass,ما تضيّع البوردينغ باس,do not lose the boarding pass,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00052,ma tensa l passport,ma tensa l passport; ma tinsa l passport,ما تنسى الباسبور,do not forget the passport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00053,ma tense l passport,ma tense l passport; ma tinsi l passport,ما تنسي الباسبور,do not forget the passport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00054,ma tenso l passports,ma tenso l passports; ma tenso l passports,ما تنسوا الباسبورات,do not forget the passports,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00055,ma3ak l passport,m3ak l passport; ma3ak l passport,معك الباسبور؟,do you have the passport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00056,ma3ik l passport,ma3ik l passport; ma3ik l passport,معك الباسبور؟,do you have the passport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00057,nater l shanta,nater l shanta; natir el shanta,ناطر الشنطة,I am waiting for the suitcase,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00058,nseet l boarding pass,nseet l boarding pass; nseit l boarding pass,نسيت البوردينغ باس,I forgot the boarding pass,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00059,nseet l passport,nseet l passport; nseit l passport; nsit l passport,نسيت الباسبور,I forgot the passport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00060,nseet shi bel shanta,nseet shi bel shanta; nsit shi bel shanta,نسيت شي بالشنطة,I forgot something in the suitcase,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00061,rayeh 3al matar,rayeh 3al matar; rayeh aal matar; rayi7 3al matar,رايح عالمطار,I am going to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00062,rayha 3al matar,ray7a 3al matar; rayha 3al matar; rayha aal matar,رايحة عالمطار,I am going to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00063,rayhin 3al airport,rayhin 3al airport; rayhin aal airport,رايحين عالأيربورت,we are going to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00064,stanna 3and l arrivals,stana 3and el arrivals; stanna 3and l arrivals,استنّى عند الأرايفلز,wait at arrivals,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00065,we3yna mn l sobo7 3al matar,we3ina mn el sobo7 3al matar; we3yna mn l sobo7 3al matar,وعينا من الصبح عالمطار,we woke up early for the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00066,wen l gate,wein el gate; wein l gate; wen l gate; wen l geit,وين الغيت؟,where is the gate?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00067,wen l passport,wen el passport; wen l passport,وين الباسبور؟,where is the passport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00068,wen l shanta,wein l shanta; wen l shanta,وين الشنطة؟,where is the bag?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00069,wselet 3al matar,wselet 3al matar; wsilet 3al matar,وصلت عالمطار,I arrived at the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00070,wselna 3al airport,wselna 3al airport; wselna 3al airport,وصلنا عالمطار,we reached the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00071,wsolt 3al matar,wsolt 3al matar; wsolt 3al matar,وصلت عالمطار,I arrived at the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00072,CD,CD,,,agency_hint,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00073,EDL,EDL,,,agency_hint,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00074,MUN,MUN,,,agency_hint,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00075,box kahraba,box kahraba,,,asset,ELECTRICITY,dangerous_electrical_box,box kahraba; tableau; cabinet,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00076,cabinet,cabinet,,,asset,ELECTRICITY,dangerous_electrical_box,box kahraba; tableau; cabinet,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00077,tableau,tableau,,,asset,ELECTRICITY,dangerous_electrical_box,box kahraba; tableau; cabinet,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00078,citizen-observed failure,citizen-observed failure,,,cause,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00079,unknown,unknown,,,cause,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00080,bidoon ghata,bidoon ghata,,,failure_mode,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00081,mfatou7,mfatou7,,,failure_mode,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00082,wires baynin,wires baynin,,,failure_mode,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00083,private-only issue without public asset,private-only issue without public asset,,,forbidden_combination,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00084,unrelated app/file/password context,unrelated app/file/password context,,,forbidden_combination,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00085,private-only issue,private-only issue,,,hard_negative_near_miss,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00086,unrelated app/file/password/order context,unrelated app/file/password/order context,,,hard_negative_near_miss,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00087,public box vs private building box,public box vs private building box,,,hitl_trigger,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,TRUE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00088,children can touch,children can touch,,,impact,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00089,electrocution risk,electrocution risk,,,impact,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00090,3al rasif,3al rasif,,,location_pattern,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00091,7ad l school,7ad l school,,,location_pattern,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00092,bel park,bel park,,,location_pattern,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00093,GPS,GPS,,,required_evidence,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00094,image,image,,,required_evidence,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00095,time observed,time observed,,,required_evidence,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00096,public agency depends on asset and location,public agency depends on asset and location,,,responsible_party_hint,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00097,missing cover,missing cover,,,state,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00098,vandalism,vandalism,,,state,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00099,kel yom,kel yom,,,time_expression,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00100,men embare7,men embare7,,,time_expression,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00101,men tlet iyem,men tlet iyem,,,time_expression,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
CFL-00102,3ajil,3ajil,,,urgency_expression,ELECTRICITY,dangerous_electrical_box,,scenario_inventory,curated,generation_component,FALSE,private-only issue without public asset; unrelated app/file/password context,box kahraba mfatou7 3al rasif; fi wires baynin bel tableau barra; ghata l box kahraba maf2oud 7ad l madrase,seed
