rule_id,complaint_type_id,complaint_type,condition,primary_entity_selector,secondary_entity_selector,hitl_required,hitl_reason,false_positive_risk,evidence_required_for_production,source_ids,confidence,status,last_verified,entity_id_canonical
RR-021,CT-WATER-004,water_pressure_low,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium_high,seed_rule,2026-05-29,RWA_DYNAMIC
RR-022,CT-WATER-005,water_meter_or_bill_issue,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium_high,seed_rule,2026-05-29,RWA_DYNAMIC
RR-023,CT-WATER-006,irrigation_water_issue,"Map municipality/governorate to one of BMLWE/NLWE/SLWE/BWE; if mapping absent, ask for location or route to HITL.",WATER_ESTABLISHMENT_BY_LOCATION,MUN_DYNAMIC for intake/forwarding; MOEW for policy/escalation only.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-HOME;SRC-SLWE-HOME,medium,seed_rule,2026-05-29,RWA_DYNAMIC
RR-024,CT-ELEC-001,area_power_outage,"Issue concerns grid-side electricity generation/transmission/distribution, public power line, transformer or grid equipment.",EDL,CIVIL_DEFENSE/ISF for immediate public danger; municipality for streetlight fixture/local reporting.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium_high,seed_rule,2026-05-29,EDL
RR-025,CT-ELEC-002,exposed_electric_wires,"Issue concerns grid-side electricity generation/transmission/distribution, public power line, transformer or grid equipment.",EDL,CIVIL_DEFENSE/ISF for immediate public danger; municipality for streetlight fixture/local reporting.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_rule,2026-05-29,EDL
RR-026,CT-ELEC-003,sparking_wire_or_box,"Issue concerns grid-side electricity generation/transmission/distribution, public power line, transformer or grid equipment.",EDL,CIVIL_DEFENSE/ISF for immediate public danger; municipality for streetlight fixture/local reporting.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_rule,2026-05-29,EDL
RR-027,CT-ELEC-004,street_light_out,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-028,CT-ELEC-005,transformer_fault,"Issue concerns grid-side electricity generation/transmission/distribution, public power line, transformer or grid equipment.",EDL,CIVIL_DEFENSE/ISF for immediate public danger; municipality for streetlight fixture/local reporting.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium,seed_rule,2026-05-29,EDL
RR-029,CT-ELEC-006,electric_meter_issue,"Issue concerns grid-side electricity generation/transmission/distribution, public power line, transformer or grid equipment.",EDL,CIVIL_DEFENSE/ISF for immediate public danger; municipality for streetlight fixture/local reporting.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,medium_high,seed_rule,2026-05-29,EDL
RR-030,CT-ELEC-007,private_generator_issue,"Route only after extracting complaint type, location and responsible-sector evidence.",PRIVATE_GENERATOR_OR_MUNICIPALITY_IF_LICENSED,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_rule,2026-05-29,PRIVATE_GEN
RR-031,CT-TEL-001,fixed_internet_outage,"Issue concerns fixed telecom/landline/internet infrastructure, telecom cabinet, copper/fiber line, OGERO service area.",OGERO,MUN_DYNAMIC if physical obstruction/public-space hazard; mobile operator if cellular network.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-OGERO-MISSION,medium_high,seed_rule,2026-05-29,OGERO
RR-032,CT-TEL-002,landline_down,"Issue concerns fixed telecom/landline/internet infrastructure, telecom cabinet, copper/fiber line, OGERO service area.",OGERO,MUN_DYNAMIC if physical obstruction/public-space hazard; mobile operator if cellular network.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-OGERO-MISSION,medium_high,seed_rule,2026-05-29,OGERO
RR-033,CT-TEL-003,telecom_cable_cut,"Issue concerns fixed telecom/landline/internet infrastructure, telecom cabinet, copper/fiber line, OGERO service area.",OGERO,MUN_DYNAMIC if physical obstruction/public-space hazard; mobile operator if cellular network.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-OGERO-MISSION,medium,seed_rule,2026-05-29,OGERO
RR-034,CT-TEL-004,telecom_cabinet_open_or_damaged,"Issue concerns fixed telecom/landline/internet infrastructure, telecom cabinet, copper/fiber line, OGERO service area.",OGERO,MUN_DYNAMIC if physical obstruction/public-space hazard; mobile operator if cellular network.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-OGERO-MISSION,medium_high,seed_rule,2026-05-29,OGERO
RR-035,CT-TEL-005,mobile_network_outage,"Route only after extracting complaint type, location and responsible-sector evidence.",TRA,HITL if missing location/domain or if entity boundary is ambiguous.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-OGERO-MISSION,medium_high,seed_rule,2026-05-29,TRA
RR-036,CT-SAFE-001,fire_public_area,Immediate fire/rescue/life-safety event or active emergency.,CIVIL_DEFENSE,ISF for security/order; MUN_DYNAMIC/EDL/MPWT/WE after emergency is stabilized.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-CIVILDEF-UNDP-2026,medium,seed_rule,2026-05-29,CD
RR-037,CT-SAFE-002,building_collapse_risk,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-038,CT-SAFE-003,crime_or_threat,"Crime, threat, public order, serious traffic/security issue or public safety requiring law enforcement.",ISF,MUNICIPAL_POLICE_DYNAMIC only for minor local enforcement; CIVIL_DEFENSE for rescue/fire.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-ISF-STRATEGIC;SRC-ISF-UNITS,medium,seed_rule,2026-05-29,ISF
RR-039,CT-SAFE-004,traffic_accident_or_danger,"Crime, threat, public order, serious traffic/security issue or public safety requiring law enforcement.",ISF,MUNICIPAL_POLICE_DYNAMIC only for minor local enforcement; CIVIL_DEFENSE for rescue/fire.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-ISF-STRATEGIC;SRC-ISF-UNITS,medium,seed_rule,2026-05-29,ISF
RR-040,CT-SAFE-005,dangerous_tree_or_pole,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-041,CT-SAFE-006,stray_animals_public_risk,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-042,CT-MUNI-001,illegal_parking_blocking_access,Minor municipal enforcement/public-space/parking/noise issue within municipality and no serious security threat.,MUNICIPAL_POLICE_DYNAMIC,ISF if crime/threat/major traffic issue; municipality admin for non-urgent issue.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium_high,seed_rule,2026-05-29,MUNICIPAL_POLICE
RR-043,CT-MUNI-002,noise_complaint_local,Minor municipal enforcement/public-space/parking/noise issue within municipality and no serious security threat.,MUNICIPAL_POLICE_DYNAMIC,ISF if crime/threat/major traffic issue; municipality admin for non-urgent issue.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_rule,2026-05-29,MUNICIPAL_POLICE
RR-044,CT-MUNI-003,public_space_obstruction,Minor municipal enforcement/public-space/parking/noise issue within municipality and no serious security threat.,MUNICIPAL_POLICE_DYNAMIC,ISF if crime/threat/major traffic issue; municipality admin for non-urgent issue.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium_high,seed_rule,2026-05-29,MUNICIPAL_POLICE
RR-045,CT-MUNI-004,illegal_construction_visible,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-046,CT-MUNI-005,municipal_permit_or_license,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-047,CT-ENV-001,air_pollution_smoke,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
RR-048,CT-ENV-002,industrial_pollution,"Route only after extracting complaint type, location and responsible-sector evidence.",MOE,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MOE-SWM-POLICY,medium,seed_rule,2026-05-29,MOE
RR-049,CT-ENV-003,river_or_stream_pollution,"Route only after extracting complaint type, location and responsible-sector evidence.",MOE,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MOE-SWM-POLICY,medium,seed_rule,2026-05-29,MOE
RR-050,CT-ENV-004,quarry_or_crusher_issue,"Route only after extracting complaint type, location and responsible-sector evidence.",MOE_OR_MOEW_OR_LOCAL_AUTHORITY,HITL if missing location/domain or if entity boundary is ambiguous.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MOE-SWM-POLICY;SRC-MOEW-DGO;SRC-MUNI-AUTONOMY-HANDBOOK,medium,seed_rule,2026-05-29,MOE_MOEW
RR-051,CT-ADMIN-001,municipality_not_responding,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium_high,seed_rule,2026-05-29,MUN
RR-052,CT-ADMIN-002,public_body_corruption_or_misconduct,"Complaint is about administration misconduct, corruption, or oversight of a public body, not a field repair.",CENTRAL_INSPECTION,Original service entity remains field resolver; Central Inspection is oversight/escalation.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-CIB-MANDATE;SRC-CIB-ROLE,medium,seed_rule,2026-05-29,CENTRAL_INSPECTION
RR-053,CT-ADMIN-003,service_request_status,"Route only after extracting complaint type, location and responsible-sector evidence.",DGLAC_OR_MUN_DYNAMIC,HITL if missing location/domain or if entity boundary is ambiguous.,false,not required by default; still use if location/source missing,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-DGLAC-MUNI-DIR;SRC-DGLAC-HOME,medium_high,seed_rule,2026-05-29,DGLAC_MUN
RR-054,CT-ADMIN-004,complaint_against_public_administration,"Complaint is about administration misconduct, corruption, or oversight of a public body, not a field repair.",CENTRAL_INSPECTION,Original service entity remains field resolver; Central Inspection is oversight/escalation.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-CIB-MANDATE;SRC-CIB-ROLE,medium,seed_rule,2026-05-29,CENTRAL_INSPECTION
RR-055,CT-PROJ-001,active_public_works_complaint,Complaint is within municipal boundary and not clearly assigned to national/regional sector entity.,MUN_DYNAMIC,MUN_UNION_DYNAMIC if verified shared service; MPWT/EDL/WE/OGERO if sector evidence overrides.,true,safety/entity-boundary/location-sensitive,wrong_agency_if_location_or_asset_owner_unknown,registered_source_id; municipality/district/exact_location as required; no inferred SLA unless observed or official,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_rule,2026-05-29,MUN
