﻿addition_id,arabic_script,english,sector,issue_type,category,normalization,variants,suggested_tiers,impact_level,v2_review_priority,why_add,v2_allowed_uses,v2_blocked_uses,review_status,reviewer_id,second_reviewer_required,decision,must_not_auto_promote
ADD-BFL-0011,مصعد عالق,stuck elevator,SAFETY,INJURY,noun_infra,مصعد عالق,ascenseur 3ale2|lift 3ale2|7ada 3ale2 bel ascenseur|mas3ad 3ale2,A/A/B/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,High-impact safety/HITL scenario; common building complaint.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0012,حيوان نافق,dead animal,WASTE,GARBAGE_NOT_COLLECTED,noun_infra,حيوان نافق,7ayawen meyyet|basse meyyte|kalb meyyet|dead animal,A/A/B/B,HIGH,P2_REVIEW,Strong waste/public-health missing class; affects smell and safety.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0013,جرذان,rats / rodents,WASTE,OVERFLOWING_BIN,noun_infra,جرذان,jradin|firan|far bi l zbele|rats,A/A/B/B,HIGH,P2_REVIEW,Public-health signal tied to waste overflow.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0014,زيوت / مواد مسكوبة,spilled oil / liquid,WASTE,ILLEGAL_DUMP,noun_infra,زيت / مواد مسكوبة,zeyt msakoub|mawed masboube|oil spill|kimyawi msakoub,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Adds environmental hazard coverage; should trigger HITL if chemical.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0015,رواسب طين,mud/debris on road,ROADS,ROAD_BLOCKED,noun_infra,طين / وحل على الطريق,wa7el 3al tari2|tine 3al tari2|trab w wa7el|mud 3al road,A/A/B/B,HIGH,P2_REVIEW,Important after storms: blocks roads and confuses flooding vs road blockage.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0016,مجرى نهر,river channel / stream,FLOODING,FLASH_FLOOD,noun_location,مجرى نهر,majra nahr|nahr faydan|may nahr 3am tetla3|river overflow,A/A/B/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Adds river-overflow/flash-flood duplicate clusters.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0017,ريغار / غرفة تفتيش,inspection chamber / drainage manhole,FLOODING,BLOCKED_DRAIN,noun_infra,ريغار / غرفة تفتيش,regar|regard|ghurfet taftish|regard msakkar,A/A/B/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,French/Lebanese infrastructure term often used by technicians and residents.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0018,مزراب,roof gutter / downspout,FLOODING,HOUSE_FLOODED,noun_infra,مزراب,mizrab|mezreb|mazrab|mizreb msakkar,A/A/B/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Useful for house-flooding/wall-seepage complaints.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0019,سور خطر,dangerous retaining wall / fence,SAFETY,STRUCTURAL_COLLAPSE,noun_infra,سور خطر,sour 5ater|sour 3am ywa2a3|7et 5ater|retaining wall,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,High-risk collapse signal outside buildings.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0020,إنارة منطفية,streetlight off,ELECTRICITY,STREET_LIGHT,complaint_phrase,إنارة منطفئة,nour l share3 tefi|lampe tefiye|street light off|nour ma 3am yidwi,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Directly improves STREET_LIGHT coverage and night safety.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0021,كابل متدلي,sagging cable,ELECTRICITY,EXPOSED_WIRE,noun_infra,كابل متدلي,cable medalle|silk medalle|silk nazil|wire hanging,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Very important exposed-wire variant not fully covered by 'fallen wire'.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0022,زيت محول,transformer oil leak,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,زيت المحول,zeyt l muhawwel|muhawwel 3am yesarrib zeyt|oil leak transformer,A/A/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,High-impact transformer fault sign.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0023,ضغط ضعيف جداً,very low water pressure,WATER,LOW_PRESSURE,complaint_phrase,ضغط مياه ضعيف,may 3am tenzal 5ayt|may metel l 5ayt|daght may ktir 5afif|n2atit may,A/A/B/B,HIGH,P2_REVIEW,More natural low-pressure phrases than formal 'daght'.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0024,انفجار مجرور,sewer burst,WATER,SEWAGE_OVERFLOW,noun_infra,انفجار مجرور,mjarir nfajaret|sarif nfajar|majrour 3am yifur|sewer burst,A/A/B/B,HIGH,P2_REVIEW,Very useful for sewage overflow severity and duplicate clusters.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0025,تعطل مضخة,pump failure,WATER,NO_SUPPLY,noun_infra,تعطل مضخة,madde 3atle|pompe 3atle|motor l may 3atel|pump not working,A/A/B/B,HIGH,P2_REVIEW,Strong cause signal for no-supply/water-cut routing.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0026,تلوث بصري,visual blight / nuisance,WASTE,ILLEGAL_DUMP,noun_infra,تلوث بصري,mashhad wse5|manzar mish mni7|visual pollution|manzar zbele,A/A/B/B,MEDIUM,P3_REVIEW,Adds public nuisance category useful in reports and dashboard summaries.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0027,رخصة أشغال,works permit,ROADS,ROAD_BLOCKED,noun_civic,رخصة أشغال,rou5set ashghal|permit ashghal|ashghal bala rou5sa|ma fi permit,A/A/B/B,MEDIUM,P3_REVIEW,Helps distinguish legal works from illegal obstruction.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0028,حجز موقف,blocked parking,ROADS,ROAD_BLOCKED,noun_infra,حجز موقف,7ajezin parking|maw2ef msakkar|parking ma7jouz|m2aflin parking,A/A/B/B,MEDIUM,P3_REVIEW,Common civic complaint; may route to municipality/police.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0029,طريق مدرسة,school route,ROADS,ROAD_DAMAGE,noun_location,طريق مدرسة,tari2 l madrase|darb l madrase|3a tari2 l madrase,A/A/B,HIGH,P2_REVIEW,Adds severity escalation to road issues near children routes.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0030,ممر كرسي متحرك,wheelchair access,ROADS,BROKEN_SIDEWALK,noun_infra,ممر كرسي متحرك,ma fi wheelchair access|rasif ma byemshe wheelchair|mammar kersi 3ajele,A/A/B,HIGH,P2_REVIEW,Accessibility signal; improves social-impact grading.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,FALSE,NEEDS_REVIEW,TRUE
ADD-BFL-0031,حريق مولد,generator fire,SAFETY,FIRE,noun_infra,حريق مولد,7ari2 moualled|moualid 3am yi7tiri2|generator 3am yi7tiri2,A/A/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Lebanon-specific high-impact safety/electricity overlap.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0032,دخان مولد,generator smoke,SAFETY,EXPOSED_HAZARD,noun_infra,دخان مولد,dkhan moualled|moualid 3am yitla3 dkhan|generator smoke|ri7et mazout,A/A/B/B,HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,Connects generator pollution/safety reports.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
ADD-BFL-0033,مازوت مسكوب,diesel spill,WASTE,ILLEGAL_DUMP,noun_infra,مازوت مسكوب,mazout msakoub|mazout 3al tari2|ri7et mazout|diesel spill,A/A/B/B,VERY_HIGH,P1_HIGH_IMPACT_SECOND_REVIEW,High-impact Lebanese generator/fuel hazard.,candidate_review;oov_candidate_generation;stress_test_generation;normalization_support_after_review;hitl_feature_after_second_review,automatic_routing;automatic_core_promotion;automatic_severity_decision,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,NEEDS_REVIEW,TRUE
