﻿variant_id,candidate_id,variant,normalized_variant,sector,issue_type,category,trust_status,review_priority,reason,recommended_replacements,action
BFL-CAND-0011-V06,BFL-CAND-0011,balt,balt,ROADS,BROKEN_SIDEWALK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0012-V04,BFL-CAND-0012,ghato,ghato,ROADS,MISSING_MANHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0013-V04,BFL-CAND-0013,biyara,biyara,ROADS,MISSING_MANHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0013-V05,BFL-CAND-0013,byar,byar,ROADS,MISSING_MANHOLE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0015-V03,BFL-CAND-0015,kasir sor3a,kasir sor3a,ROADS,ROAD_DAMAGE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0015-V04,BFL-CAND-0015,mukab3,mukab3,ROADS,ROAD_DAMAGE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0015-V05,BFL-CAND-0015,kashir sur3a,kashir sur3a,ROADS,ROAD_DAMAGE,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0017-V05,BFL-CAND-0017,nfaq,nfaq,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0018-V04,BFL-CAND-0018,7ajez 7adid,7ajez 7adid,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0023-V05,BFL-CAND-0023,ta7woleh,ta7woleh,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0023-V06,BFL-CAND-0023,via bedil,via bedil,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0024-V04,BFL-CAND-0024,za7ma,za7ma,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0026-V03,BFL-CAND-0026,7afrit,7afrit,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0032-V06,BFL-CAND-0032,tasatte7,tasatte7,ROADS,ROAD_BLOCKED,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0034-V04,BFL-CAND-0034,tshaqqa2,tshaqqa2,ROADS,ROAD_CRACK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0034-V05,BFL-CAND-0034,tashroomaat,tashroomaat,ROADS,ROAD_CRACK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0043-V01,BFL-CAND-0043,nkassar,nkassar,ROADS,ROAD_COLLAPSE,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0043-V05,BFL-CAND-0043,2nhajar,2nhajar,ROADS,ROAD_COLLAPSE,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0043-V06,BFL-CAND-0043,ta7,ta7,ROADS,ROAD_COLLAPSE,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0044-V03,BFL-CAND-0044,nshe2,nshe2,ROADS,ROAD_CRACK,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0044-V04,BFL-CAND-0044,tshe22,tshe22,ROADS,ROAD_CRACK,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CATEGORY_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0044-V05,BFL-CAND-0044,metshe22a2,metshe22a2,ROADS,ROAD_CRACK,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CATEGORY_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0044-V06,BFL-CAND-0044,sha22,sha22,ROADS,ROAD_CRACK,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0048-V04,BFL-CAND-0048,ta7,ta7,ROADS,ROAD_BLOCKED,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0049-V01,BFL-CAND-0049,7afrou,7afrou,ROADS,ROAD_BLOCKED,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0049-V06,BFL-CAND-0049,3am ti7fur,3am ti7fur,ROADS,ROAD_BLOCKED,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0050-V05,BFL-CAND-0050,in7araf,in7araf,ROADS,POTHOLE,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0050-V06,BFL-CAND-0050,in7arafet,in7arafet,ROADS,POTHOLE,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0051-V05,BFL-CAND-0051,tkassaret,tkassaret,ROADS,ROAD_CRACK,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0052-V01,BFL-CAND-0052,masduud,masduud,ROADS,ROAD_BLOCKED,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0052-V03,BFL-CAND-0052,msakkar,msakkar,ROADS,ROAD_BLOCKED,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0052-V04,BFL-CAND-0052,maftoum,maftoum,ROADS,ROAD_BLOCKED,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0052-V05,BFL-CAND-0052,msadd,msadd,ROADS,ROAD_BLOCKED,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0052-V06,BFL-CAND-0052,m2affel,m2affel,ROADS,ROAD_BLOCKED,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0053-V01,BFL-CAND-0053,metshe22a2,metshe22a2,ROADS,ROAD_CRACK,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CATEGORY_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0053-V03,BFL-CAND-0053,mesho22,mesho22,ROADS,ROAD_CRACK,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0053-V04,BFL-CAND-0053,tshe22,tshe22,ROADS,ROAD_CRACK,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CATEGORY_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0053-V05,BFL-CAND-0053,nkassar,nkassar,ROADS,ROAD_CRACK,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0053-V06,BFL-CAND-0053,m2asha3,m2asha3,ROADS,ROAD_CRACK,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0054-V06,BFL-CAND-0054,me7loul,me7loul,ROADS,ROAD_DAMAGE,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0057-V04,BFL-CAND-0057,nfokha,nfokha,ROADS,ROAD_DAMAGE,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0057-V05,BFL-CAND-0057,7ader myen7am,7ader myen7am,ROADS,ROAD_DAMAGE,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0060-V04,BFL-CAND-0060,inboob,inboob,WATER,PIPE_LEAK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0065-V01,BFL-CAND-0065,tanker,tanker,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0065-V02,BFL-CAND-0065,tankar,tankar,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0065-V03,BFL-CAND-0065,sa7riij,sa7riij,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0065-V05,BFL-CAND-0065,l tanker,l tanker,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0065-V06,BFL-CAND-0065,tanker may,tanker may,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0066-V03,BFL-CAND-0066,sarroub,sarroub,WATER,PIPE_LEAK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0068-V06,BFL-CAND-0068,jonction,jonction,WATER,PIPE_LEAK,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0071-V02,BFL-CAND-0071,maw3id l may,maw3id l may,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0071-V03,BFL-CAND-0071,sa3et l may,sa3et l may,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0071-V04,BFL-CAND-0071,yom l may,yom l may,WATER,WATER_CUT,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0074-V05,BFL-CAND-0074,may 3atma,may 3atma,WATER,DIRTY_WATER,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0082-V01,BFL-CAND-0082,biyara,biyara,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0084-V03,BFL-CAND-0084,may masdar 5arban,may masdar 5arban,WATER,DIRTY_WATER,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0086-V05,BFL-CAND-0086,sarf s7i,sarf s7i,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0087-V04,BFL-CAND-0087,ri7et mrajir,ri7et mrajir,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0087-V06,BFL-CAND-0087,ri7a l majari,ri7a l majari,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0088-V04,BFL-CAND-0088,balouwa,balouwa,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0088-V06,BFL-CAND-0088,bl3a,bl3a,WATER,SEWAGE_OVERFLOW,noun_infra,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0089-V01,BFL-CAND-0089,3am yetfa2ar,3am yetfa2ar,WATER,SEWAGE_OVERFLOW,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0089-V02,BFL-CAND-0089,3am yetfayan,3am yetfayan,WATER,SEWAGE_OVERFLOW,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0089-V03,BFL-CAND-0089,3am yifur,3am yifur,WATER,SEWAGE_OVERFLOW,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CATEGORY_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0089-V06,BFL-CAND-0089,yfur,yfur,WATER,SEWAGE_OVERFLOW,adjective,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0090-V01,BFL-CAND-0090,2ata3et,2ata3et,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0090-V02,BFL-CAND-0090,inkata3et,inkata3et,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0090-V04,BFL-CAND-0090,nkata3et,nkata3et,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0090-V06,BFL-CAND-0090,2ataet,2ataet,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0091-V01,BFL-CAND-0091,rja3et,rja3et,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (CROSS_SECTOR_AMBIGUOUS); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
BFL-CAND-0091-V05,BFL-CAND-0091,3adet,3adet,WATER,WATER_CUT,verb,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,,DO_NOT_IMPORT_UNTIL_REWRITTEN_OR_REVIEWED
