﻿rewrite_id,bad_variant,bad_normalized,replacement_variant,replacement_normalized,candidate_id,sector,issue_type,reason,review_status
RW-0012,7ada 2anje7,7ada 2anje7,7ada msab,7ada msab,BFL-CAND-0186,SAFETY,INJURY,REWRITE_SEMANTIC: not reliable for injured person; use 7ada mjrou7 / 7ada msab.,PENDING_NATIVE_REVIEW
RW-0013,7ada 2anje7,7ada 2anje7,fi msab,fi msab,BFL-CAND-0186,SAFETY,INJURY,REWRITE_SEMANTIC: not reliable for injured person; use 7ada mjrou7 / 7ada msab.,PENDING_NATIVE_REVIEW
RW-0014,2anje7,2anje7,mjrou7,mjrou7,BFL-CAND-0186,SAFETY,INJURY,REWRITE_SEMANTIC: not reliable for injured; use mjrou7/msab.,PENDING_NATIVE_REVIEW
RW-0015,2anje7,2anje7,msab,msab,BFL-CAND-0186,SAFETY,INJURY,REWRITE_SEMANTIC: not reliable for injured; use mjrou7/msab.,PENDING_NATIVE_REVIEW
RW-0016,7ada 7elo 3al ard,7ada 7elo 3al ard,7ada we2i3 3al ard,7ada we2i3 3al ard,BFL-CAND-0187,SAFETY,INJURY,REWRITE_SEMANTIC: 7elo means good/pretty; use 7ada we2i3 3al ard or 7ada mghma 3aleh.,PENDING_NATIVE_REVIEW
RW-0017,7ada 7elo 3al ard,7ada 7elo 3al ard,7ada mghma 3aleh,7ada mghma 3aleh,BFL-CAND-0187,SAFETY,INJURY,REWRITE_SEMANTIC: 7elo means good/pretty; use 7ada we2i3 3al ard or 7ada mghma 3aleh.,PENDING_NATIVE_REVIEW
RW-0018,7ada 7elo 3al ard,7ada 7elo 3al ard,7ada bel ard,7ada bel ard,BFL-CAND-0187,SAFETY,INJURY,REWRITE_SEMANTIC: 7elo means good/pretty; use 7ada we2i3 3al ard or 7ada mghma 3aleh.,PENDING_NATIVE_REVIEW
RW-0019,7alna 3ala 7a2,7alna 3ala 7a2,7a2na,7a2na,BFL-CAND-0210,ALL_SUPPORT,ALL_SUPPORT,REVIEW_AWKWARD: prefer 7a2na / ma 3am nekhd 7a2na.,PENDING_NATIVE_REVIEW
RW-0020,7alna 3ala 7a2,7alna 3ala 7a2,ma 3am nekhd 7a2na,ma 3am nekhd 7a2na,BFL-CAND-0210,ALL_SUPPORT,ALL_SUPPORT,REVIEW_AWKWARD: prefer 7a2na / ma 3am nekhd 7a2na.,PENDING_NATIVE_REVIEW
RW-0021,7alna 3ala 7a2,7alna 3ala 7a2,elna 7a2,elna 7a2,BFL-CAND-0210,ALL_SUPPORT,ALL_SUPPORT,REVIEW_AWKWARD: prefer 7a2na / ma 3am nekhd 7a2na.,PENDING_NATIVE_REVIEW
RW-0022,yis7o7o,yis7o7o,yisla7o,yisla7o,BFL-CAND-0268,ALL_SUPPORT,ALL_SUPPORT,REVIEW_WEAK_FORM: unclear repair form; prefer yisla7o/ysal7o.,PENDING_NATIVE_REVIEW
RW-0023,yis7o7o,yis7o7o,ysal7o,ysal7o,BFL-CAND-0268,ALL_SUPPORT,ALL_SUPPORT,REVIEW_WEAK_FORM: unclear repair form; prefer yisla7o/ysal7o.,PENDING_NATIVE_REVIEW
RW-0024,yis7o7o,yis7o7o,y3amlo siyane,y3amlo siyane,BFL-CAND-0268,ALL_SUPPORT,ALL_SUPPORT,REVIEW_WEAK_FORM: unclear repair form; prefer yisla7o/ysal7o.,PENDING_NATIVE_REVIEW
RW-0025,msh 3ajile,msh 3ajile,mish 3ajle,mish 3ajle,BFL-CAND-0275,ALL_SUPPORT,ALL_SUPPORT,CONTEXT_ONLY: means not urgent unless sarcastic; do not use as severity marker.,PENDING_NATIVE_REVIEW
RW-0026,msh 3ajile,msh 3ajile,mish 3ajil,mish 3ajil,BFL-CAND-0275,ALL_SUPPORT,ALL_SUPPORT,CONTEXT_ONLY: means not urgent unless sarcastic; do not use as severity marker.,PENDING_NATIVE_REVIEW
RW-0027,ma7i,ma7i,m5abbi,m5abbi,BFL-CAND-0295,ALL_SUPPORT,ALL_SUPPORT,REVIEW_WEAK_FORM: weak for hidden; prefer m5abbi/ma5bi.,PENDING_NATIVE_REVIEW
RW-0028,ma7i,ma7i,ma5bi,ma5bi,BFL-CAND-0295,ALL_SUPPORT,ALL_SUPPORT,REVIEW_WEAK_FORM: weak for hidden; prefer m5abbi/ma5bi.,PENDING_NATIVE_REVIEW
RW-0029,sa7ab l walid,sa7ab l walid,sa7eb l moualled,sa7eb l moualled,BFL-CAND-0359,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0030,sa7ab l walid,sa7ab l walid,sa7eb l generator,sa7eb l generator,BFL-CAND-0359,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0031,jadwal l walid,jadwal l walid,jadwal l moualled,jadwal l moualled,BFL-CAND-0361,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0032,jadwal l walid,jadwal l walid,jadwal l moualid,jadwal l moualid,BFL-CAND-0361,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0033,jadwal l walid,jadwal l walid,jadwal l generator,jadwal l generator,BFL-CAND-0361,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0034,may ema ma ji,may ema ma ji,may ma 3am teje,may ma 3am teje,BFL-CAND-0364,WATER,ALL_SUPPORT,REVIEW_UNCLEAR: prefer may ma 3am teje / may ma tosal.,PENDING_NATIVE_REVIEW
RW-0035,may ema ma ji,may ema ma ji,may ma tosal,may ma tosal,BFL-CAND-0364,WATER,ALL_SUPPORT,REVIEW_UNCLEAR: prefer may ma 3am teje / may ma tosal.,PENDING_NATIVE_REVIEW
RW-0036,may ema ma ji,may ema ma ji,ma fi may,ma fi may,BFL-CAND-0364,WATER,ALL_SUPPORT,REVIEW_UNCLEAR: prefer may ma 3am teje / may ma tosal.,PENDING_NATIVE_REVIEW
