﻿variant_id,candidate_id,source_row_number,variant,normalized_variant,variant_tier,match_weight_candidate,sector,issue_type,category,normalization,contains_marker,review_status,ambiguity_class,use_for_fuzzy_matching_now,use_for_oov_suppression_now,use_for_routing_prediction_now,must_not_auto_promote,reason_blocked_or_pending,v2_trust_status,v2_review_priority,v2_safe_for_core_review,v2_safe_for_variant_lookup_after_review,v2_safe_for_fuzzy_now,v2_safe_for_oov_suppression_now,v2_safe_for_routing_now,v2_requires_second_reviewer,v2_reason,v2_created_at_utc
BFL-CAND-0003-V01,BFL-CAND-0003,3,7afarat,7afarat,A,0.90,ROADS,POTHOLE,noun_infra,حفرات,TRUE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0003-V02,BFL-CAND-0003,3,7ofar,7ofar,B,0.70,ROADS,POTHOLE,noun_infra,حفرات,TRUE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0003-V03,BFL-CAND-0003,3,hfar,hfar,B,0.70,ROADS,POTHOLE,noun_infra,حفرات,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0003-V04,BFL-CAND-0003,3,7ufar,7ufar,C,0.40,ROADS,POTHOLE,noun_infra,حفرات,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,AMBIGUITY_REVIEW_REQUIRED,P0_AMBIGUITY_REVIEW,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.,2026-05-20T12:58:34Z
BFL-CAND-0003-V05,BFL-CAND-0003,3,jourat,jourat,A,0.90,ROADS,POTHOLE,noun_infra,حفرات,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0003-V06,BFL-CAND-0003,3,jowarat,jowarat,B,0.70,ROADS,POTHOLE,noun_infra,حفرات,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V01,BFL-CAND-0004,4,tari2,tari2,A,0.90,ROADS,ALL_SUPPORT,noun_infra,طريق,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V02,BFL-CAND-0004,4,tare2,tare2,A,0.90,ROADS,ALL_SUPPORT,noun_infra,طريق,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V03,BFL-CAND-0004,4,tari',tari,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V04,BFL-CAND-0004,4,triq,triq,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V05,BFL-CAND-0004,4,tare',tare,C,0.40,ROADS,ALL_SUPPORT,noun_infra,طريق,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0004-V06,BFL-CAND-0004,4,tari22,tari22,C,0.40,ROADS,ALL_SUPPORT,noun_infra,طريق,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V01,BFL-CAND-0005,5,share3,share3,A,0.90,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V02,BFL-CAND-0005,5,shar3,shar3,A,0.90,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V03,BFL-CAND-0005,5,shara3,shara3,B,0.70,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V04,BFL-CAND-0005,5,shari3,shari3,B,0.70,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V05,BFL-CAND-0005,5,sheri3,sheri3,C,0.40,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0005-V06,BFL-CAND-0005,5,share33,share33,C,0.40,ROADS,ALL_SUPPORT,noun_infra,شارع,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V01,BFL-CAND-0006,6,otostrad,otostrad,A,0.90,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V02,BFL-CAND-0006,6,l otostrad,l otostrad,A,0.90,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V03,BFL-CAND-0006,6,autostrad,autostrad,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V04,BFL-CAND-0006,6,tari2 sari3,tari2 sari3,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V05,BFL-CAND-0006,6,autoroute,autoroute,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0006-V06,BFL-CAND-0006,6,l fouye,l fouye,B,0.70,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V01,BFL-CAND-0007,7,dawwar,dawwar,A,0.90,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V02,BFL-CAND-0007,7,dawar,dawar,A,0.90,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V03,BFL-CAND-0007,7,dawer,dawer,B,0.70,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V04,BFL-CAND-0007,7,dawwara,dawwara,C,0.40,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V05,BFL-CAND-0007,7,l dawwar,l dawwar,A,0.90,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0007-V06,BFL-CAND-0007,7,dawwer,dawwer,C,0.40,ROADS,ALL_SUPPORT,noun_infra,دوار,FALSE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V01,BFL-CAND-0008,8,mona3taf,mona3taf,A,0.90,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V02,BFL-CAND-0008,8,mna3taf,mna3taf,B,0.70,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V03,BFL-CAND-0008,8,man3ataf,man3ataf,C,0.40,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V04,BFL-CAND-0008,8,3al mna3taf,3al mna3taf,A,0.90,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V05,BFL-CAND-0008,8,mon3ataf,mon3ataf,C,0.40,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0008-V06,BFL-CAND-0008,8,3al mona3taf,3al mona3taf,A,0.90,ROADS,ALL_SUPPORT,noun_infra,منعطف,TRUE,PENDING_NATIVE_REVIEW,BLOCKED_PENDING_REVIEW,FALSE,FALSE,FALSE,TRUE,support/high-risk/C-tier requires review,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,2026-05-20T12:58:34Z
BFL-CAND-0009-V01,BFL-CAND-0009,9,rasif,rasif,A,0.90,ROADS,BROKEN_SIDEWALK,noun_infra,رصيف,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0009-V02,BFL-CAND-0009,9,rasife,rasife,A,0.90,ROADS,BROKEN_SIDEWALK,noun_infra,رصيف,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,A-tier low-risk non-support variant; still requires native review.,2026-05-20T12:58:34Z
BFL-CAND-0009-V03,BFL-CAND-0009,9,rsayef,rsayef,B,0.70,ROADS,BROKEN_SIDEWALK,noun_infra,رصيف,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
BFL-CAND-0009-V04,BFL-CAND-0009,9,rsayfet,rsayfet,B,0.70,ROADS,BROKEN_SIDEWALK,noun_infra,رصيف,FALSE,PENDING_NATIVE_REVIEW,UNIQUE_CANDIDATE_PRECHECK,PENDING_REVIEW,FALSE,FALSE,TRUE,pending native review,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,B-tier alternate spelling; variant lookup only after review.,2026-05-20T12:58:34Z
