id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,confidence,quality_flag,complaint_use,candidate_sector,candidate_issue,signal_strength,context_rule,hard_negative_hint,already_in_vocab,notes
2090,airport,matar,مطار,airport,transportation,noun,base_word,high,,hard_negative,ROADS,,context_support,mobility/road context; not issue-specific,"HARD_NEGATIVE:FLOODING:airport/travel term, not flooding rain",FALSE,travel location
11817,adeysh taksi men l matar,adde taxi mn l matar,قديش تاكسي من المطار؟,how much is a taxi from the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11818,ana barra l arrivals,ana barra l arrivals,أنا برّا الأرايفلز,I am outside arrivals,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11819,ana bara el arrivals,ana barra l arrivals,أنا برّا الأرايفلز,I am outside arrivals,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11820,ana barra l matar,ana barra l matar,أنا برا المطار,I am outside the airport,airport,phrase,reply,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11821,ene barra l matar,ana barra l matar,أنا برا المطار,I am outside the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11822,ana bara l matar,ana barra l matar,أنا برا المطار,I am outside the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11823,ayya gate,ayya gate,أي غيت؟,which gate?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11824,ayya ghate,ayya gate,أي غيت؟,which gate?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11825,ba3atle boarding pass,ba3atle boarding pass,بعتلي البوردينغ باس,send me the boarding pass,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11826,b3atle boarding pass,ba3atle boarding pass,بعتلي البوردينغ باس,send me the boarding pass,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11827,baddi taxi mn l matar,baddi taxi mn l matar,بدي تاكسي من المطار,I want a taxi from the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11828,badde taxi mn l matar,baddi taxi mn l matar,بدي تاكسي من المطار,I want a taxi from the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11829,bde taxi men el matar,baddi taxi mn l matar,بدي تاكسي من المطار,I want a taxi from the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11830,bde taxi mn l matar,baddi taxi mn l matar,بدي تاكسي من المطار,I need a taxi from the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11831,baddi taksi men l matar,baddi taxi mn l matar,بدي تاكسي من المطار,I need a taxi from the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11832,badde taxi men el matar,baddi taxi mn l matar,بدي تاكسي من المطار,I need a taxi from the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11833,emta btousal,emta btousal,إمتى بتوصل؟,when do you land/arrive?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11834,imta btousal,emta btousal,إمتى بتوصل؟,when do you land/arrive?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11835,emta btousale,emta btousale,إمتى بتوصلي؟,when do you land/arrive?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11836,imta btousale,emta btousale,إمتى بتوصلي؟,when do you land/arrive?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11837,emta l flight,emta l flight,إمتى الفلايت؟,when is the flight?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11838,imta l flight,emta l flight,إمتى الفلايت؟,when is the flight?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11839,fi extra weight 3al shanta,fi extra weight 3al shanta,في إكسترا ويت عالشنطة,there is extra weight on the suitcase,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11840,fe extra weight 3al shanta,fi extra weight 3al shanta,في إكسترا ويت عالشنطة,there is extra weight on the suitcase,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11841,fi taxi mn l matar,fi taxi mn l matar,في تاكسي من المطار؟,is there a taxi from the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11842,fe taxi mn el matar,fi taxi mn l matar,في تاكسي من المطار؟,is there a taxi from the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11843,khodne mn l matar,khodne mn l matar,خدني من المطار,pick me up from the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11844,l boarding ballash,l boarding ballash,البوردينغ بلّش,boarding started,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11845,l boarding balesh,l boarding ballash,البوردينغ بلّش,boarding started,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11846,l flight 3al sobo7,l flight 3al sobo7,الفلايت عالصبح,the flight is in the morning,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11847,l flight aal sobo7,l flight 3al sobo7,الفلايت عالصبح,the flight is in the morning,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11848,l flight bel layl,l flight bel layl,الفلايت بالليل,the flight is at night,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11849,l flight bil leil,l flight bel layl,الفلايت بالليل,the flight is at night,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11850,l flight cancel,l flight cancel,الفلايت تكنسل,the flight got cancelled,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11851,l flight cancelled,l flight cancelled,الفلايت cancelled,the flight was canceled,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11852,l flayt cancelled,l flight cancelled,الفلايت cancelled,the flight was canceled,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11853,l flight emta,l flight emta,الفلايت إمتى؟,when is the flight,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11854,l flight imta,l flight emta,الفلايت إمتى؟,when is the flight,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11855,l flight t2ajjal,l flight t2ajjal,الفلايت تأجّل,the flight got postponed,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11856,l flight ta2ajjal,l flight t2ajjal,الفلايت تأجّل,the flight got postponed,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11857,l flight t2ajjal la bokra,l flight t2ajjal la bokra,الفلايت تأجل لبكرا,the flight was postponed to tomorrow,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11858,el flight t2ajjal la bukra,l flight t2ajjal la bokra,الفلايت تأجل لبكرا,the flight was postponed to tomorrow,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11859,l flayt t2akhar,l flight t2akhar,الفلايت تأخّر,the flight got delayed,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11860,l flight t2akhar,l flight t2akhar,الفلايت تأخر,the flight is delayed,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11861,l flight ta2akhar,l flight t2akhar,الفلايت تأخر,the flight is delayed,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11862,el gate tghayar,l gate tghayyar,الغيت تغيّر,the gate changed,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11863,l gate tghayyar,l gate tghayyar,الغيت تغيّر,the gate changed,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11864,l luggage t2akhar,l luggage t2akhar,اللاغج تأخّر,the luggage got delayed,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11865,l laggage t2akhar,l luggage t2akhar,اللاغج تأخّر,the luggage got delayed,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11866,l passport ma3ak,l passport ma3ak,الباسبور معك؟,do you have the passport with you?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11867,l passport ma3e,l passport ma3e,الباسبور معي,the passport is with me,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11868,l passport ma3i,l passport ma3e,الباسبور معي,the passport is with me,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11869,l shanta over weight,l shanta over weight,الشنطة أوفر ويت,the suitcase is overweight,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11870,el shanta overweight,l shanta over weight,الشنطة أوفر ويت,the suitcase is overweight,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11871,l shanta te2ile ktir,l shanta te2ile ktir,الشنطة تقيلة كتير,the suitcase is very heavy,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11872,el shanta t2ile kteer,l shanta te2ile ktir,الشنطة تقيلة كتير,the suitcase is very heavy,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11873,l shantet ma wasslo,l shantet ma wasslo,الشنط ما وصلوا,the bags did not arrive,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11874,l suitcase ma wasslit,l suitcase ma wasslit,السووتكيس ما وصلت,the suitcase did not arrive,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11875,el suitcase ma wasslet,l suitcase ma wasslit,السووتكيس ما وصلت,the suitcase did not arrive,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11876,l taxi bel matar ghale,l taxi bel matar ghale,التاكسي بالمطار غالي,the airport taxi is expensive,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11877,l visa ba3da,l visa ba3da,الفيزا بعدها,the visa is still pending,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11878,l visa ba3da ma tli3et,l visa ba3da,الفيزا بعدها,the visa is still pending,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11879,l visa tl3et,l visa tl3et,الفيزا طلعت,the visa came out,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11880,l visa tli3et,l visa tl3et,الفيزا طلعت,the visa came out,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11881,ma 7a l7a2 l flight,ma 7a l7a2 l flight,ما رح لحق الفلايت,I will not make the flight,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11882,ma rah la7e2 el flight,ma 7a l7a2 l flight,ما رح لحق الفلايت,I will not make the flight,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11883,ma 7a nel7a2 l flight,ma 7a nel7a2 l flight,ما رح نلحق الفلايت,we will not catch the flight,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11884,ma ra7 nel7a2 el flight,ma 7a nel7a2 l flight,ما رح نلحق الفلايت,we will not catch the flight,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11885,ma baddi et2akhar 3al matar,ma baddi et2akhar 3al matar,ما بدي إتأخر عالمطار,I do not want to be late to the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11886,ma bade et2akhar 3al matar,ma baddi et2akhar 3al matar,ما بدي إتأخر عالمطار,I do not want to be late to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11887,ma fi mahal bel shanta,ma fi mahal bel shanta,ما في محل بالشنطة,there is no space in the bag,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11888,ma fe mahal bel shanta,ma fi mahal bel shanta,ما في محل بالشنطة,there is no space in the bag,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11889,ma tdayye3 l boarding pass,ma tdayye3 l boarding pass,ما تضيّع البوردينغ باس,do not lose the boarding pass,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11890,ma tdaye3 el boarding pass,ma tdayye3 l boarding pass,ما تضيّع البوردينغ باس,do not lose the boarding pass,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11891,ma tensa l passport,ma tensa l passport,ما تنسى الباسبور,do not forget the passport,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11892,ma tinsa l passport,ma tensa l passport,ما تنسى الباسبور,do not forget the passport,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11893,ma tense l passport,ma tense l passport,ما تنسي الباسبور,do not forget the passport,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11894,ma tinsi l passport,ma tense l passport,ما تنسي الباسبور,do not forget the passport,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11895,ma tenso l passports,ma tenso l passports,ما تنسوا الباسبورات,do not forget the passports,airport,phrase,negation,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11896,ma3ak l passport,ma3ak l passport,معك الباسبور؟,do you have the passport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11897,m3ak l passport,ma3ak l passport,معك الباسبور؟,do you have the passport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11898,ma3ik l passport,ma3ik l passport,معك الباسبور؟,do you have the passport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11899,nater l shanta,nater l shanta,ناطر الشنطة,I am waiting for the suitcase,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11900,natir el shanta,nater l shanta,ناطر الشنطة,I am waiting for the suitcase,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11901,nseet l boarding pass,nseet l boarding pass,نسيت البوردينغ باس,I forgot the boarding pass,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11902,nseit l boarding pass,nseet l boarding pass,نسيت البوردينغ باس,I forgot the boarding pass,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11903,nsit l passport,nseet l passport,نسيت الباسبور,I forgot the passport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11904,nseet l passport,nseet l passport,نسيت الباسبور,I forgot the passport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11905,nseit l passport,nseet l passport,نسيت الباسبور,I forgot the passport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11906,nseet shi bel shanta,nseet shi bel shanta,نسيت شي بالشنطة,I forgot something in the suitcase,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11907,nsit shi bel shanta,nseet shi bel shanta,نسيت شي بالشنطة,I forgot something in the suitcase,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11908,rayeh 3al matar,rayeh 3al matar,رايح عالمطار,I am going to the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11909,rayi7 3al matar,rayeh 3al matar,رايح عالمطار,I am going to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11910,rayeh aal matar,rayeh 3al matar,رايح عالمطار,I am going to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11911,rayha 3al matar,rayha 3al matar,رايحة عالمطار,I am going to the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11912,ray7a 3al matar,rayha 3al matar,رايحة عالمطار,I am going to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11913,rayha aal matar,rayha 3al matar,رايحة عالمطار,I am going to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11914,rayhin 3al airport,rayhin 3al airport,رايحين عالأيربورت,we are going to the airport,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11915,rayhin aal airport,rayhin 3al airport,رايحين عالأيربورت,we are going to the airport,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
