surface_id,surface_form,normalized_surface,canonical_form,source_layer,source_id,source_field,sector,issue_type,category,variant_rule,confidence_level,false_friend_risk,risk_level,allowed_uses,blocked_uses,review_status,reviewer_id,must_not_auto_promote,source_reference,created_at
ASF-00011,teere2,teere2,tire2,stoplist,tire2,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00012,tire',tire',tire2,stoplist,tire2,term,ALL,STOPLIST,stoplist,2_TO_APOSTROPHE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00013,khafer,khafer,khafer,stoplist,khafer,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00014,l khafer,l khafer,khafer,stoplist,khafer,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00015,el khafer,el khafer,khafer,stoplist,khafer,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00016,5afer,5afer,khafer,stoplist,khafer,term,ALL,STOPLIST,stoplist,KH_TO_5,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00017,k7afer,k7afer,khafer,stoplist,khafer,term,ALL,STOPLIST,stoplist,H_TO_7_LOW_CONF,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00018,mayyet,mayyet,mayyet,stoplist,mayyet,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,MEDIUM,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00019,l mayyet,l mayyet,mayyet,stoplist,mayyet,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,MEDIUM,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00020,el mayyet,el mayyet,mayyet,stoplist,mayyet,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,MEDIUM,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00021,3ain,3ain,3ain,stoplist,3ain,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00022,l 3ain,l 3ain,3ain,stoplist,3ain,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00023,el 3ain,el 3ain,3ain,stoplist,3ain,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00024,3aeen,3aeen,3ain,stoplist,3ain,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00025,mayye,mayye,mayye,stoplist,mayye,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00026,l mayye,l mayye,mayye,stoplist,mayye,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00027,el mayye,el mayye,mayye,stoplist,mayye,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,native_review_2026-05-18,2026-05-21T00:00:00Z
ASF-00028,beirut,beirut,beirut,stoplist,beirut,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00029,l beirut,l beirut,beirut,stoplist,beirut,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00030,el beirut,el beirut,beirut,stoplist,beirut,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00031,beirout,beirout,beirut,stoplist,beirut,term,ALL,STOPLIST,stoplist,U_TO_OU,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00032,beeerut,beeerut,beirut,stoplist,beirut,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00033,hamra,hamra,hamra,stoplist,hamra,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00034,l hamra,l hamra,hamra,stoplist,hamra,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00035,el hamra,el hamra,hamra,stoplist,hamra,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00036,7amra,7amra,hamra,stoplist,hamra,term,ALL,STOPLIST,stoplist,H_TO_7_LOW_CONF,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00037,achrafieh,achrafieh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00038,l achrafieh,l achrafieh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00039,el achrafieh,el achrafieh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00040,achrafeeeh,achrafeeeh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00041,ashrafieh,ashrafieh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,CH_TO_SH,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00042,ac7rafieh,ac7rafieh,achrafieh,stoplist,achrafieh,term,ALL,STOPLIST,stoplist,H_TO_7_LOW_CONF,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00043,ashrafieh,ashrafieh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00044,l ashrafieh,l ashrafieh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00045,el ashrafieh,el ashrafieh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00046,ashrafeeeh,ashrafeeeh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00047,achrafieh,achrafieh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,SH_TO_CH,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00048,as7rafieh,as7rafieh,ashrafieh,stoplist,ashrafieh,term,ALL,STOPLIST,stoplist,H_TO_7_LOW_CONF,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00049,tripoli,tripoli,tripoli,stoplist,tripoli,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00050,l tripoli,l tripoli,tripoli,stoplist,tripoli,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00051,el tripoli,el tripoli,tripoli,stoplist,tripoli,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00052,treepoli,treepoli,tripoli,stoplist,tripoli,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00053,saida,saida,saida,stoplist,saida,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00054,l saida,l saida,saida,stoplist,saida,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00055,el saida,el saida,saida,stoplist,saida,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00056,saeeda,saeeda,saida,stoplist,saida,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00057,tyre,tyre,tyre,stoplist,tyre,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00058,l tyre,l tyre,tyre,stoplist,tyre,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00059,el tyre,el tyre,tyre,stoplist,tyre,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00060,zahle,zahle,zahle,stoplist,zahle,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00061,l zahle,l zahle,zahle,stoplist,zahle,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00062,el zahle,el zahle,zahle,stoplist,zahle,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00063,za7le,za7le,zahle,stoplist,zahle,term,ALL,STOPLIST,stoplist,H_TO_7_LOW_CONF,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00064,baalbek,baalbek,baalbek,stoplist,baalbek,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00065,l baalbek,l baalbek,baalbek,stoplist,baalbek,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00066,el baalbek,el baalbek,baalbek,stoplist,baalbek,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00067,balbek,balbek,baalbek,stoplist,baalbek,term,ALL,STOPLIST,stoplist,AA_TO_A,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00068,ogero,ogero,ogero,stoplist,ogero,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00069,l ogero,l ogero,ogero,stoplist,ogero,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00070,el ogero,el ogero,ogero,stoplist,ogero,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00071,baladiye,baladiye,baladiye,stoplist,baladiye,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00072,l baladiye,l baladiye,baladiye,stoplist,baladiye,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00073,el baladiye,el baladiye,baladiye,stoplist,baladiye,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00074,baladeeye,baladeeye,baladiye,stoplist,baladiye,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
ASF-00075,municipality,municipality,municipality,stoplist,municipality,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,arabizi_reliability_pack_v1,2026-05-21T00:00:00Z
