word_id,arabic_script,english_gloss,romanized_canonical,variants,tier,category,allowed_uses,blocked_uses,dialect_region,confidence_level,false_friend_risk,usage_notes,source_reference,review_status,created_at
GW0011,مش,not,mish,mish;msh,T3_GENERIC_SUPPORT,negation,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0012,ما,not,ma,ma,T3_GENERIC_SUPPORT,negation,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0013,ما في,there is no / unavailable,ma fi,ma fi;mafi,T3_GENERIC_SUPPORT,negation,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,MEDIUM,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0014,ما فيّي,I cannot,ma fiye,ma fiye,T3_GENERIC_SUPPORT,negation,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,HIGH,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0015,لسّا,still / not yet,lessa,lessa,T3_GENERIC_SUPPORT,particle,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0016,عم,progressive marker,3am,3am,T3_GENERIC_SUPPORT,particle,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0017,رح,will / going to,ra7,ra7;rah,T3_GENERIC_SUPPORT,particle,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0018,كان,was,ken,ken,T3_GENERIC_SUPPORT,particle,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0019,صار,became / happened,sar,sar,T3_GENERIC_SUPPORT,particle,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0020,شو,what,shu,shu;shou,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0021,ليش,why,lesh,lesh;leish,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0022,كيف,how,keef,keef;kif,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0023,وين,where,wein,wein;wen,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0024,إيمتى,when,emta,emta;imta,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0025,مين,who,meen,meen;min,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,MEDIUM,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0026,قديش,how much / how many,adde,adde;2adde;addesh;2addesh,T3_GENERIC_SUPPORT,question_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,MEDIUM,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0027,على,on / at / to,3al,3al;3ala;3a,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0028,في / بـ,in / at,fi,fi;bi;bel;bil,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0029,من,from / since,men,men;min,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,MEDIUM,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0030,لـ,to / for,la,la;lal,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0031,عن,about,3an,3an,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0032,مع,with,ma3,ma3,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0033,بلا,without,bala,bala;bla,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0034,متل,like / such as,metel,metel;mitel,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0035,بس,but / only,bas,bas;bass,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0036,إذا,if,eza,eza;iza,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0037,لأنو,because,la2anno,la2anno;la2ano,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0038,قبل,before,abel,abel;2abel,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0039,بعد,after / still,ba3d,ba3d,T3_GENERIC_SUPPORT,connector,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0040,هلق,now,halla2,halla2;hala2,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0041,اليوم,today,lyom,lyom;l yom,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0042,بكرا,tomorrow,bukra,bukra;bokra,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0043,مبارح,yesterday,mbere7,mbere7;mbarih,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0044,الصبح,morning,sob7,sob7;bel sob7,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0045,بالليل,at night,bel leil,bel leil,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0046,ساعة,hour,se3a,se3a;sa3a,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0047,يوم,day,yom,yom;youm,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0048,أسبوع,week,2sbou3,2sbou3,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0049,من زمان,for a long time,men zamaan,men zamaan;men zaman,T3_GENERIC_SUPPORT,time_expr,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0050,هون,here,hon,hon,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0051,هونيك,there,honik,honik;hounik,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0052,فوق,above / upstairs,faw2,faw2;fo2,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0053,تحت,under / downstairs,ta7t,ta7t,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0054,قدام,in front of,2oddem,2oddem;oddem,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0055,ورا,behind,wara,wara,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0056,جنب,beside / next to,jemb,jemb;janb;7add,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,MEDIUM,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0057,قريب,near,2arib,2arib;orayb,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0058,بعيد,far,b3id,b3id,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0059,نص,middle,nos,nos;bi nos,T3_GENERIC_SUPPORT,location_word,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0060,أجى,came,eje,eje;ije,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0061,راح,went,ra7,ra7;rah,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0062,صار,happened / became,sar,sar,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0063,طلع,went up / came out,tala3,tala3;tla3,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0064,نزل,went down / came down,nzal,nzal;nzel,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0065,وقف,stopped,wa2af,wa2af;wa2ef,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0066,فتح,opened,fata7,fata7,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0067,سكّر,closed,sakkar,sakkar;sakker,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0068,شال,removed / carried,shel,shel;shal,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0069,حط,put,7at,7at,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0070,شاف,saw,shef,shef;shaf,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0071,بعث,sent,ba3at,ba3at;b3at,T3_GENERIC_SUPPORT,verb_general,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
