issue_type,severity,canonical_key,variant,current_value,expected_or_note,source
orphan_sector_variant,LOW,ROADS/road_crack,sha2 bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_crack,tari2 metsha22a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_crack,asfalt metsha22e2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_crack,tasha22o2at bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_crack,tasha22o2at bel asfalt,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_crack,fi sha2 kbir bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,ghata l biyar maf2oud,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,biyar maftou7 bla ghata,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,biyar mkshouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,ghata l balou3a maf2oud,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,balou3a maftou7a bla ghata,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,ghata l majrour maf2oud,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/missing_manhole,manhole bala ghata,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/broken_sidewalk,rasif maksour,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/broken_sidewalk,balat l rasif mkassar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/broken_sidewalk,ma fi rasif,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/broken_sidewalk,rasif me7tej tasli7,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/broken_sidewalk,rasif bi 5atar 3al mashi,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,tari2 ta3bene,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,tari2 mish mni7a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,asfalt mkassar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,asphalt mkassar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,asfalt me7taj tazfit,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,tari2 me7teje siyene,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,matab mish bayen,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,kaser sor3a meksour,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,sekke ta3bene,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_damage,matab meksour,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_closed,tari2 msakkra,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_closed,tari2 ma2foule,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_closed,ma fi fout 3al tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_closed,l baladiye sakkarit l tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,l may 2at3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,l may 2ata3et,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,may inkata3et,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,may ma rj3it,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,ma rj3it l may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,lissa l may 2at3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,lissa ma rj3it l may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,men emes ma fi may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,men 2 yom ma fi may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,bdoun may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/water_cut,ma2tou3een men may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,fi tasarrob may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,tasarrob l may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,anboub may 3am ysarrib,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,anboub 3am yesarrab may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,may 3am tsarrib men l anboub,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,may 3am tfour men l anboub,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,masroubet may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,khatt l may mfa22a3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/pipe_leak,may nabe3a men ta7t l ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,sarif sa77i 3am yfayid,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,sarif 3am yefour,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,may sarif 3al tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,biyar sarif mfatou7a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,majrour msakkar w 3am yfayid,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,may weskha 3am tetla3 men l majrour,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/sewage_overflow,may ws5a 3am tetla3 men l biyar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may wes5a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may mish ndife,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may m3akkra,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may 3ekra,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,lawn l may gharib,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may fiya ri7a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,may ri7eta besh3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,eau sale,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/dirty_water,riy7et mey,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,daght l may da3if,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,daght l may khafif,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,ma fi daght may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,ma fi daght bel may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,may 3am teje 5afife,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,may 3am teje netfe netfe,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,daght l may nazel ktir,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,l may ma 3am titla3 3al tabe2 l 3ale,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/low_pressure,l may ma btousal 3al tabe2 l 3ale,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,ma fi may bel manti2a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,l may ma 3am tousal,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,may ma 3am tousal 3al 7ay,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,l may ma 3am teje,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,ma 3enna may bel bayt,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,l 5azzan fadi,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,l 5azzan fadi w ma fi may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,eau coupee,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,nab3 neshef,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,nab3 jefef,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,beer may neshef,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,beer may jfef,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WATER/no_supply,l nab3 ma 3am y3te may,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk kahraba mekshouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk kahraba 3al ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk mekshouf 3al ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,7abal kahraba 3al tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,7abal kahraba nzal 3al ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk kahraba 2ata3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk 3eryan,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk kahraba 3eryan,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silk 3am yshar2it,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,fi shar2ata men l silk,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,5atar kahraba men silk mekshouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,lams kahraba men l silk,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silik makshouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,slek makshouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silik we2e3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,slek we2e3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silik 3al 2ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,slek 3al 2ard,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silik makchouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,slek makchouf,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,silik wa2e3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/exposed_wire,slek wa2e3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahrabe 2at3et,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahrabe ma fi,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba inkata3et,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,l kahraba 2at3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba lissa 2at3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,lissa ma rj3it l kahraba,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,men emes ma fi kahraba,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,men 2 yom ma fi kahraba,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,lissa 3atme,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,panne de courant,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,panne courant,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba bt2ate3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba bte2ta3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba2 bt2ate3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/power_outage,kahraba2 bte2ta3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,nour l share3 tafe,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,daw l share3 tafe,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,nour share3 ma shi3el,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,ma fi nour bel share3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,3amoud daw kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,lampadaire kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,nour l share3 ma shaghghal,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,daw l tari2 ma shaghghal,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/street_light,nour l 7ay tafe,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,mhawwel kahraba kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,muhawwel kahraba kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,m7awwel 3am yshar2it,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,ri7et 7ari2 men l m7awwel,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,sandou2 kahraba kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,transformateur 3am ydakhen,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,moulid kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,moulid 3atlan,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,muwallid kharben,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/transformer_fault,muwallid 3atlan,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,fi tazabzob bel kahraba,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,kahraba 3am trou7 w terja3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,kahraba 3am t2awwe w ted3af,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,l volt mish sabit,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,l volt 3am yitghayar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,daw 3am y2awwe w yd3af,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,kahraba 3am t7ri2 l ajhze,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ELECTRICITY/voltage_fluctuation,kahraba 3am tekbos w trou7,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,l zbele ma tshalet,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,zbele ma njam3it,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,zibele ma njam3it,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ma eje 7ada yshil l zbele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ma eje 7ada yshil l zibele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,shirket l zbele ma ejet,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,men iyem l zbele ma tshalet,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,men iyem w zbele ma t7arrakit,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,l 7awiyet m3abbeyin w ma 7ada shalon,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,l 2lebe m3abbeye w ma tshalet,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ri7et zbele men l 7awiyet,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ri7a mish taybe men l zbele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,zbele metrakme,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,zbele mtrakme,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,jmaou zibele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,jmaou zbele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,zbele 3amme titrakam,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,titrakam zbele,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ordures non ramassees,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,WASTE/garbage_not_collected,ramassees,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
