id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,confidence,quality_flag,complaint_use,candidate_sector,candidate_issue,signal_strength,context_rule,hard_negative_hint,already_in_vocab,notes
4106,7ot 3al nar,7ot 3al nar,حط عالنار,put it on the stove,food,phrase,phrase,high,,classification_context_guard,,,review,,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,primary form
4107,hot 3al nar,7ot 3al nar,حط عالنار,put it on the stove,food,phrase,spelling_variant,high,,classification_context_guard,,,review,,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,realistic spelling variant
4108,7ot aal nar,7ot 3al nar,حط عالنار,put it on the stove,food,phrase,spelling_variant,high,,classification_context_guard,,,review,,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,realistic spelling variant
4109,hot aal nar,7ot 3al nar,حط عالنار,put it on the stove,food,phrase,spelling_variant,high,,classification_context_guard,,,review,,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,realistic spelling variant
4577,fi may,fi may,في مي؟,is there water?,home,phrase,question,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:WATER:question/availability phrase; route only with outage/leak/flood context,FALSE,home water availability question
4578,fe may,fi may,في مي؟,is there water?,home,phrase,spelling_variant,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:WATER:question/availability phrase; route only with outage/leak/flood context,FALSE,home water availability question
4690,l akel 3al nar,l akel 3al nar,الأكل عالنار,the food is on the stove,home,phrase,phrase,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,cooking update
4691,el akel 3al nar,l akel 3al nar,الأكل عالنار,the food is on the stove,home,phrase,spelling_variant,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,cooking update
4870,7att l akel 3al nar,7att l akel 3al nar,حط الأكل عالنار,put the food on the stove,home,phrase,phrase,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,cooking request
4871,7ot l akel 3al nar,7att l akel 3al nar,حط الأكل عالنار,put the food on the stove,home,phrase,spelling_variant,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,cooking request
5654,l akl aal nar,l akel 3al nar,الأكل عالنار,the food is on the stove,home,phrase,spelling_variant,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,natural Lebanese texting
5655,l akel 3a nar,l akel 3al nar,الأكل عالنار,the food is on the stove,home,phrase,spelling_variant,high,,classification_context_guard,OTHER,,context_support,home/building support; classify only with explicit civic issue,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,natural Lebanese texting
12898,nater 3a nar,nater 3a nar,ناطر ع نار,waiting anxiously,idioms,phrase,expression,high,,classification_context_guard,,,review,,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,FALSE,Batch 29; Lebanese idiom/expression
13230,l moteur,moteur,موتور,generator,regional,phrase,spelling_variant,high,,classification_context_guard,ELECTRICITY,power_outage,strong_phrase,matched_patterns:moteur,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,FALSE,Batch 30; regional/common Lebanese wording
16873,l parking,l parking,الباركينغ,the parking,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:parking/place word, not automatically road blockage",FALSE,Expansion Round 2; common object noun/code-switching item
16874,el parking,l parking,الباركينغ,the parking,transportation,noun,spelling_variant,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:parking/place word, not automatically road blockage",FALSE,Expansion Round 2; common object noun/code-switching item
16884,parking,parking,باركينغ,parking,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:parking/place word, not automatically road blockage",FALSE,Expansion Round 2; common object noun
17313,bel parking,bel parking,بالباركينغ,in the parking,transportation,phrase,phrase,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:parking/place word, not automatically road blockage",FALSE,Expansion Round 3; preposition phrase
18755,fii may,fi may,في المي؟,is the water there?,questions,phrase,spelling_variant,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:question/availability phrase; route only with outage/leak/flood context,FALSE,Expansion Round 3; reusable phrase frame
28984,bil parking,bel parking,بالباركينغ,in the parking lot,directions,phrase,spelling_variant,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:parking/place word, not automatically road blockage",FALSE,Expansion Round 5; connector/particle
