normalised_token,top_raw_forms,freq,distinct_tweets,civic_co_occ,civic_ratio,az_ctx_count,az_ctx_ratio,score,has_arabizi_digit,guardrailed,sample_tweet
insta,insta(305),305,305,7,0.023,269,0.882,453.5,0,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour https://t.c
thank,thank(332),332,329,21,0.064,133,0.404,441.5,0,0,Wow thank you sir Dom s support https://t.co/27qBrQddnA
out,out(291),291,285,46,0.161,98,0.344,435.0,0,0,Try out these #iPhone6s photo tips and take your stills from rookie to pro. AbsoluteCell® [DM us NOW
her,her(277),277,242,43,0.178,103,0.426,434.4,0,0,Beyonce doesn't fake her sales tho but the others yes ??
life,life(302),302,293,40,0.137,93,0.317,432.4,0,0,life is exauhsting
our,our(260),260,247,53,0.215,112,0.453,430.5,0,0,Our cedars ?? https://t.co/xFUJsW93Rr
today,today(239),239,232,64,0.276,113,0.487,429.1,0,0,Discovered the progressive  vickvanlianofficial design office and store today in #Beruit… https://t.
people,people(274),274,261,53,0.203,78,0.299,426.2,0,0,Always be there for the people who matter the most .. ? https://t.co/OwPbBoohRa
get,get(288),288,275,46,0.167,80,0.291,426.2,0,0,The moment you reach #home you throw all the negativity outside the front door and get in ??????
que,que(189),189,163,89,0.546,48,0.294,423.2,0,0,Dans la vie on ne fait pas ce que l'on veut mais on est responsable de ce que l'on est… https://t.co
how,how(289),289,282,45,0.160,77,0.273,420.7,0,0,How Pantone Branded Color and Built a Cult Following https://t.co/UZu7KCdGXB
want,want(262),262,240,54,0.225,69,0.287,417.6,0,0,It's stupid how we forgive someone just because we don't want to lose them even when they don't dese
new,new(276),276,260,37,0.142,115,0.442,415.6,0,0,Jeruzalem : 3/10. New idea bad execution 94 mins running 60 of it non related.  Don't watch it only 
mabellechedid,mabellechedid11(188)|mabellechedid(119),307,217,11,0.051,108,0.498,414.5,0,0,No need to ask u anything I just want u to be yourself happy positive strong ambitious Wo I love u k
haidymoussa,haidymoussa(273),273,269,16,0.059,213,0.792,413.6,0,0,@HeshamAssy  استاذ هشام نتمنى من حضرتك استضافه الفنانه الصاعدة هايدي موسى صاحبه الصوت الرائع في برنا
please,please(298),298,285,15,0.053,145,0.509,405.2,0,0,@BebeRexha Please post a picture of the cover
bas,bas(154),154,148,95,0.642,96,0.649,401.6,0,0,@Charbbo tomorrow?? Bas by foot running ????
ang,ang(253),253,222,37,0.167,108,0.486,398.9,0,0,TOMIHO -Kahit maputi na ang buhok ko JANEROME -Walang Iba MARNELLA -Mananatili  MIHO HaveFunSaJapan
nominate,nominate(119),119,118,110,0.932,113,0.958,397.8,0,0,#EMAs_MabelleChedid  I nominate Mabelle Chedid @MabelleChedid11  @EMAs_Official
haha,haha(252),252,229,41,0.179,70,0.306,380.8,0,0,Babae haha halika dto @Sha73376402   KIMXI TSOU ATC MallShow
handsome,handsome(111),111,110,105,0.955,107,0.973,376.9,0,0,Look at that handsome #agent... Only 3 hours in but add me to take back #NewYork #TheDivision… https
7it264trum,7it264trum(240),240,240,6,0.025,240,1.000,372.0,1,0,"?+ ""رويترز"" عن مسؤول أميركي: واشنطن ترفض دعوة موسكو لإجراء محادثات عاجلة بشأن مراقبة وقف إطلاق النار"
morning,morning(235),235,230,37,0.161,103,0.448,363.2,0,0,Good morning #Damascus! Sun will rise in 30 minutes (local time 05:48) #Sunrise #Photo #Photography 
too,too(239)|toooo(4)|tooooo(2)|toooooooooooooooo(1),246,236,38,0.161,72,0.305,362.7,0,0,@elissakh miss u too ?
photo,photo(184),184,182,54,0.297,136,0.747,361.9,0,0,? Zeina LIVE! ? #hijabsex  ? Private Show ? https://t.co/p37zSu2yD7 ?  (Photo: @munamuslim) #ckxgirl
its,its(209),209,200,53,0.265,69,0.345,355.8,0,0,Glimmer of hope as Syria war enters sixth year: Syria's war enters its sixth year next week with a g
why,why(228),228,218,42,0.193,64,0.294,349.3,0,0,why do i have to go to school? why can't i stay in bed and read all day?
god,god(238),238,228,33,0.145,78,0.342,347.6,0,0,can he wear tight fitting shirts more my god he is such a piece of art
years,years(159),159,156,60,0.385,128,0.821,346.5,0,0,18 years @B018Beirut in this spot &amp; still going@8am thanks for keeping it alive @3LIASofficial #
down,down(173),173,167,53,0.317,110,0.659,339.8,0,0,Welcome to the ghost city! @ Beirut Down Town https://t.co/7k8EdJUU3D
here,here(228),228,226,31,0.137,91,0.403,336.5,0,0,I love twitter. Everyone here is lovelyyyyyyyyyyuuwu
need,need(222)|neeeeeed(1)|neeeed(1),224,217,40,0.184,58,0.267,336.5,0,0,No need to ask u anything I just want u to be yourself happy positive strong ambitious Wo I love u k
wind,wind(153),153,153,53,0.346,146,0.954,332.0,0,0,temperature down 18°C -&gt; 14°C humidity up 18% -&gt; 33% wind 5km/h -&gt; 32km/h
moussa,moussa(194)|moussa6(1),195,194,21,0.108,180,0.928,327.7,0,0,لماذا رفض سرحان سرحان ما قاله الزعيم عن فرج الله الحلو في استيريو 71 (@ Al madina theater in Beirut 
und,und(111),111,30,23,0.767,21,0.700,320.1,0,0,@andreaslange112 @Typisch_Deutsch @welt Geschweige von Menschen abkoepfen Haende/Beine abhacken und 
humidity,humidity(139),139,139,53,0.381,139,1.000,314.5,0,0,temperature down 18°C -&gt; 14°C humidity up 18% -&gt; 33% wind 5km/h -&gt; 32km/h
his,his(191),191,174,42,0.241,55,0.316,313.4,0,0,https://t.co/3JQ7PzL8A5 his confidence is beyonce imagination. @bretmanrock slay me
haidy,haidy(188),188,186,17,0.091,174,0.935,310.3,0,0,#اعتراف_ل_مغرد #فن_الشارع  Follow #haidymoussa ? https://t.co/H6uaAaSPov https://t.co/v8FBWk23u8 @Ha
star,star(220),220,220,5,0.023,158,0.718,309.0,0,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour Amazing sta
after,after(188),188,184,38,0.207,84,0.457,308.6,0,0,@FawziAbdelAl @marylinchahine me after dying 30 times in 20 mins during bloodborne
see,see(210)|seeeeee(1)|seeee(1),212,208,25,0.120,70,0.337,298.6,0,0,Dont expect in the away game to see a superb performance just another game with boring hopeless and 
becharaghady,becharaghady(190),190,182,35,0.192,66,0.363,297.5,0,0,@BecharaGhady i never heard you singing that song!!
tbworld,tbworld1016(85),85,80,80,1.000,80,1.000,297.5,0,0,I vote for#hananeelkhader @HananeElKhader for the 100 most beautiful faces of 2016 @DTopbeautyworld 
much,much(204),204,199,28,0.141,66,0.332,295.2,0,0,@GhinaSeddik so much for the Arsenal jokes though
mother,mother(195),195,176,20,0.114,89,0.506,288.6,0,0,All that I am or hope to be I owe to my angel mother!  MOTHER'S DAY GIFTS! https://t.co/rsJx5KQfFB
inooroke,inooroke(218),218,217,9,0.041,97,0.447,284.8,0,0,@inooroke @munesh_14 #racuria @wa_jesse @gasosikamaina @chombajohnson @Bena33 @RufusKimani @mugowaru
think,think(196),196,194,30,0.155,55,0.284,284.4,0,0,What do you think about this ballerina sneakers by Adidas !? Yay or nay? ???? #ballerina… https://t.
syrian,syrian(140),140,83,28,0.337,59,0.711,284.2,0,0,Israeli / Syrian border ??? #israel #syria @ Israeli / Syrian Border https://t.co/QiTCB5ffkP
great,great(180),180,175,26,0.149,92,0.526,280.8,0,0,Ronald &amp; Nancy Reagan were with great leadership characters !
old,old(150),150,146,36,0.247,110,0.753,280.5,0,0,Manchester united used to be well known as the best in scoring late goals the old MU used to fight a
amazing,amazing(199),199,193,9,0.047,116,0.601,277.4,0,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour Amazing sta
kimxi,kimxi(206),206,201,3,0.015,121,0.602,274.2,0,0,Sna ilabas n po ung part 2 ng KimXi Confessions pampawi ng sakit tagal p kasi ng Monday @micodelrosa
game,game(173),173,166,31,0.187,70,0.422,274.1,0,0,Dont expect in the away game to see a superb performance just another game with boring hopeless and 
first,first(169),169,166,32,0.193,78,0.470,273.9,0,0,A great relationship is about two things: First appreciating the similarities and second respecting 
would,would(178),178,173,35,0.202,45,0.260,273.2,0,0,Would you choose your boyfriend/girlfriend over your best friend( of the opposite sex)
tsou,tsou(204),204,201,4,0.020,120,0.597,273.0,0,0,May pambawi po BA mamaya pra sepisod kagabi ng TSOU @StarCreativesTV sa Monday pa po kasi makikita u
has,has(169),169,167,36,0.216,54,0.323,269.2,0,0,Just letting you know that @AlBatrick has never been on public transport alone before.  Proof: https
tomorrow,tomorrow(119),119,118,59,0.500,60,0.508,268.3,0,0,@Charbbo tomorrow?? Bas by foot running ????
man,man(163),163,157,33,0.210,69,0.439,267.3,0,0,And now my baby's dancing but she's dancing with another man.
tsoupanggap,tsoupanggap(192),192,192,17,0.089,79,0.411,265.5,0,0,Bwahahaa found this sa FB ?? #TSOUPanggap https://t.co/9ZBH2bp4Fk
damascus,damascus(118),118,95,41,0.432,69,0.726,262.7,0,0,Just posted a photo @ Damascus Syria https://t.co/FVCVICgQJ0
hek,hek(87),87,84,69,0.821,63,0.750,262.6,0,0,When you're home alone w ktir sakran w hek w twitter w kelon mabsoutin
still,still(167),167,167,33,0.198,59,0.353,262.5,0,0,Teachers celebrations are still ongoing !!! ??? مركز الارشاد والتوجيه celebrated their day today… ht
really,really(164)|realllly(1),165,160,36,0.225,39,0.244,259.4,0,0,@ahwiWsiji oh damn it they re nuts they really believe sharia is not manmade? its 95% a mix of hamur
night,night(171),171,164,25,0.152,69,0.421,259.1,0,0,Girls night in ??????????????????????????
justinbieber,justinbieber(200),200,196,9,0.046,79,0.403,258.7,0,0,When I think that @justinbieber will be called a legend within 15 years. https://t.co/iBuyURkupC
rijn3iceol,rijn3iceol(171),171,171,1,0.006,171,1.000,258.5,1,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour https://t.c
world,world(165),165,158,27,0.171,65,0.411,255.3,0,0,The #Obama #Doctrine: #Rationality In #Irrational #World. https://t.co/dGPfTlp3Jm @POTUS #ForeignPol
let,let(184),184,176,23,0.131,43,0.244,254.6,0,0,"the_daddyo : ""Let's Roll the Dice ?"" https://t.co/QU2phS7OD1 #beirut"
birthday,birthday(168),168,161,23,0.143,72,0.447,253.6,0,0,#nancy33 #birthday #nancy #33 #ad #marketing #tonymwehbi https://t.co/S9vlT6bTOR @ Main Street Dbaye
their,their(160),160,154,31,0.201,50,0.325,250.4,0,0,@MCaruso_Cabrera #Mozambique.victim of low oil price. betting on their off shore reserves 2 diversif
hahaha,hahaha(160),160,157,30,0.191,57,0.363,250.2,0,0,@shami_maher HAHAHA laama baalbak
free,free(169),169,168,5,0.030,138,0.821,248.5,0,0,The Prophet as a Painter: #Gibran 'The Arab Nude' free expo @AUB_Lebanon @LiveLoveLeb https://t.co/G
back,back(173),173,171,23,0.135,57,0.333,248.4,0,0,"yonnaboustany : ""Back to the engagement period ????????"" https://t.co/ddmIsTdbWY #beirut"
even,even(150),150,149,37,0.248,42,0.282,245.6,0,0,It's stupid how we forgive someone just because we don't want to lose them even when they don't dese
been,been(153),153,148,34,0.230,43,0.291,245.5,0,0,Just letting you know that @AlBatrick has never been on public transport alone before.  Proof: https
him,him(154),154,147,32,0.218,44,0.299,244.1,0,0,My life wouldn't be complete without a friend like him ? elmurrjoe @… https://t.co/lHZry0q3St
des,des(92),92,85,59,0.694,43,0.506,243.0,0,0,Aujourd'hui en Terminale cmcpromo16 a eu lieu le forum vocationnel des métiers organisé par… https:/
republic,republic(81),81,24,18,0.750,24,1.000,243.0,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
right,right(167),167,160,24,0.150,47,0.294,241.6,0,0,I'm gonna miss people pronouncing my name right :/
live,live(152),152,147,25,0.170,72,0.490,240.9,0,0,Oiseaux Tempête #live #beirut with @fdoberland @SharifSehnaoui #music https://t.co/te6Yhe7VGl
big,big(177),177,172,17,0.099,55,0.320,240.3,0,0,@PBBabscbn @direklauren BIG WINNERS @gt_miho and @itsjimboymartin ruled the Trending list Bravo  MIH
last,last(144),144,142,29,0.204,70,0.493,238.3,0,0,@iHebaaz damn the last two sentences ??
should,should(162),162,155,27,0.174,36,0.232,237.3,0,0,No sun drawn in a child's painting should ever have a frowny face ? https://t.co/aZLhhjJgjS
way,way(172),172,167,17,0.102,57,0.341,236.4,0,0,I can @nathalieawad s scream all the way to beirut  https://t.co/364d5SNeFp
minutes,minutes(79),79,79,62,0.785,66,0.835,236.0,0,0,@LaraHmayed final scene . what a cut imagine people waited a year to see what happened next you coul
miss,miss(161)|missssss(2),163,157,22,0.140,51,0.325,235.2,0,0,Ang cute especially Baby Aimi look @SuperHousemate @vanzmercado @EsguerraTommy miss nyo sila noh MIH
sunset,sunset(82),82,80,56,0.700,72,0.900,233.7,0,0,5:46am: sunrise sunset will be at 5:38pm today's forecast: fair 23/12°C tomorrow: partly cloudy 24/1
got,got(162),162,161,21,0.130,47,0.292,227.9,0,0,@J_FILMKIDD @ArianaGrande I got one less one less problem ??
year,year(101),101,94,43,0.457,62,0.660,226.7,0,0,@avnawards Male Performer of the Year 2016 @MickBluexxx and @SteveHolmesPorn will team up soon @tush
work,work(138),138,130,30,0.231,46,0.354,226.1,0,0,@moiseshijazi walla surprisingly I finished a good amount of work ?
better,better(146),146,138,27,0.196,43,0.312,225.9,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
allah,allah(90),90,87,52,0.598,53,0.609,225.0,0,0,Honestly Allah y3afeke that you still can't get over a story that's a year old....it's not my fault 
arab,arab(98),98,44,20,0.455,33,0.750,223.8,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
yes,yes(151),151,140,21,0.150,49,0.350,222.7,0,0,Beyonce doesn't fake her sales tho but the others yes ??
miho,miho(142),142,120,15,0.125,76,0.633,222.5,0,0,TOMIHO -Kahit maputi na ang buhok ko JANEROME -Walang Iba MARNELLA -Mananatili  MIHO HaveFunSaJapan
news,news(149),149,148,21,0.142,57,0.385,220.0,0,0,@LBCI_NEWS ما بقى بدها: او يحل او يفل
well,well(146)|wellll(1),147,146,27,0.185,35,0.240,219.0,0,0,ALYCIA IS OUR COMMANDER WELL HELL YASS
did,did(143),143,137,26,0.190,41,0.299,218.7,0,0,Do you know what did you do ? you just maked us adore you  #Raphaeljabbour @RaphaelJabbour1 #جبوريات
omg,omg(154),154,135,17,0.126,45,0.333,218.5,0,0,Omg  https://t.co/kXpHrO8NPN
bad,bad(128),128,111,31,0.279,32,0.288,217.9,0,0,Jeruzalem : 3/10. New idea bad execution 94 mins running 60 of it non related.  Don't watch it only 
lol,lol(134),134,133,28,0.211,50,0.376,215.6,0,0,@sockllobego46 LOl ur awesome.but I'm against violence.... was only a reaction...
heart,heart(153),153,150,18,0.120,44,0.293,212.2,0,0,@Nadine_sayed1 i'm gna give you my heart
mom,mom(125),125,116,27,0.233,51,0.440,210.7,0,0,@modarsaleh91 I'm not your mom
pressure,pressure(98),98,98,33,0.337,88,0.898,208.0,0,0,fair -&gt; clear temperature down 18°C -&gt; 15°C humidity up 52% -&gt; 63% wind 13km/h -&gt; 8km/h 
ever,ever(149),149,145,16,0.110,50,0.345,207.6,0,0,No sun drawn in a child's painting should ever have a frowny face ? https://t.co/aZLhhjJgjS
hal,hal(74),74,74,54,0.730,51,0.689,207.5,0,0,My scars tell a story. They are a reminder of times when life tried to break me but failed.… https:/
baby,baby(156),156,136,12,0.088,41,0.301,207.0,0,0,Ang cute especially Baby Aimi look @SuperHousemate @vanzmercado @EsguerraTommy miss nyo sila noh MIH
over,over(132),132,124,25,0.202,39,0.315,206.0,0,0,Would you choose your boyfriend/girlfriend over your best friend( of the opposite sex)
raghebalama,raghebalama(156),156,156,2,0.013,90,0.577,205.0,0,0,السوبر ستار #راغب_علامة يطالب بحقوق المرأة من بيروت https://t.co/1MciqxTzcN @raghebalama
then,then(126),126,122,27,0.221,43,0.352,204.0,0,0,Wanted to tell my best friend something but then i remembered we don't talk anymore?
tsoupaasa,tsoupaasa(134),134,129,23,0.178,41,0.318,203.1,0,0,Nalaglag ulit phone ko ??? n naman haysss ilang months m pa lng   #TSOUPaasa
temperature,temperature(86),86,86,37,0.430,86,1.000,203.0,0,0,temperature down 18°C -&gt; 14°C humidity up 18% -&gt; 33% wind 5km/h -&gt; 32km/h
rhvtywsgtx,rhvtywsgtx(148),148,145,1,0.007,103,0.710,202.6,0,0,#زبالتنا_لوين Follow ? ????? https://t.co/RhvTYWSGtx ارجو مشاهدة وشكرا لكم? ????? https://t.co/eQ5Sc
eno,eno(72),72,68,51,0.750,41,0.603,201.7,0,0,@kevo_90 HAHAHAHAH Eno ehhh btolfozzz
say,say(141),141,129,19,0.147,35,0.271,201.7,0,0,Saw brooklyn in souks and needless to say it was pretty good ??
hananeeikhader,hananeeikhader(57),57,57,57,1.000,57,1.000,199.5,0,0,I vote for @HananeElKhader #HananeEIKhader as the 100 most beautiful faces of 2016 @DTopbeautyworld 
tweet,tweet(115),115,102,27,0.265,40,0.392,198.4,0,0,@tomyomrane @SuhilaBnLachhab @Algeria_Tweet @Souhila__Fans loll طيب لو سمحتوا فرجونا ياهم ،ناس فاضيه
ichraqqamar,ichraqqamar(105),105,75,20,0.267,53,0.707,198.1,0,0,#EMAs_IchraqQamar ..
cloudy,cloudy(85),85,75,31,0.413,74,0.987,197.2,0,0,5:46am: sunrise sunset will be at 5:38pm today's forecast: fair 23/12°C tomorrow: partly cloudy 24/1
look,look(126),126,121,20,0.165,56,0.463,196.8,0,0,Ang cute especially Baby Aimi look @SuperHousemate @vanzmercado @EsguerraTommy miss nyo sila noh MIH
brussels,brussels(136),136,134,18,0.134,47,0.351,196.4,0,0,Prosecutor: Shots fired at Brussels police during search linked to #Paris attacks
some,some(139),139,135,18,0.133,39,0.289,196.1,0,0,I'm way too serious in convos with some people I hate it. I just want to deactivate already.
guys,guys(127),127,123,21,0.171,48,0.390,195.1,0,0,Are you guys enjoying the show? #pepsi pepsilebanon @ Beirut Lebanon https://t.co/NfVD5vVaEO
mabelle,mabelle(162),162,161,9,0.056,29,0.180,194.7,0,0,#EMAs_MabelleChedid  I nominate Mabelle Chedid @MabelleChedid11  @EMAs_Official
off,off(115)|offffff(1),116,110,27,0.245,41,0.373,194.6,0,0,Guess where i'm off to? ??
mallshow,mallshow(148),148,148,0,0.000,92,0.622,194.0,0,0,Psstttt @Thea_Micabel   KIMXI TSOU ATC MallShow
days,days(98),98,96,34,0.354,51,0.531,193.4,0,0,@DimaEleiwa i am turning 26 in 36 days
atc,atc(147),147,147,0,0.000,92,0.626,193.0,0,0,Psstttt @Thea_Micabel   KIMXI TSOU ATC MallShow
watch,watch(127),127,121,18,0.149,53,0.438,192.6,0,0,Jeruzalem : 3/10. New idea bad execution 94 mins running 60 of it non related.  Don't watch it only 
elissakh,elissakh(127),127,125,18,0.144,56,0.448,192.0,0,0,Follow #Elissa's fashion account on instagram #elissa_fashion1  @elissakh https://t.co/3KGBmrsYWk
lebanese,lebanese(123),123,119,18,0.151,61,0.513,191.7,0,0,#Hezbollah was declared a #terrorist group by the #ArabLeague but they are our #Lebanese brothers an
every,every(133),133,129,17,0.132,39,0.302,188.2,0,0,Hold on to every genuine person you find. This generation has people driven by ego money &amp; statu
girl,girl(135),135,131,17,0.130,35,0.267,188.1,0,0,Gondo talaga ni Bibi Girl ng ADN ohhh #ALDUBPaandarNiDudang  https://t.co/2GR1YynUss
take,take(137),137,133,16,0.120,35,0.263,188.0,0,0,take notes @ crush sorry i'm annoying :) https://t.co/5dbKnWh047
instagram,instagram(110),110,106,17,0.160,81,0.764,187.3,0,0,Follow #Elissa's fashion account on instagram #elissa_fashion1  @elissakh https://t.co/3KGBmrsYWk
video,video(107),107,107,21,0.196,76,0.710,187.0,0,0,@BebeRexha Are you releasing the video at the same time?! #NoBrokenHearts
liban,liban(83),83,64,28,0.438,47,0.734,186.1,0,0,?????? @ Dbayeh Mont-Liban Lebanon https://t.co/iT8wD0hYJm
shit,shit(130),130,98,13,0.133,31,0.316,185.1,0,0,O shit
snqa5yl1r,snqa5yl1r1(122),122,122,1,0.008,122,1.000,185.0,1,0,#ChampionsLeague  plz follow?? ?https://t.co/snQA5yL1R1   ? ?@RaphaelJabbour1  #raphaeljabbour https
