combo_id,arabic_phrase,romanized_canonical,english_gloss,component_tokens,combined_sector,combined_issue_type,combined_severity_hint,override_type,override_reason,false_friend_risk,confidence_level,source_reference,review_status,reviewer_id,created_at,must_not_auto_promote
PC-0011,سلك مكشوف,selk makshouf,exposed wire,selk;makshouf,SAFETY,EXPOSED_WIRE,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1278,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0012,دفاع مدني,difa3 madane,civil defense,difa3;madane,SAFETY,emergency_service_ref,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1279,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0013,عنجد,3anjad,seriously,3anjad,OTHER,discourse_marker,LOW,IDIOM,Idiomatic phrase — literal token meaning differs from phrase meaning,false,MEDIUM,candidate_bank:ARZ-CAND-1280,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0014,بعتنا لوكيشن,ba3atna location,we sent location,ba3atna;location,ALL,evidence_combo,LOW,EVIDENCE_COMBO,Evidence signal — split would route on partial noun incorrectly,false,MEDIUM,candidate_bank:ARZ-CAND-1281,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0015,في صورة,fi soura,there is a photo,fi;soura,ALL,evidence_combo,LOW,EVIDENCE_COMBO,Evidence signal — split would route on partial noun incorrectly,false,MEDIUM,candidate_bank:ARZ-CAND-1282,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0016,في فيديو,fi video,there is a video,fi;video,ALL,evidence_combo,LOW,EVIDENCE_COMBO,Evidence signal — split would route on partial noun incorrectly,false,MEDIUM,candidate_bank:ARZ-CAND-1283,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0017,كل مرة,kel marra,every time,kel;marra,ALL,frequency_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1284,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0018,قدام البيت,2oddem l beit,in front of house,2oddem;l;beit,ALL,location_context,LOW,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1285,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0019,على الطريق,3al tari2,on the road,3al;tari2,ROADS,location_context,LOW,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1286,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0020,بنص الطريق,bi nos l tari2,middle of road,bi;nos;l;tari2,ROADS,location_context,MEDIUM,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1287,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0021,ما حدا,ma 7ada,no one,ma;7ada,ALL,negation_person,MEDIUM,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,MEDIUM,candidate_bank:ARZ-CAND-1288,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0022,ما عاد,ma 3ad,no longer,ma;3ad,ALL,negation_time,MEDIUM,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,MEDIUM,candidate_bank:ARZ-CAND-1289,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0023,لو سمحت,law sama7et,please,law;sama7et,OTHER,politeness_marker,LOW,IDIOM,Idiomatic phrase — literal token meaning differs from phrase meaning,false,MEDIUM,candidate_bank:ARZ-CAND-1290,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0024,رقم طلب,ra2em talab,request number,ra2em;talab,ALL,reporting_context,LOW,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1291,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0025,خبرنا البلدية,khabbarna l baladiye,we informed municipality,khabbarna;l;baladiye,ALL,reporting_combo,LOW,EVIDENCE_COMBO,Evidence signal — split would route on partial noun incorrectly,false,MEDIUM,candidate_bank:ARZ-CAND-1292,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0026,قد ما فيك,ad ma fik,as much as you can,ad;ma;fik,OTHER,request_modifier,LOW,IDIOM,Idiomatic phrase — literal token meaning differs from phrase meaning,false,MEDIUM,candidate_bank:ARZ-CAND-1293,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0027,يا ريت,ya reit,hopefully/please,ya;reit,OTHER,request_softener,LOW,IDIOM,Idiomatic phrase — literal token meaning differs from phrase meaning,false,MEDIUM,candidate_bank:ARZ-CAND-1294,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0028,بلا نتيجة,bala natije,without result,bala;natije,ALL,response_failure,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1295,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0029,ما حدا رد,ma 7ada rad,no one responded,ma;7ada;rad,ALL,response_failure,HIGH,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,MEDIUM,candidate_bank:ARZ-CAND-1296,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0030,خطر على الولاد,5atar 3al wled,danger to children,5atar;3al;wled,SAFETY,GENERAL_HAZARD,HIGH,RISK_COMBO,Risk phrase — danger signal only present in the full combination,false,MEDIUM,candidate_bank:ARZ-CAND-1297,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0031,في خطر,fi 5atar,in danger,fi;5atar,SAFETY,GENERAL_HAZARD,HIGH,RISK_COMBO,Risk phrase — danger signal only present in the full combination,false,MEDIUM,candidate_bank:ARZ-CAND-1298,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0032,على الرصيف,3al rasif,on sidewalk,3al;rasif,ROADS,road_location,LOW,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1299,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0033,قدام المدرسة,2oddem l madrase,in front of school,2oddem;l;madrase,ALL,sensitive_location,HIGH,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1300,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0034,عم يكبر,3am yikbar,getting bigger,3am;yikbar,ALL,status_deteriorating,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1301,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0035,عم ينتشر,3am yintishir,spreading,3am;yintishir,ALL,status_deteriorating,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1302,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0036,عم يسوء,3am yisou2,getting worse,3am;yisou2,ALL,status_deteriorating,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1303,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0037,ما تحسن,ma t7assan,did not improve,ma;t7assan,ALL,status_no_improvement,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1304,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0038,متل ما هو,metel ma huwe,same as it is,metel;ma;huwe,ALL,status_unchanged,MEDIUM,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1305,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0039,لحد هلأ,la 7ad halla2,until now,la;7ad;halla2,ALL,duration_until_now,HIGH,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1306,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0040,من مبارح,men mbere7,since yesterday,men;mbere7,ALL,duration_context,HIGH,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1307,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0041,من وقت,men wa2et,since time,men;wa2et,ALL,duration_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1308,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0042,من يومين,men yomein,since two days,men;yomein,ALL,duration_context,HIGH,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1309,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0043,بالليل,bel leil,at night,bel;leil,ALL,time_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1310,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0044,بأسرع وقت,bi asra3 wa2et,as soon as possible,bi;asra3;wa2et,ALL,urgency_context,HIGH,URGENCY_COMBO,Urgency phrase — urgency only conveyed by the full expression,false,MEDIUM,candidate_bank:ARZ-CAND-1311,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0045,حاوية مليانة,7awiye melyene,full bin,7awiye;melyene,WASTE,OVERFLOWING_BIN,MEDIUM,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1312,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0046,زبالة مكبوبة,zbele makboube,dumped garbage,zbele;makboube,WASTE,ILLEGAL_DUMP,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1313,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0047,ضغط ضعيف,daghet d3if,low pressure,daghet;d3if,WATER,LOW_PRESSURE,MEDIUM,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1314,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0048,بعد الشتي,ba3d l shate,after rain,ba3d;l;shate,ALL,weather_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1315,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0049,كل ما تشتي,kel ma teshte,whenever it rains,kel;ma;teshte,ALL,weather_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1316,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0050,وقت الشتي,wa2et l shate,during rain,wa2et;l;shate,ALL,weather_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1317,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0051,ما في ميّ,ma fi may,no water,ma;fi;may,WATER,NO_WATER,CRITICAL,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0052,ما في ميّ من مبارح,ma fi may men mbere7,no water since yesterday,ma;fi;may;men;mbere7,WATER,NO_WATER,CRITICAL,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0053,ميّ عكرة,may 3akkure,dirty / turbid water,may;3akkure,WATER,DIRTY_WATER,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0054,ميّ صفرا,may asfar,yellow water,may;asfar,WATER,DIRTY_WATER,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0055,ميّ سمّة,may smem,contaminated / poisonous water,may;smem,WATER,DIRTY_WATER,CRITICAL,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0056,انقطع الميّ,n2ata3 l may,water got cut off,n2ata3;l;may,WATER,NO_WATER,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0057,الكهرباء انقطعت,l kahraba n2ata3et,electricity got cut,l;kahraba;n2ata3et,ELECTRICITY,POWER_OUTAGE,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0058,الكهرباء ما رجعت,l kahraba ma rja3et,electricity did not come back,l;kahraba;ma;rja3et,ELECTRICITY,POWER_OUTAGE,HIGH,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0059,ضوء انقطع,daw n2ata3,streetlight went out,daw;n2ata3,ELECTRICITY,STREETLIGHT_OUT,MEDIUM,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0060,سلك عريان,selk 3aryan,exposed/bare wire,selk;3aryan,SAFETY,EXPOSED_WIRE,CRITICAL,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0061,ريحة غاز,ri7et ghaz,smell of gas,ri7et;ghaz,SAFETY,GAS_LEAK,CRITICAL,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0062,عمود واقع,3amoud waki3,pole fell / falling pole,3amoud;waki3,SAFETY,STRUCTURAL_COLLAPSE,CRITICAL,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0063,سقف واقع,se2ef waki3,ceiling collapsed / falling ceiling,se2ef;waki3,SAFETY,STRUCTURAL_COLLAPSE,CRITICAL,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0064,جدار خايف,jedar 5ayef,wall is dangerous / about to collapse,jedar;5ayef,SAFETY,STRUCTURAL_RISK,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0065,حفرة بالطريق,7ufra bi l tari2,pothole in the road,7ufra;bi;l;tari2,ROADS,POTHOLE,MEDIUM,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0066,غطا منهول مكسور,ghata man7al maksour,broken manhole cover,ghata;man7al;maksour,ROADS,MANHOLE,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0067,الطريق مسدود,l tari2 mesdoud,road is blocked,l;tari2;mesdoud,ROADS,ROAD_BLOCKED,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0068,جسر خايف,jisr 5ayef,bridge is dangerous,jisr;5ayef,ROADS,STRUCTURAL_RISK,CRITICAL,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0069,حفريات بلا إشارات,7afriyet bla isharat,excavation without warning signs,7afriyet;bla;isharat,ROADS,ROAD_DIG_OPEN,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0070,زبلة عم تحترق,zbele 3am te7tere2,garbage is burning,zbele;3am;te7tere2,WASTE,BURNING_WASTE,CRITICAL,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0071,حريق زبلة,7ariq zbele,garbage fire,7ariq;zbele,WASTE,BURNING_WASTE,CRITICAL,RISK_COMBO,Risk phrase — danger signal only present in the full combination,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0072,الطريق غريق,l tari2 gheri2,road is flooded,l;tari2;gheri2,FLOODING,FLOOD_ROAD,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0073,صرفة مكشوفة,sarfe mekshouf,open sewage drain,sarfe;mekshouf,FLOODING,SEWAGE_OVERFLOW,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0074,بلوعة مكسورة,balou3a makshoure,broken/open drain,balou3a;makshoure,FLOODING,SEWAGE_OVERFLOW,HIGH,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0075,ميّ عم تجري بالطريق,may 3am tjri bi l tari2,water running in the street,may;3am;tjri;bi;l;tari2,FLOODING,FLOOD_ROAD,HIGH,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,HIGH,V12_ISSUE_LEVEL_NEW,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-19,true
PC-0076,ما في حل,ma fi 7all,no solution,ma;fi;7all,ALL,complaint_status,LOW,NEGATION_COMBO,Trusted phrase lock candidate — match before single-token lookup to avoid losing combined meaning.,false,HIGH,V13_TRUSTED_GENERIC_EXPANSION_BEST_EFFORT_NATIVE_REVIEW_REQUIRED; original_id=PC-V13-0076,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0077,كل يوم,kel yom,every day,kel;yom,ALL,frequency_context,LOW,TEMPORAL_COMBO,Trusted phrase lock candidate — match before single-token lookup to avoid losing combined meaning.,false,HIGH,V13_TRUSTED_GENERIC_EXPANSION_BEST_EFFORT_NATIVE_REVIEW_REQUIRED; original_id=PC-V13-0077,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0078,من زمان,men zaman,for a long time,men;zaman,ALL,time_context,LOW,TEMPORAL_COMBO,Trusted phrase lock candidate — match before single-token lookup to avoid losing combined meaning.,false,HIGH,V13_TRUSTED_GENERIC_EXPANSION_BEST_EFFORT_NATIVE_REVIEW_REQUIRED; original_id=PC-V13-0078,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0079,رجعت نفس المشكلة,rji3et nafs l mashkle,same problem returned,rji3et;nafs;mashkle,ALL,duplicate_signal,LOW,DUPLICATE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0080,نفس المحل,nafs l ma7al,same place,nafs;ma7al,ALL,duplicate_context,LOW,DUPLICATE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0081,نفس العنوان,nafs l 3enwen,same address,nafs;3enwen,ALL,duplicate_context,LOW,DUPLICATE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0082,نفس الصورة,nafs l soura,same photo,nafs;soura,ALL,duplicate_context,LOW,DUPLICATE_CONTEXT_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0083,مش واضح,mish wade7,not clear,mish;wade7,ALL,clarity_context,LOW,CLARITY_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0084,واضح بالصورة,wade7 bel soura,clear in photo,wade7;soura,ALL,evidence_context,LOW,EVIDENCE_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0085,من اليوم,men lyom,since today,men;lyom,ALL,time_context,LOW,TIME_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0086,من الصبح,men l sob7,since morning,men;sob7,ALL,time_context,LOW,TIME_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0087,من أسبوع,men 2sbou3,since a week,men;2sbou3,ALL,time_context,LOW,TIME_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0088,من أسبوعين,men 2sbou3ein,since two weeks,men;2sbou3ein,ALL,time_context,LOW,TIME_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0089,جنب المستشفى,jemb l mustashfa,next to hospital,jemb;mustashfa,ALL,sensitive_location,LOW,LOCATION_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0090,قدام البناية,2oddem l bineye,in front of building,2oddem;bineye,ALL,location_context,LOW,LOCATION_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
PC-0091,جنب البيت,jemb l beit,next to house,jemb;beit,ALL,location_context,LOW,LOCATION_LOCK,"V14 phrase lock candidate — match before single-token lookup; context/HITL only, never direct auto-routing.",false,HIGH,V14_MEGA_TRUSTED_EXPANSION|CEDARFIX_CONTEXT_RULE,PENDING_NATIVE_REVIEW,UNASSIGNED,2026-05-21,true
