id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,notes,confidence
118,ya3ni,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
119,yane,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
120,y3ne,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
121,ba2a,ba2a,بقى,so / then / enough already,daily_phrases,particle,base_word,very common Lebanese filler,high
122,ba2a ba2a,ba2a,بقى,so / then / enough already,daily_phrases,particle,base_word,very common Lebanese filler,high
123,ba'a,ba2a,بقى,so / then / enough already,daily_phrases,particle,base_word,very common Lebanese filler,high
124,ba2aa,ba2a,بقى,so / then / enough already,daily_phrases,particle,base_word,very common Lebanese filler,high
125,tayeb,tayeb,طيب,okay / fine,daily_phrases,particle,base_word,used to accept or transition,high
126,tayib,tayeb,طيب,okay / fine,daily_phrases,particle,base_word,used to accept or transition,high
127,taieb,tayeb,طيب,okay / fine,daily_phrases,particle,base_word,used to accept or transition,high
128,tayeb ok,tayeb ok,طيب أوكي,"okay, fine",daily_phrases,particle,base_word,mixed casual acceptance phrase,high
129,tayyeb,tayeb,طيب,okay / fine,daily_phrases,particle,base_word,used to accept or transition,high
130,khalas,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
131,5alas,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
132,khallas,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
133,5allas,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
134,khlas,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
135,5las,khalas,خلص,done / enough / okay,daily_phrases,particle,base_word,very common daily word,high
136,hek,hek,هيك,like this / so,daily_phrases,particle,base_word,common Lebanese demonstrative/adverb,high
137,heik,hek,هيك,like this / so,daily_phrases,particle,base_word,common Lebanese demonstrative/adverb,high
138,hayk,hek,هيك,like this / so,daily_phrases,particle,base_word,common Lebanese demonstrative/adverb,high
139,haik,hek,هيك,like this / so,daily_phrases,particle,base_word,common Lebanese demonstrative/adverb,high
140,heyk,hek,هيك,like this / so,daily_phrases,particle,base_word,common Lebanese demonstrative/adverb,high
141,hala2,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
142,halla2,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
143,halla,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
144,hala,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
145,hal2a,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
146,halaa,hala2,هلّق,now,time,adverb,base_word,Lebanese now,high
147,ba3den,ba3den,بعدين,later / then,time,adverb,base_word,common timing word,high
148,ba3dein,ba3den,بعدين,later / then,time,adverb,base_word,common timing word,high
149,baaden,ba3den,بعدين,later / then,time,adverb,base_word,common timing word,high
150,ba3dain,ba3den,بعدين,later / then,time,adverb,base_word,common timing word,high
151,ba3d shway,ba3d shway,بعد شوي,after a bit / later,time,phrase,phrase,common timing phrase,high
152,eno,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
153,enno,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
154,ino,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
155,inno,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
156,ennu,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
157,inoo,eno,إنو,that / like / um,daily_phrases,particle,base_word,common filler and complementizer,high
158,bas,bas,بس,but / only,daily_phrases,particle,base_word,but or just,high
159,bass,bas,بس,but / only,daily_phrases,particle,base_word,but or just,high
160,bs,bas,بس,but / only,daily_phrases,particle,base_word,but or just,high
161,bas hek,bas hek,بس هيك,that's it / just like that,daily_phrases,phrase,phrase,common closing/limiting phrase,high
162,w,w,و,and,daily_phrases,particle,base_word,single-letter conjunction in texting,high
163,wa,w,و,and,daily_phrases,particle,base_word,single-letter conjunction in texting,high
164,ou,w,و,and,daily_phrases,particle,base_word,single-letter conjunction in texting,high
165,w hek,w,و,and,daily_phrases,particle,base_word,single-letter conjunction in texting,high
166,aw,aw,أو,or,daily_phrases,particle,base_word,common conjunction,high
167,awww,aw,أو,or,daily_phrases,particle,base_word,common conjunction,high
168,or,aw,أو,or,daily_phrases,particle,base_word,English-letter borrowing; common in mixed texting,high
169,aw la2,aw la2,أو لأ,or not,daily_phrases,phrase,phrase,common choice phrase,high
170,aw hek,aw hek,أو هيك,or like that,daily_phrases,phrase,phrase,casual filler phrase,high
171,mish,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
172,mesh,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
173,msh,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
174,mch,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
175,mech,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
176,mich,mish,مش,not / isn't,daily_phrases,particle,negation,common negation form,high
177,ma,ma,ما,not / don't,daily_phrases,particle,negation,used before verbs,high
178,maa,ma,ما,not / don't,daily_phrases,particle,negation,used before verbs,high
179,m,ma,ما,not / don't,daily_phrases,particle,negation,used before verbs,high
180,fi,fi,في,there is / can,daily_phrases,particle,base_word,very common existence/can particle,high
181,fe,fi,في,there is / can,daily_phrases,particle,base_word,very common existence/can particle,high
182,fii,fi,في,there is / can,daily_phrases,particle,base_word,very common existence/can particle,high
183,fee,fi,في,there is / can,daily_phrases,particle,base_word,very common existence/can particle,high
184,mafi,mafi,ما في,there isn't / no,daily_phrases,phrase,negation,common negative existence phrase,high
185,ma fe,mafi,ما في,there isn't / no,daily_phrases,phrase,negation,common negative existence phrase,high
186,mfi,mafi,ما في,there isn't / no,daily_phrases,phrase,negation,common negative existence phrase,high
187,ma fii,mafi,ما في,there isn't / no,daily_phrases,phrase,negation,common negative existence phrase,high
188,ma fee,mafi,ما في,there isn't / no,daily_phrases,phrase,negation,common negative existence phrase,high
189,ana,ana,أنا,I / me,daily_phrases,pronoun,base_word,first person singular,high
190,ene,ana,أنا,I / me,daily_phrases,pronoun,base_word,first person singular,high
191,ena,ana,أنا,I / me,daily_phrases,pronoun,base_word,first person singular,high
192,ane,ana,أنا,I / me,daily_phrases,pronoun,base_word,first person singular,high
193,enta,enta,إنتَ,you,daily_phrases,pronoun,base_word,masculine singular,high
194,inta,enta,إنتَ,you,daily_phrases,pronoun,base_word,masculine singular,high
195,ente,ente,إنتِ,you,daily_phrases,pronoun,base_word,feminine singular,high
196,inti,ente,إنتِ,you,daily_phrases,pronoun,base_word,feminine singular,high
197,inte,ente,إنتِ,you,daily_phrases,pronoun,base_word,feminine singular,high
198,enteh,ente,إنتِ,you,daily_phrases,pronoun,base_word,feminine singular,high
199,ento,ento,إنتو,you all,daily_phrases,pronoun,base_word,plural you,high
200,entu,ento,إنتو,you all,daily_phrases,pronoun,base_word,plural you,high
201,entou,ento,إنتو,you all,daily_phrases,pronoun,base_word,plural you,high
202,into,ento,إنتو,you all,daily_phrases,pronoun,base_word,plural you,high
203,intou,ento,إنتو,you all,daily_phrases,pronoun,base_word,plural you,high
204,hene,hene,هني,they,daily_phrases,pronoun,base_word,Lebanese they,high
205,henne,hene,هني,they,daily_phrases,pronoun,base_word,Lebanese they,high
206,hinne,hene,هني,they,daily_phrases,pronoun,base_word,Lebanese they,high
207,heneh,hene,هني,they,daily_phrases,pronoun,base_word,Lebanese they,high
208,henneh,hene,هني,they,daily_phrases,pronoun,base_word,Lebanese they,high
209,huwe,huwe,هوّي,he,daily_phrases,pronoun,base_word,Lebanese he,high
210,howe,huwe,هوّي,he,daily_phrases,pronoun,base_word,Lebanese he,high
211,howwe,huwe,هوّي,he,daily_phrases,pronoun,base_word,Lebanese he,high
212,huwwe,huwe,هوّي,he,daily_phrases,pronoun,base_word,Lebanese he,high
213,houwe,huwe,هوّي,he,daily_phrases,pronoun,base_word,Lebanese he,high
214,hiye,hiye,هيّي,she,daily_phrases,pronoun,base_word,Lebanese she,high
215,hiyye,hiye,هيّي,she,daily_phrases,pronoun,base_word,Lebanese she,high
216,heye,hiye,هيّي,she,daily_phrases,pronoun,base_word,Lebanese she,high
217,heyye,hiye,هيّي,she,daily_phrases,pronoun,base_word,Lebanese she,high
218,hiyi,hiye,هيّي,she,daily_phrases,pronoun,base_word,Lebanese she,high
219,ne7na,ne7na,نحنا,we,daily_phrases,pronoun,base_word,Lebanese we,high
220,nehna,ne7na,نحنا,we,daily_phrases,pronoun,base_word,Lebanese we,high
221,ni7na,ne7na,نحنا,we,daily_phrases,pronoun,base_word,Lebanese we,high
222,ne7ne,ne7na,نحنا,we,daily_phrases,pronoun,base_word,Lebanese we,high
223,nahna,ne7na,نحنا,we,daily_phrases,pronoun,base_word,Lebanese we,high
224,hayda,hayda,هيدا,this,daily_phrases,pronoun,base_word,masculine this,high
225,hayde,hayde,هيدي,this,daily_phrases,pronoun,base_word,feminine this,high
226,haydeh,hayde,هيدي,this,daily_phrases,pronoun,base_word,feminine this,high
227,heida,hayda,هيدا,this,daily_phrases,pronoun,base_word,masculine this,high
228,heide,hayde,هيدي,this,daily_phrases,pronoun,base_word,feminine this,high
229,haydik,haydik,هيديك,that,daily_phrases,pronoun,base_word,feminine or distant that depending context,high
230,haydeek,haydik,هيديك,that,daily_phrases,pronoun,base_word,feminine or distant that depending context,high
231,heidik,haydik,هيديك,that,daily_phrases,pronoun,base_word,feminine or distant that depending context,high
232,heideek,haydik,هيديك,that,daily_phrases,pronoun,base_word,feminine or distant that depending context,high
233,haydike,haydik,هيديك,that,daily_phrases,pronoun,base_word,feminine or distant that depending context,high
234,hon,hon,هون,here,directions,adverb,base_word,location word,high
235,hone,hon,هون,here,directions,adverb,base_word,location word,high
236,hawn,hon,هون,here,directions,adverb,base_word,location word,high
237,houn,hon,هون,here,directions,adverb,base_word,location word,high
238,hoon,hon,هون,here,directions,adverb,base_word,location word,high
239,hounik,hounik,هونيك,there,directions,adverb,base_word,location word,high
240,honik,hounik,هونيك,there,directions,adverb,base_word,location word,high
241,hounike,hounik,هونيك,there,directions,adverb,base_word,location word,high
242,hunik,hounik,هونيك,there,directions,adverb,base_word,location word,high
243,honeek,hounik,هونيك,there,directions,adverb,base_word,location word,high
244,fo2,fo2,فوق,up / above,directions,adverb,base_word,direction word,high
245,foq,fo2,فوق,up / above,directions,adverb,base_word,direction word,high
246,faw2,fo2,فوق,up / above,directions,adverb,base_word,direction word,high
247,fou2,fo2,فوق,up / above,directions,adverb,base_word,direction word,high
248,ta7t,ta7t,تحت,down / under,directions,adverb,base_word,direction word,high
249,taht,ta7t,تحت,down / under,directions,adverb,base_word,direction word,high
250,ta7et,ta7t,تحت,down / under,directions,adverb,base_word,direction word,high
251,tahet,ta7t,تحت,down / under,directions,adverb,base_word,direction word,high
252,ta7ta,ta7ta,تحتها,under it/her,directions,adverb,base_word,possessive/directional form,high
253,yamin,yamin,يمين,right,directions,noun,base_word,direction word,high
254,yameen,yamin,يمين,right,directions,noun,base_word,direction word,high
255,yemin,yamin,يمين,right,directions,noun,base_word,direction word,high
256,3al yamin,3al yamin,عاليمين,to/on the right,directions,phrase,phrase,direction phrase,high
257,3al yameen,3al yamin,عاليمين,to/on the right,directions,phrase,phrase,direction phrase,high
258,shmel,shmel,شمال,left,directions,noun,base_word,direction word,high
259,shmeel,shmel,شمال,left,directions,noun,base_word,direction word,high
260,shmal,shmel,شمال,left,directions,noun,base_word,direction word,high
261,3al shmel,3al shmel,عالشمال,to/on the left,directions,phrase,phrase,direction phrase,high
262,3al shmal,3al shmel,عالشمال,to/on the left,directions,phrase,phrase,direction phrase,high
263,baddi,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
264,badde,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
265,bade,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
266,bde,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
267,bidi,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
268,bedde,baddi,بدي,I want,verbs,verb,conjugated_form,first person desire,high
269,baddak,baddak,بدك,you want,verbs,verb,conjugated_form,masculine/general you,high
270,badak,baddak,بدك,you want,verbs,verb,conjugated_form,masculine/general you,high
271,bdak,baddak,بدك,you want,verbs,verb,conjugated_form,masculine/general you,high
272,bedak,baddak,بدك,you want,verbs,verb,conjugated_form,masculine/general you,high
273,beddak,baddak,بدك,you want,verbs,verb,conjugated_form,masculine/general you,high
274,baddik,baddik,بدِك,you want,verbs,verb,conjugated_form,feminine you,high
275,badik,baddik,بدِك,you want,verbs,verb,conjugated_form,feminine you,high
276,bdik,baddik,بدِك,you want,verbs,verb,conjugated_form,feminine you,high
277,bedik,baddik,بدِك,you want,verbs,verb,conjugated_form,feminine you,high
278,beddik,baddik,بدِك,you want,verbs,verb,conjugated_form,feminine you,high
279,baddon,baddon,بدن,they want,verbs,verb,conjugated_form,plural third person,high
280,badon,baddon,بدن,they want,verbs,verb,conjugated_form,plural third person,high
281,bdon,baddon,بدن,they want,verbs,verb,conjugated_form,plural third person,high
282,bedon,baddon,بدن,they want,verbs,verb,conjugated_form,plural third person,high
283,ma baddi,ma baddi,ما بدي,I don't want,daily_phrases,phrase,negation,very common refusal,high
284,ma badde,ma baddi,ما بدي,I don't want,daily_phrases,phrase,negation,very common refusal,high
285,ma bade,ma baddi,ما بدي,I don't want,daily_phrases,phrase,negation,very common refusal,high
286,ma bde,ma baddi,ما بدي,I don't want,daily_phrases,phrase,negation,very common refusal,high
287,ma bidi,ma baddi,ما بدي,I don't want,daily_phrases,phrase,negation,very common refusal,high
288,ma baddak,ma baddak,ما بدك,you don't want,daily_phrases,phrase,negation,masculine/general you,high
289,ma badak,ma baddak,ما بدك,you don't want,daily_phrases,phrase,negation,masculine/general you,high
290,ma bdak,ma baddak,ما بدك,you don't want,daily_phrases,phrase,negation,masculine/general you,high
291,ma bedak,ma baddak,ما بدك,you don't want,daily_phrases,phrase,negation,masculine/general you,high
292,ra7,ra7,رح,will / going to,verbs,particle,conjugated_form,future marker,high
293,rah,ra7,رح,will / going to,verbs,particle,conjugated_form,future marker,high
294,raha,ra7,رح,will / going to,verbs,particle,conjugated_form,future marker,high
295,ra7a,ra7,رح,will / going to,verbs,particle,conjugated_form,future marker,high
296,7a,ra7,رح,will / going to,verbs,particle,conjugated_form,future marker,high
297,fini,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
298,feeni,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
299,fene,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
300,fine,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
301,fiyye,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
302,fiyyi,fini,فيني,I can,verbs,phrase,base_word,ability expression,high
303,ma fini,ma fini,ما فيني,I can't,daily_phrases,phrase,negation,ability negative,high
304,ma feeni,ma fini,ما فيني,I can't,daily_phrases,phrase,negation,ability negative,high
305,ma fene,ma fini,ما فيني,I can't,daily_phrases,phrase,negation,ability negative,high
306,ma fine,ma fini,ما فيني,I can't,daily_phrases,phrase,negation,ability negative,high
307,ma fiyye,ma fini,ما فيني,I can't,daily_phrases,phrase,negation,ability negative,high
308,lezim,lezim,لازم,must / should,daily_phrases,particle,base_word,necessity word,high
309,lazem,lezim,لازم,must / should,daily_phrases,particle,base_word,necessity word,high
310,lezem,lezim,لازم,must / should,daily_phrases,particle,base_word,necessity word,high
311,lazim,lezim,لازم,must / should,daily_phrases,particle,base_word,necessity word,high
312,mish lezim,mish lezim,مش لازم,not necessary / shouldn't,daily_phrases,phrase,negation,necessity negative,high
313,mesh lezim,mish lezim,مش لازم,not necessary / shouldn't,daily_phrases,phrase,negation,necessity negative,high
314,msh lezim,mish lezim,مش لازم,not necessary / shouldn't,daily_phrases,phrase,negation,necessity negative,high
315,mesh lazim,mish lezim,مش لازم,not necessary / shouldn't,daily_phrases,phrase,negation,necessity negative,high
316,mch lezem,mish lezim,مش لازم,not necessary / shouldn't,daily_phrases,phrase,negation,necessity negative,high
317,rouh,rouh,روح,go,verbs,verb,base_word,imperative or base concept,high
318,roo7,rouh,روح,go,verbs,verb,base_word,imperative or base concept,high
319,rooh,rouh,روح,go,verbs,verb,base_word,imperative or base concept,high
320,ru7,rouh,روح,go,verbs,verb,base_word,imperative or base concept,high
321,ro7,rouh,روح,go,verbs,verb,base_word,imperative or base concept,high
322,brooh,brooh,بروح,I go / I will go,verbs,verb,conjugated_form,first person present/future by context,high
323,broo7,brooh,بروح,I go / I will go,verbs,verb,conjugated_form,first person present/future by context,high
324,bru7,brooh,بروح,I go / I will go,verbs,verb,conjugated_form,first person present/future by context,high
325,bro7,brooh,بروح,I go / I will go,verbs,verb,conjugated_form,first person present/future by context,high
326,brouh,brooh,بروح,I go / I will go,verbs,verb,conjugated_form,first person present/future by context,high
327,btrooh,btrooh,بتروح,you go,verbs,verb,conjugated_form,masculine/general or she by context,high
328,btroo7,btrooh,بتروح,you go,verbs,verb,conjugated_form,masculine/general or she by context,high
329,btro7,btrooh,بتروح,you go,verbs,verb,conjugated_form,masculine/general or she by context,high
330,btru7,btrooh,بتروح,you go,verbs,verb,conjugated_form,masculine/general or she by context,high
331,btrow7,btrooh,بتروح,you go,verbs,verb,conjugated_form,masculine/general or she by context,high
