resolution_id,municipality_id,municipality_key,municipality_name_en,municipality_name_ar,district,governorate,electricity_entity_id,electricity_entity_name,edl_regional_center,fault_hotline,complaint_online,resolution_basis,confidence,source_ids,verification_status,retrieved_date,notes
EER-54579,54579,as_sulah,As Sulah,السهلة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54462,54462,ash_shuqduf,Ash Shuqduf,الشقدوف,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54210,54210,ayun_al_ghazlan,Ayun al-Ghazlan,عيون الغزلان,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53859,53859,ayyat,Ayyat,عيات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54426,54426,bani_sakhr,Bani Sakhr,بني صخر,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54525,54525,barbarah,Barbarah,بربارة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53535,53535,barkaayl,Barkaayl,برقايل,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53589,53589,bayno_qaboula,Bayno - Qaboula,بينو-قبولا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54633,54633,bayt_ayyub,Bayt Ayyub,بيت ايوب,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-63015,63015,bayt_mlat,Bayt Mlat,بيت ملات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53544,53544,bazal,Bazal,بزال,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53553,53553,bazbina,Bazbina,بزبينا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53508,53508,bebnine_al_abdeh,Bebnine - Al Abdeh,ببنين - العبده,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54048,54048,beit_el_hajj,Beit El Hajj,بيت الحاج,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54399,54399,beit_younes,Beit Younes,بيت يونس,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53562,53562,biqrazla,Biqrazla,بقرزلا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53526,53526,burj_al_arab,Burj Al Arab,برج العرب,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54264,54264,dahr_laysina,Dahr Laysina,ضهر ليسينة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54498,54498,dahr_al_qanbar,Dahr al Qanbar,ضهر القنبر,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53715,53715,deir_dalloum_and_zouk_al_maqasarin,Deir Dalloum and Zouk al-Maqasarin,دير دلوم وزوق المقشرين,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53706,53706,deir_janine,Deir Janine,دير جنين,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54219,54219,dura,Dura,دورة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54120,54120,dusa_and_baghdad,Dusa and Baghdad,دوسة وبغدادي,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54102,54102,dweir_adwiya,Dweir Adwiya,دوير عدويه,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54255,54255,eilat,Eilat,ايلات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53877,53877,fassikin_ain_ashma_and_ain_tenta,"Fassikin, Ain Ashma and Ain Tenta",فسيقين-عين اشما وعين تنتا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53886,53886,fnaideq,Fnaideq,فنيدق,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54516,54516,ghazilah,Ghazilah,غزيله,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53499,53499,halba,Halba,حلبا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54138,54138,harrar,Harrar,حرار,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54597,54597,haytla,Haytla,هيتلا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54291,54291,hayzouq,Hayzouq,حيزوق,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54489,54489,jarmnaya_and_ar_rama,Jarmnaya and Ar Rama,جرمنايا والرامة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53652,53652,jdeideh_al_juma,Jdeideh Al Juma,جديدة الجومة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53661,53661,jdeideh_al_qaytaa,Jdeideh Al Qaytaa,جديدة القيطع,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53643,53643,jebrayel,Jebrayel,جبرايل,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53922,53922,karm_aassfour_beit_ghattas_mazraat_al_naheriyeh,"Karm Aassfour, Beit Ghattas, Mazraat Al Naheriyeh",كرم عصفور - بيت غطاس - مزرعة النهرية,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54354,54354,kfarton,Kfarton,كفرتون,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54075,54075,kharba_shar,Kharba Shar,خربة شار,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54129,54129,kharbit_dawud,Kharbit Dawud,خربة داوود,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54561,54561,khat_al_petrol,Khat al Petrol,خط البترول,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53931,53931,kousha,Kousha,كوشا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54417,54417,kroom_arab,Kroom Arab,كروم عرب,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53949,53949,majdala,Majdala,مجدلا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54174,54174,mamna,Mamna,ممنع,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53940,53940,mar_touma,Mar Touma,مار توما,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53976,53976,mashha,Mashha,مشحا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53958,53958,mazraat_bleda,Mazraat Bleda,مزرعة بلدة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54003,54003,minyara,Minyara,منيارة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53985,53985,mishmish,Mishmish,مشمش,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54534,54534,munjaz,Munjaz,منجز,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54066,54066,mushta_hamoud,Mushta Hamoud,مشتى حمود,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54642,54642,nurah_al_fawqa_and_al_tahata,Nurah Al-Fawqa and Al-Tahata,نوره الفوقا والتحتا,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54327,54327,qaliyat,Qaliyat,قليعات,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-53895,53895,qoubbet_chamra_semqley,Qoubbet Chamra - Semqley,قبة شمرا - سمقلة,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54147,54147,qubayyat,Qubayyat,قبعيت,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
EER-54372,54372,quneya,Quneya,قنية,Aakkar,Aakkar,EDL,Électricité du Liban,EDL-NORTH,1444; 06-210001 (Tripoli regional),http://www.edl.gov.lb/,edl_geographic_concession,high,SRC-EDL-HOME-HTTP,rule_based,2026-05-31,
