research_rank,priority_score,municipality_id,name_en,name_ar,governorate_en,district_en,coverage_status,verified_channel_types,registry_website,registry_phone,townhall_website,townhall_email,townhall_phone,official_website_status,complaint_form_status,next_action
11,182,50415,Al Jadeeda - Al Boushriyeh - Al Sadd,الجديدة-البوشرية-السد,Mount Lebanon,Matn,needs_official_channel_discovery,,,,,,,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
12,182,50631,Sin el Fil,سن الفيل,Mount Lebanon,Matn,has_verified_contact_and_complaint_channel,complaint_email;official_email;official_website,,,,,(01)511130,found_t1_discovery,not_found,verify freshness and join municipality_id to official channel rows
13,182,56820,Bint Jbeil,بنت جبيل,Nabatiye,Bint Jbeil,has_verified_contact_missing_complaint_channel,official_email;official_fax;official_phone;official_website,,,,,(07)450455    (03)984466,found_t1_discovery,not_found,search official complaint form or workflow; keep contact as verified fallback
14,182,57144,Nabatieh,النبطية,Nabatiye,Nabatiyeh,has_verified_contact_missing_complaint_channel,generic_contact_only;official_email;official_website,,,,,,found_t1_discovery,not_found,search official complaint form or workflow; keep contact as verified fallback
15,182,52494,Al Batroun,البترون,North,Batroun,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
16,182,57504,Sour,صور,South,Sour,needs_official_channel_discovery,,,,,,(07)740017   (07)742411   (03)238801,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
17,171,48015,Baabda and Louaize,بعبدا - اللويزة,Mount Lebanon,بعبدا,has_verified_contact_missing_complaint_channel,official_address;official_phone;official_website,,,,,+9615920573,not_found,needs_review,search official complaint form or workflow; keep contact as verified fallback
18,165,52089,Jbeil,جبيل,Mount Lebanon,Byblos,needs_official_channel_discovery,,,,,,(09)546888,found_t1_discovery,needs_review,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
19,162,55929,Talabayya,تعلبايا,Beqaa,Zahle,needs_official_channel_discovery,,,,,,+9618505915;+9618505916;+9618505917,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
20,162,56001,Chatura,شتوره,Beqaa,Zahle,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
21,162,53418,Kousba,كوسبا,North,Koura,needs_official_channel_discovery,,,,,,6511555.0,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
22,162,52878,Zgharta-Ehden,زغرتا-اهدن,North,Zgharta,needs_official_channel_discovery,,,,http://www.zgharta.gov.lb/,letters@zgharta.gov.lb,+9616660248;+9616660249,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
23,162,58764,Jezzine - Ain Majdeline,جزين - عين مجدلين,South,Jezzine,needs_official_channel_discovery,,,,,,3631638.0,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
24,93,63052,,حوبش,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
25,93,53697,Khreibet ej Jindi,خريبة الجندي,Aakkar,عكار,needs_official_channel_discovery,,,,,,6690533.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
26,93,53967,,مشتى حسن,Aakkar,عكار,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
27,93,56496,,الطيبه,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
28,93,56577,Blida,بليدا,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3284009.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
29,93,56604,Beni Haiyane,بني حيان,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3343195.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
30,93,56586,Touline,تولين,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3414033.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
31,93,56460,Houla,حولا,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,(03)628186,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
32,93,56622,Deir Siriane,دير سريان,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3361434.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
33,93,56595,,رب ثلاثين,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
34,93,56649,,صوانه,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
35,93,56631,Tallouse,طلوسه,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3581011.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
36,93,56658,,عدشيت,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
37,93,56505,,عديسه,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
38,93,56514,Qabrikha,قبريخا,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,(03)332263,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
39,93,56640,Qantara,قنطره,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,3210212.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
40,93,56541,Majdel Silim,مجدل سلم,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,70669152.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
41,93,56568,Markaba,مركبا,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,(03)206378,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
42,93,56550,Meiss ej Jabal,ميس الجبل,Nabatiye,مرجعيون,needs_official_channel_discovery,,,,,,(03)926863,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
43,87,54435,Ad Daghlah,الدغلة,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,3150154.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
44,87,53868,Aidmoon-Shekhlar,عيدمون-شيخلار,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
45,87,54057,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,6805661.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
46,87,54084,Ain al-Zayt,عين الزيت,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
47,87,54111,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,6360217.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
48,87,53841,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,(06)885057,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
49,87,54381,Akroum,اكروم,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
50,87,53832,Al Aboudiyeh,العبودية,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,6815190.0,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
