registry_id,municipality_id,source_basis,name_en,name_ar,governorate_en,district_en,water_establishment_id,water_establishment_name,water_confidence,water_notes,electricity_entity_id,electricity_entity_name,electricity_confidence,electricity_notes,fixed_telecom_entity_id,fixed_telecom_entity_name,telecom_notes,local_road_entity_id,national_road_entity_id,road_notes,last_built
MUN-DGLAC-54030,54030,dglac_official_directory,Al Kweikhat,الكويخات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54444,54444,dglac_official_directory,Al Majdal,المجدل,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53994,53994,dglac_official_directory,Al Maqybleh,المقيبلة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53913,53913,dglac_official_directory,Al Qariyat,القريات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53904,53904,dglac_official_directory,Al Qobeiyat,القبيات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54480,54480,dglac_official_directory,Al Qurnah,القرنة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53634,53634,dglac_official_directory,Al Talil,التليل,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54318,54318,dglac_official_directory,Al-Ayoun,العيون,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54183,54183,dglac_official_directory,Al-Dabbabiya,الدبابية,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54165,54165,dglac_official_directory,Al-Kwashra,الكواشرة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54201,54201,dglac_official_directory,Al-Mahmara,المحمرة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54345,54345,dglac_official_directory,Al-Maqeeta,المقيطع,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54363,54363,dglac_official_directory,Al-Mounasseh,المونسة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54246,54246,dglac_official_directory,Al-Qantara,القنطرة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54192,54192,dglac_official_directory,Al-Qarqaf,القرقف,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54300,54300,dglac_official_directory,Al-Rihaneya,الريحانية,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54624,54624,dglac_official_directory,Al-Sheikh Ayyash,الشيخ عياش,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54408,54408,dglac_official_directory,Ammar Al-Beykat,عمار البيكات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54012,54012,dglac_official_directory,An Nafiseh,النفيسة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54021,54021,dglac_official_directory,An Naheriyah and Bestan Al Harsh,النهرية وبستان الحرش,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53850,53850,dglac_official_directory,Andqet,عندقت,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54390,54390,dglac_official_directory,Arqa,عرقا,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54579,54579,dglac_official_directory,As Sulah,السهلة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54462,54462,dglac_official_directory,Ash Shuqduf,الشقدوف,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54210,54210,dglac_official_directory,Ayun al-Ghazlan,عيون الغزلان,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53859,53859,dglac_official_directory,Ayyat,عيات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54426,54426,dglac_official_directory,Bani Sakhr,بني صخر,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54525,54525,dglac_official_directory,Barbarah,بربارة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53535,53535,dglac_official_directory,Barkaayl,برقايل,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53589,53589,dglac_official_directory,Bayno - Qaboula,بينو-قبولا,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54633,54633,dglac_official_directory,Bayt Ayyub,بيت ايوب,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-63015,63015,dglac_official_directory,Bayt Mlat,بيت ملات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53544,53544,dglac_official_directory,Bazal,بزال,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53553,53553,dglac_official_directory,Bazbina,بزبينا,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53508,53508,dglac_official_directory,Bebnine - Al Abdeh,ببنين - العبده,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54048,54048,dglac_official_directory,Beit El Hajj,بيت الحاج,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54399,54399,dglac_official_directory,Beit Younes,بيت يونس,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53562,53562,dglac_official_directory,Biqrazla,بقرزلا,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53526,53526,dglac_official_directory,Burj Al Arab,برج العرب,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
