source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-MOUKHTARA-SERVICES,Moukhtara Municipality services page,Municipality of Moukhtara,official_municipality_site,https://moukhtara.gov.lb/services/,T0_official,Moukhtara services page and complaint or review link,Use for official service listing and the complaint or review page link.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-MOUKHTARA-COMPLAINT,Moukhtara Municipality complaint or review page,Municipality of Moukhtara,official_municipality_site,https://moukhtara.gov.lb/complaint-or-review/,T0_official,Moukhtara complaint or review page existence,Use for verified complaint or review page existence only. No public field list was visible in static fetch.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-FAYHAA-HOME,Al Fayhaa Union of Municipalities home,Al Fayhaa Union of Municipalities,official_municipal_union_site,https://urbcomfayhaa.gov.lb/en/home/,T0_official,Fayhaa union contact and member-municipality evidence,Use for union-level routing and contact channels.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-FAYHAA-COMPLAINTS,Al Fayhaa Union send complaints,Al Fayhaa Union of Municipalities,official_complaint_form,https://urbcomfayhaa.gov.lb/en/send-complaints/,T0_official,Fayhaa union complaint workflow and fields,Use for union complaint fields including municipality selector and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-FAYHAA-SUGGESTIONS,Al Fayhaa Union send suggestions,Al Fayhaa Union of Municipalities,official_suggestion_form,https://urbcomfayhaa.gov.lb/en/send-suggestions/,T0_official,Fayhaa union suggestion workflow and fields,Use for union suggestion fields including municipality selector and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-UOTM-HOME,Union of Tyre Municipalities home,Union of Tyre Municipalities,official_municipal_union_site,https://uotm.gov.lb/en/home/,T0_official,UOTM contact and member-municipality evidence,Use for union-level routing and contact channels.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-UOTM-COMPLAINTS-AR,Union of Tyre Municipalities complaint page,Union of Tyre Municipalities,official_complaint_form,https://uotm.gov.lb/send-complaint-ar/,T0_official,UOTM Arabic complaint workflow and fields,Use for Union of Tyre complaint form fields and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-UOTM-SUGGESTIONS,Union of Tyre Municipalities suggestion page,Union of Tyre Municipalities,official_suggestion_form,https://uotm.gov.lb/en/send-suggestions/,T0_official,UOTM suggestion workflow and fields,Use for Union of Tyre suggestion form fields and review or reply wording.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BEIRUT-FACEBOOK,Beirut Municipality Facebook candidate,Municipality of Beirut,official_social_candidate,https://www.facebook.com/beirutmunicipality/?locale=ar_AR,T1_likely_official,Beirut public social contact candidate,Use as candidate evidence only until official cross-link or page metadata is confirmed.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BEIRUT-APP-CANDIDATE,Beirut Municipality app candidate,Municipality of Beirut,official_app_candidate,https://foo-baladiyetbeirut.andro.io/,T2_candidate,Beirut complaint or suggestion app candidate,Requires official verification before use as production channel.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-TABARJA-MUNICIPALITIES,Tabarja-Kfaryassine Lebanon municipalities directory,Municipality of Tabarja-Kfaryassine,municipality_hosted_directory,https://tabarja-kfaryassine.gov.lb/municipalities-in-lebanon,T2_candidate,Countrywide municipality phone address and coordinate candidate directory,Use as candidate discovery input only; do not treat as official proof for other municipalities.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BALDATI-LANDING,Baldati smart municipality landing,Baldati,third_party_platform,https://baldati.app/,T2_candidate,Countrywide civic issue reporting platform candidate,App/API/manual review required before using as official municipality workflow.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BALADIMAP-HOME,Baladi Map home,Baladi Map,third_party_platform,https://www.baladimap.com/en,T1_verified_third_party,Third-party issue reporting and status/category taxonomy,Not an official municipality complaint channel; use for civic-reporting fallback analysis only.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-NACC-COMPLAINT,National Anti-Corruption Commission complaint form,National Anti-Corruption Commission,official_specialized_complaint_form,https://nacc.gov.lb/complaint/,T0_official,Specialized corruption or access-to-information complaints involving administrations,Do not route routine municipal service defects here; use only for specialized oversight cases.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ALEY-HOME,Municipality of Aley website,Municipality of Aley,official_municipality_site,https://aley.gov.lb/,T0_official,Aley official website evidence,Use for Aley official website and navigation evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ALEY-CONTACT,Municipality of Aley contact page,Municipality of Aley,official_municipality_site,https://aley.gov.lb/ar/contact,T0_official,Aley official contact evidence,Use for Aley official contact details from the contact page.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ALEY-COMPLAINT,Municipality of Aley complaint endpoint,Municipality of Aley,official_complaint_form,https://aley.gov.lb/ar/complaints,T1_official_candidate,Aley complaint endpoint existence,Endpoint exists but bot verification blocks field-level review; keep workflow guarded.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-NABATIEH-HOME,Nabatieh Municipality website,Nabatieh Municipality,official_municipality_site,https://nabatieh.gov.lb/,T0_official,Nabatieh official website email and contact evidence,Use for Nabatieh official website email phone and generic contact details.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ZOUKMIKAEL-HOME,Zouk Mikael Municipality website,Zouk Mikael Municipality,official_municipality_site,https://zoukmikael.gov.lb/,T0_official,Zouk Mikael official website and app evidence,Use for Zouk Mikael official website and mobile app surface evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-ZOUKMIKAEL-CONTACT,Zouk Mikael Municipality contact page,Zouk Mikael Municipality,official_municipality_site,https://zoukmikael.gov.lb/contact-us/,T0_official,Zouk Mikael official contact evidence,Use for Zouk Mikael generic contact page details.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BAALBEK-CONTACT,Baalbeck Municipality contact page,Baalbeck Municipality,official_municipality_site,https://baalbeck-municipality.org/contact/,T0_official,Baalbek official contact form evidence,Use for Baalbek official website and contact form fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BOURJ-HAMMOUD-CONTACT,Bourj Hammoud Municipality contact page,Bourj Hammoud Municipality,official_municipality_site,https://bourjhammoud.gov.lb/?q=ar/contact,T0_official,Bourj Hammoud contact and complaint/comment form evidence,Use for Bourj Hammoud official phone email address and public feedback/complaint form.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-JOUNIEH-HOME,Jounieh Municipality website under-construction page,Jounieh Municipality,official_municipality_site,https://www.jounieh.gov.lb/,T0_official,Jounieh official contact and social evidence,Use for Jounieh official website under-construction page phone and social links.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BINTJBEIL-HOME,Bint Jbeil Municipality website,Bint Jbeil Municipality,official_municipality_site,https://bintjbeil.gov.lb/,T0_official,Bint Jbeil official contact evidence,Use for Bint Jbeil official website phone fax and mayor email.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-DEKWANEH-CONTACT,Dekwaneh Municipality contact page,Dekwaneh Municipality,official_municipality_site,https://dekwanehmunicipality.gov.lb/contact.php,T0_official,Dekwaneh official contact and complaint/suggestion form evidence,Use for Dekwaneh official website phone email address and contact form fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-DEKWANEH-SERVICES,Dekwaneh Municipality services page,Dekwaneh Municipality,official_municipality_site,https://dekwanehmunicipality.gov.lb/services.php,T0_official,Dekwaneh municipal service scope evidence,Use for Dekwaneh municipal service categories including infrastructure roads and water complaints.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-SINELFIL-HOME,Sin el Fil Municipality website,Sin el Fil Municipality,official_municipality_site,https://sinelfil.gov.lb/,T0_official,Sin el Fil official website and email evidence,Use for Sin el Fil official website and official email evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-SINELFIL-COMPLAINTS,Sin el Fil Municipality complaints and suggestions page,Sin el Fil Municipality,official_municipality_site,https://sinelfil.gov.lb/index.php/شكاوى-وإقتراحات,T0_official,Sin el Fil complaint and suggestion email workflow evidence,Use for Sin el Fil complaint/suggestion intake by official email.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
SRC-BAABDA-LOUAIZEH-HOME,Baabda-Louaizeh Municipality coming-soon page,Baabda-Louaizeh Municipality,official_municipality_site,https://baabda-louaizeh.gov.lb/,T0_official,Baabda-Louaizeh official website phone and address evidence,Use for Baabda-Louaizeh contact-only official website phone and address. No complaint workflow was visible.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001...SRC-041+). Do not merge IDs.
