term_id,arabic_script,english_gloss,category,subcategory,token_type,canonical_arabizi,v9_entry_granularity,v9_standalone_individual_term,v9_component_tokens_pipe,v9_safe_individual_variants_pipe,v9_context_or_phrase_variants_pipe,v9_operational_variants_pipe,v9_operational_variant_count,v9_positive_context_pipe,v9_negative_context_pipe,v9_merge_target,v9_eval_bucket,v9_required_reviewer_count,v9_min_examples_before_promotion,v9_native_review_required,v9_second_review_required,v9_direct_use_now,v9_core_promotion_now,v9_notes,v8_safe_unique_variants_pipe,v8_context_only_variants_pipe,v8_all_operational_variants_pipe,v8_safe_unique_count,v8_context_only_count,v8_reliability_score,v8_trust_class,v8_operational_use,v8_direct_match_allowed_now,v8_normalization_allowed_now,v8_oov_suppression_allowed_now,v8_routing_allowed_now,v8_severity_allowed_now,v8_required_positive_context_pipe,v8_blocking_negative_context_pipe,v8_min_evidence_examples_before_promotion,v8_required_reviewer_count,v8_required_gates_pipe,v8_merge_target,v8_oov_action,v8_eval_required,v8_eval_bucket,source_basis,source_urls,review_status,reviewer_id,second_reviewer_required,must_not_auto_promote,lineage,v8_policy_note,created_at_utc
ARZ-V9-00011,long vowel,ee,internet_notation,long e/i,notation_rule,ee,notation_rule,FALSE,,,ee|ii,ee|ii,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ee|ii,ee|ii,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00012,long vowel,ou,internet_notation,long o/u,notation_rule,ou,notation_rule,FALSE,,,ou|oo,ou|oo,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ou|oo,ou|oo,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00013,ب,in/with prefix,internet_notation,prefix_rule,notation_rule,b,notation_rule,FALSE,,,b|bi,b|bi,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,b|bi,b|bi,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00014,ال,definite article,internet_notation,prefix_rule,notation_rule,l,notation_rule,FALSE,,,l|el|al|il,l|el|al|il,4,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,l|el|al|il,l|el|al|il,0,4,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00015,ل,to/for prefix,internet_notation,prefix_rule,notation_rule,l,notation_rule,FALSE,,,l|la,l|la,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,l|la,l|la,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00016,و,and prefix,internet_notation,prefix_rule,notation_rule,w,notation_rule,FALSE,,,w|wa,w|wa,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,w|wa,w|wa,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00017,ش,sh,internet_notation,shin,notation_rule,sh,notation_rule,FALSE,,,sh|ch,sh|ch,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,sh|ch,sh|ch,0,2,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00018,ما فيي,I cannot,protected_combo,ability_negation,protected_phrase,ma fiye,protected_phrase,FALSE,ma|fiye|fiyye|fiyi,,ma fiye|ma fiyye|ma fiyi,ma fiye|ma fiyye|ma fiyi,3,exact_phrase_or_semantic_equivalent,split_without_context,arabizi_protected_combos,phrase_context_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ma fiye|ma fiyye|ma fiyi,ma fiye|ma fiyye|ma fiyi,0,3,0.75,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,exact_phrase_or_semantic_equivalent,split_only_without_context,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_protected_combos,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00019,على السطح,on roof,protected_combo,building_location,protected_phrase,3al sate7,protected_phrase,FALSE,3al|sate7|sa7et,,3al sate7|3al sa7et,3al sate7|3al sa7et,2,exact_phrase_or_semantic_equivalent,split_without_context,arabizi_protected_combos,phrase_context_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,3al sate7|3al sa7et,3al sate7|3al sa7et,0,2,0.75,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,exact_phrase_or_semantic_equivalent,split_only_without_context,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_protected_combos,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00020,تحت البناية,under building,protected_combo,building_location,protected_phrase,ta7t l bineye,protected_phrase,FALSE,ta7t|l|bineye|taht,,ta7t l bineye|taht l bineye,ta7t l bineye|taht l bineye,2,exact_phrase_or_semantic_equivalent,split_without_context,arabizi_protected_combos,phrase_context_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ta7t l bineye|taht l bineye,ta7t l bineye|taht l bineye,0,2,0.75,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,exact_phrase_or_semantic_equivalent,split_only_without_context,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_protected_combos,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00021,بعدها موجودة,still exists feminine,protected_combo,complaint_status,single_word,ba3da mawjoude,protected_phrase,FALSE,ba3da|mawjoude,,ba3da mawjoude,ba3da mawjoude,1,exact_phrase_or_semantic_equivalent,split_without_context,arabizi_protected_combos,phrase_context_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ba3da mawjoude,ba3da mawjoude,0,1,0.86,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,exact_phrase_or_semantic_equivalent,split_only_without_context,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_protected_combos,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:Lebanese native review still required before production promotion,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,v8_high_confidence_addition,Added in v8 with production permissions locked false until gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00022,بعدو موجود,still exists masculine,protected_combo,complaint_status,single_word,ba3do mawjoud,protected_phrase,FALSE,ba3do|mawjoud,,ba3do mawjoud,ba3do mawjoud,1,exact_phrase_or_semantic_equivalent,split_without_context,arabizi_protected_combos,phrase_context_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ba3do mawjoud,ba3do mawjoud,0,1,0.86,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,exact_phrase_or_semantic_equivalent,split_only_without_context,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_protected_combos,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:Lebanese native review still required before production promotion,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,v8_high_confidence_addition,Added in v8 with production permissions locked false until gates pass.,2026-05-20T14:08:40Z
