context_id,entity_id,topic,fact,operational_implication,source_ids,confidence,notes
WCTX-013,BMLWE,technical_coordination_context,"UNICEF states it offered technical support and ad-hoc coordination in collaboration with BMLWE.","Use as partner-support context, not as a direct complaint channel.",SRC-UNICEF-WASH-PROGRAMME,medium_high,No citizen-facing UNICEF routing.
WCTX-014,ALL,emergency_damage_context,"UNICEF's 2024 emergency release says water facilities were damaged and water supply was affected for more than 360,000 people, primarily in the south, during the escalation.","In conflict/damage contexts, water outage routing should allow emergency/HITL handling and avoid routine SLA assumptions.",SRC-UNICEF-WE-EMERGENCY-2024,high,Context may become stale; refresh if using for real-time response.
WCTX-015,ALL,emergency_repair_capacity,"UNICEF states supplies were handed to MEW to strengthen Water Establishments' capacity for rapid emergency repairs during the emergency.","Use as evidence that MEW can coordinate emergency support while WEs remain operational implementers.",SRC-UNICEF-WE-EMERGENCY-2024,medium_high,Not a public intake process.
WCTX-016,ALL,emergency_response_materials,"UNICEF emergency response reporting cites support to Water Establishments with repairs, fuel, pumps, chlorine, generators, and pipes during hostilities.","Emergency water complaints may involve damaged facilities and supply-chain constraints; route to WE plus HITL where safety or displacement context exists.",SRC-UNICEF-EMERGENCY-RESPONSE-2024,medium_high,Refresh before using as current situation.
WCTX-017,ALL,water_establishments_repairs,"UNICEF's 2021 story says the four Water Establishments, with UNICEF/EU support, repaired leaking pipes and connected some homes to mains water.","Confirms WEs are the correct public-network repair actors; private internal plumbing remains out of scope.",SRC-UNICEF-WE-EMPOWERED-2021,medium_high,Background example; not current hotline data.
WCTX-018,BWE,bwe_rapid_response_example,"UNICEF's 2021 story describes BWE coordination for rapid response to calls for improvements in the Zahle area and examples of new water-pipe connections.","Use as BWE operational-background evidence for public network leaks/connections, not as current SLA.",SRC-UNICEF-WE-EMPOWERED-2021,medium_high,Story-level institutional evidence.
WCTX-019,ALL,solar_and_rehabilitation_support,"UNICEF's 2025 release says AFD, UNICEF, EU, and MEW support enabled Water Establishments to continue pumping and distributing water to over 1.5 million people.","Use for resilience and power-dependency context; do not infer household-level availability.",SRC-UNICEF-SOLAR-WE-2025,high,Institutional support evidence.
WCTX-020,ALL,solarization_scope,"UNICEF reports solarization of 14 water stations, rehabilitation of eight water stations and one water channel, expansion of six gravity-fed networks, and installation of three new water systems.","Solar/power context can explain why electricity and water complaints overlap, but WE routing remains location/entity based.",SRC-UNICEF-SOLAR-WE-2025,high,Programme-level scope; not an operations dispatch list.
WCTX-021,ALL,afd_reform_support,"AFD's 2025 evaluation summary says its technical assistance programme supports priority water and sanitation reforms, capacity-building for RWEs, project maturation, and institutional dialogue with MEW.","Use as trusted reform context for why source refresh and governance fields matter.",SRC-AFD-CLB1105-EVAL-2025,medium_high,Evaluation summary is sector-level rather than citizen-facing.
WCTX-022,ALL,rwe_capacity_and_operational_efficiency,"AFD describes its programme as targeting legislative framework, institutional capacity, and operational efficiency for MEW and the RWEs.","Use for long-term institutional context; do not alter routing by itself.",SRC-AFD-CLB1105-EVAL-2025,medium_high,No direct complaint channel.
WCTX-023,ALL,oxfam_we_support,"Oxfam says its support since 2015 focused chiefly on BWE but also targeted SLWE, NLWE, and BMLWE through infrastructure rehabilitation, technical staff secondment, and capacity development.","Use as external-support context when explaining why BWE and other WEs may have solarization/capacity-support footprints.",SRC-OXFAM-WE-SUPPORT-EVAL-2025,medium,Oxfam is trusted institutional evidence but not official authority.
WCTX-024,BWE,oxfam_bwe_focus,"Oxfam identifies BWE as the chief focus of its Water Establishments support over the past decade.","Use for BWE resilience context; do not route BWE complaints to Oxfam.",SRC-OXFAM-WE-SUPPORT-EVAL-2025,medium,Evaluation context only.
WCTX-025,ALL,conflict_damage_assessment,"The World Bank RDNA covers the 2023-2024 conflict impacts across ten sectors, including water, wastewater, and irrigation, for damage losses and recovery needs.","Use for emergency/conflict context and reconstruction sensitivity in affected areas.",SRC-WB-RDNA-2025,high,Not a live damage map.
WCTX-026,ALL,wash_sector_monitoring,"The UNHCR Operational Data Portal hosts the Lebanon Response Plan WaSH Sector Dashboard for end-year 2025 covering Lebanon, North Lebanon, Beirut, South Lebanon, Bekaa, and Mount Lebanon.","Use as a trusted pointer for future humanitarian WASH metrics refresh.",SRC-UNHCR-WASH-DASHBOARD-EOY2025,medium_high,Dashboard is sector monitoring; not per-entity complaint policy.
