contact_id,entity_id,contact_name,contact_kind,governorate,district_or_area,municipality_or_scope,phone,email,url,address,working_hours,source_ids,confidence,notes
NLWE-KOURA,NLWE,Koura branch,branch,North,Koura,Koura area,06-651012,,https://eeln.gov.lb/en/contact/,Amyoun - Main Road - opposite Bank Audi - George Nassif Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-ZGHARTA,NLWE,Zgharta branch,branch,North,Zgharta,Zgharta and Ehden area,06-660347,,https://eeln.gov.lb/en/contact/,Zgharta - Main Road - Al-Saray Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
NLWE-BSHARRI,NLWE,Bsharri branch,branch,North,Bsharri,Bsharri area,06-672260,,https://eeln.gov.lb/en/contact/,Bsharri - Main Road - Mar Chaaya Street - Najib Jabour Building,,SRC-NLWE-CONTACT,high,Branch listed on official contact page.
SLWE-HOTLINE,SLWE,SLWE customer-service hotline,hotline,South;Nabatieh,all,all,1785,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT;SRC-SLWE-CUSTOMER-SERVICE,high,Official pages say faults or problems should be reported immediately to 1785.
SLWE-SAIDA,SLWE,Saida water department,distribution_office,South,Saida,Saida area,07-757000,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-ZAHRANI,SLWE,Zahrani water department,distribution_office,South,Zahrani,Zahrani area,07-420206,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-JEZZINE,SLWE,Jezzine water department,distribution_office,South,Jezzine,Jezzine area,07-781725,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-NABATIEH,SLWE,Nabatieh water department,distribution_office,Nabatieh,Nabatieh,Nabatieh area,07-530018,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-BINT-JBEIL,SLWE,Bint Jbeil water department,distribution_office,Nabatieh,Bint Jbeil,Bint Jbeil area,07-450006,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-MARJAYOUN-HASBAYA,SLWE,Marjayoun Hasbaya water department,distribution_office,Nabatieh,Marjayoun;Hasbaya,Marjayoun and Hasbaya area,07-830016,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
SLWE-TYRE,SLWE,Tyre water department,distribution_office,South,Tyre,Tyre and Sour area,07-740196,,https://www.slwe.gov.lb/contact.php?lang=ar,,,SRC-SLWE-CONTACT,high,Distribution phone listed on official contact page.
BWE-INVOICE-HOTLINE,BWE,BWE invoice inquiry line,hotline,Bekaa;Baalbek-Hermel,all,all,1781,,https://bwe.gov.lb/en/customer-services/,,,SRC-BWE-CUSTOMER-SERVICE,high,Official customer-service page says invoice inquiries use 1781.
BWE-MAIN-OFFICE,BWE,BWE main office,head_office,Bekaa,Zahle,central,08-814500,info@bwe.gov.lb,https://bwe.gov.lb/en/contact/,Zahle Highway - Abed Deyem Building - Floors 3 and 4,Mon-Thu_08:00-14:00;Fri_08:00-11:00,SRC-BWE-CONTACT,high,Official contact page main office.
BWE-ZAHLE-BRANCH,BWE,Zahle branch,branch,Bekaa,Zahle,Zahle area,08-820236,,https://bwe.gov.lb/en/contact/,T Berdawni - Zahle - behind Kadri Hotel,,SRC-BWE-CONTACT,high,Branch listed on official contact page.
BWE-BAALBEK-BRANCH,BWE,Baalbek branch,branch,Baalbek-Hermel,Baalbek,Baalbek area,08-370335,,https://bwe.gov.lb/en/contact/,Al Assira - Baalbek,,SRC-BWE-CONTACT,high,Branch listed on official contact page.
BWE-STATIONS-YOYO,BWE,Stations YOYO,station_contact,Bekaa,Zahle,stations near head office,08-811389,,https://bwe.gov.lb/en/contact/,Zahle - near head office,,SRC-BWE-CONTACT,high,Station contact listed on official contact page.
BWE-SOUTH-BEKAA,BWE,South Bekaa branch,branch,Bekaa,Western Bekaa,South Bekaa and Joub Jannine area,08-663414,,https://bwe.gov.lb/en/contact/,Joub Jannine - near public market,,SRC-BWE-CONTACT,high,Branch listed on official contact page.
LRA-MAIN,LRA,Litani River Authority head office,boundary_authority,national,Litani basin,Litani irrigation and river-basin boundary,01-662112-16;01-660476,protected_email_visible_on_official_page,https://www.litani.gov.lb/en-us/contact,Bchara El Khoury - Beirut - Lebanon,,SRC-LRA-CONTACT;SRC-LRA-ORGANIGRAM,high,Related authority for irrigation and river-basin boundary cases. Email is protected by Cloudflare and not stored as plain text.
LRA-ELECTRICITY-BIR-HASSAN,LRA,LRA electricity production Bir Hassan office,technical_office,Beirut,Beirut,Bir Hassan,01-834816;01-825431,,https://www.litani.gov.lb/en-us/contact,Bir Hassan,,SRC-LRA-CONTACT,high,Official contact page lists electricity production phone numbers.
LRA-ELECTRICITY-AWALI,LRA,LRA Al Ouali factory,technical_office,South,Awali,Al Ouali factory,07-810297,,https://www.litani.gov.lb/en-us/contact,Al Ouali Factory,,SRC-LRA-CONTACT,high,Official contact page lists factory phone numbers.
LRA-ELECTRICITY-ABEDAAL,LRA,LRA Abedaal factory,technical_office,Bekaa,Litani basin,Abedaal factory,08-651236;08-650377;08-650511,,https://www.litani.gov.lb/en-us/contact,Abedaal Factory,,SRC-LRA-CONTACT,high,Official contact page lists factory phone numbers.
LRA-QARAOUN-DAM,LRA,LRA Qaraoun Dam office,technical_office,Bekaa,Qaraoun,Qaraoun Dam,08-651238;08-651239,,https://www.litani.gov.lb/en-us/contact,Qaraoun Dam,,SRC-LRA-CONTACT,high,Official contact page lists Qaraoun Dam office phone numbers.
LRA-QASIMIEH,LRA,LRA Al Qasimieh office,technical_office,South,Qasimiya,Al Qasimieh irrigation area,07-360636,,https://www.litani.gov.lb/en-us/contact,Al Qasimieh,,SRC-LRA-CONTACT,high,Important for SLWE/LRA irrigation boundary cases.
LRA-TYRE,LRA,LRA Tyre office,technical_office,South,Tyre,Tyre area,07-740956,,https://www.litani.gov.lb/en-us/contact,Tyre,,SRC-LRA-CONTACT,high,Official contact page lists Tyre office phone number.
LRA-LEBAA,LRA,LRA Lebaa office,technical_office,South;Nabatieh,Lebaa,Lebaa area,07-230198,,https://www.litani.gov.lb/en-us/contact,Lebaa,,SRC-LRA-CONTACT,high,Official contact page lists Lebaa office phone number.
LRA-ANSARIYYA,LRA,LRA Ansariyya office,technical_office,South,Ansariyya,Ansariyya area,07-391063,,https://www.litani.gov.lb/en-us/contact,Ansariyya,,SRC-LRA-CONTACT,high,Official contact page lists Ansariyya office phone number.
LRA-NABATIEH-TAHTA,LRA,LRA Nabatieh Tahta office,technical_office,Nabatieh,Nabatieh,Nabatieh Tahta area,07-760019,,https://www.litani.gov.lb/en-us/contact,Nabatieh Tahta,,SRC-LRA-CONTACT,high,Official contact page lists Nabatieh Tahta office phone number.
LRA-JOUN,LRA,LRA Joun office,technical_office,Mount Lebanon;South,Joun,Joun area,07-990480,,https://www.litani.gov.lb/en-us/contact,Joun,,SRC-LRA-CONTACT,high,Official contact page lists Joun office phone number.
LRA-RAS-AL-AIN,LRA,LRA Ras Al Ain office,technical_office,South,Ras Al Ain,Ras Al Ain irrigation area,07-395552,,https://www.litani.gov.lb/en-us/contact,Ras Al Ain,,SRC-LRA-CONTACT,high,Important for SLWE/LRA irrigation boundary cases.
LRA-QASIMIA-DAM,LRA,LRA Qasimia Dam office,technical_office,South,Qasimiya,Qasimia Dam,07-415472,,https://www.litani.gov.lb/en-us/contact,Qasimia Dam,,SRC-LRA-CONTACT,high,Important for SLWE/LRA irrigation boundary cases.
MEW-CONTACT,MEW,MEW ministry contact,policy_escalation,national,national,water policy or ministry-level escalation,01-565040;01-449639,minister@energyandwater.gov.lb,https://www.energyandwater.gov.lb/ar/contact,"Beirut, Fern el Shebak, Garius Center, Floors 9-11",,SRC-MEW-CONTACT;SRC-MOEW-DGO,high,Use only for ministry-level escalation or policy contact after operational water entity is identified.
