area_id,entity_id,branch_contact_id,branch_name,governorate,district_or_area,municipality_scope,phone,address,source_ids,confidence,notes
SLWE-AREA-ZAHRANI,SLWE,SLWE-ZAHRANI,Zahrani water department,South,Zahrani,Zahrani area,07-420206,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
SLWE-AREA-JEZZINE,SLWE,SLWE-JEZZINE,Jezzine water department,South,Jezzine,Jezzine area,07-781725,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
SLWE-AREA-NABATIEH,SLWE,SLWE-NABATIEH,Nabatieh water department,Nabatieh,Nabatieh,Nabatieh area,07-530018,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
SLWE-AREA-BINT-JBEIL,SLWE,SLWE-BINT-JBEIL,Bint Jbeil water department,Nabatieh,Bint Jbeil,Bint Jbeil area,07-450006,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
SLWE-AREA-MARJAYOUN-HASBAYA,SLWE,SLWE-MARJAYOUN-HASBAYA,Marjayoun Hasbaya water department,Nabatieh,Marjayoun;Hasbaya,Marjayoun and Hasbaya area,07-830016,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
SLWE-AREA-TYRE,SLWE,SLWE-TYRE,Tyre water department,South,Tyre,Tyre and Sour area,07-740196,,SRC-SLWE-CONTACT,high,Official distribution phone listed. Address not published on contact page.
BWE-AREA-ZAHLE,BWE,BWE-ZAHLE-BRANCH,Zahle branch,Bekaa,Zahle,Zahle area,08-820236,T Berdawni - Zahle - behind Kadri Hotel,SRC-BWE-CONTACT,high,Official branch listing.
BWE-AREA-BAALBEK,BWE,BWE-BAALBEK-BRANCH,Baalbek branch,Baalbek-Hermel,Baalbek,Baalbek area,08-370335,Al Assira - Baalbek,SRC-BWE-CONTACT,high,Official branch listing.
BWE-AREA-STATIONS-YOYO,BWE,BWE-STATIONS-YOYO,Stations YOYO,Bekaa,Zahle,stations near head office,08-811389,Zahle - near head office,SRC-BWE-CONTACT,high,Official station contact listing.
BWE-AREA-SOUTH-BEKAA,BWE,BWE-SOUTH-BEKAA,South Bekaa branch,Bekaa,Western Bekaa,South Bekaa and Joub Jannine area,08-663414,Joub Jannine - near public market,SRC-BWE-CONTACT,high,Official branch listing.
BWE-AREA-MAIN,BWE,BWE-MAIN-OFFICE,General administration main center,Bekaa,Zahle,central administration,08-800235;08-811388;08-814500,Zahle Highway - Abdel Dayem Building - Third and Fourth Floors,SRC-BWE-FAQ;SRC-BWE-CONTACT,high,FAQ lists additional main-center phone numbers for invoice inquiry context.
