channel_id,entity_id,complaint_type,channel_type,accepted,endpoint,required_fields,ticket_reference_policy,emergency_override,source_ids,confidence,notes
NLWE-SERVICE-WALKIN,NLWE,service_request,walk_in,yes,relevant_department_office,application_form_and_required_documents,not_applicable,not_for_emergencies,SRC-NLWE-SERVICE-REQUESTS;SRC-NLWE-CONTACT,high,Official service-request page says to visit an office to obtain application form and document details.
NLWE-ESERVICES,NLWE,bill_inquiry_and_payment,online_eservices,yes,https://eservices.eeln.gov.lb/Home1?language=en-US,subscription_or_bill_details_not_fully_published,not_applicable,not_for_complaints,SRC-NLWE-ESERVICES,high,Official e-services page exposes bill inquiry and bill payment.
NLWE-OMT-PAYMENT,NLWE,bill_payment,partner_agent,yes,OMT_locations,subscription_number;region;town,not_applicable,not_for_complaints,SRC-NLWE-OMT,medium_high,Partner page says NLWE dues can be settled through OMT locations.
SLWE-FAULT-1785,SLWE,faults_or_problems,phone,yes,1785,official_required_fields_not_published,public_ticket_number_not_published,call_125_or_112_if_life_safety,SRC-SLWE-CUSTOMER-SERVICE;SRC-SLWE-CONTACT,high,Official customer-service page says faults or problems should be reported immediately to hotline 1785.
SLWE-DISTRICT-PHONES,SLWE,district_followup,phone,yes,distribution_office_numbers,municipality_or_district_recommended,public_ticket_number_not_published,not_for_life_safety_emergency,SRC-SLWE-CONTACT,high,Official contact page lists distribution office numbers by district.
SLWE-BILL-INQUIRY,SLWE,bill_inquiry,online_bill_inquiry,yes,https://www.slwe.gov.lb/details.php?id=9&key=%D8%A7%D8%B3%D8%AA%D9%81%D8%B3%D8%A7%D8%B1-%D8%B9%D9%86-%D9%81%D8%A7%D8%AA%D9%88%D8%B1%D8%A9&lang=ar,subscription_details_not_visible_in_static_fetch,not_applicable,not_for_complaints,SRC-SLWE-BILLING,medium,Official billing page links subscribers to view invoices but the embedded image or link needs browser review.
SLWE-EPAYMENT,SLWE,bill_payment,online_payment,yes,https://slwe.gov.lb/payapi/enter_customer_no.php,customer_no;service_center,not_applicable,not_for_complaints,SRC-SLWE-EPAYMENT,high,Official payment entry page requires customer number and service center and shows 1785 plus info@slwe.gov.lb.
SLWE-VISIT-REGISTER,SLWE,customer_service_visit,online_registration,yes,https://www.slwe.gov.lb/register_visit.php,full_name;phone;customer_number;property_number;service_center,not_applicable,not_for_emergencies,SRC-SLWE-VISIT-REGISTER,high,Official subscriber visit-registration page exposes required fields.
SLWE-OMT-PAYMENT,SLWE,bill_payment,partner_agent,yes,OMT_locations,subscription_number_or_old_receipt,not_applicable,not_for_complaints,SRC-SLWE-OMT,medium_high,Partner page says SLWE subscribers can settle dues through OMT locations.
SLWE-WALKIN-DISTRICTS,SLWE,service_requests,walk_in,conditional,district_distribution_offices,official_required_fields_not_published,not_published,not_for_emergencies,SRC-SLWE-CONTACT;SRC-SLWE-CUSTOMER-SERVICE,medium,Official pages imply customer service and district offices but do not publish full form requirements in static text.
BWE-INVOICE-1781,BWE,invoice_inquiry,phone,yes,1781,district_or_subscriber_details_recommended,not_applicable,not_for_emergencies,SRC-BWE-CUSTOMER-SERVICE,high,Official customer-service page says invoice inquiries use 1781.
BWE-CONTACT-FORM,BWE,general_message,online_contact_form,yes,https://bwe.gov.lb/en/contact/,name;email;phone;message,response_reference_not_published,not_for_emergencies,SRC-BWE-CONTACT,high,Official contact page exposes a contact form with name email phone and message fields.
BWE-OFFICE-SERVICES,BWE,new_subscription_water_testing_repair_maintenance,walk_in,yes,relevant_office,official_required_fields_not_published,not_published,call_125_or_112_if_life_safety,SRC-BWE-CUSTOMER-SERVICE;SRC-BWE-CONTACT,high,Official customer-service page says offices handle new subscription water testing repair and maintenance requests.
BWE-BRANCH-PHONES,BWE,branch_followup,phone,yes,branch_phone_numbers,district_or_branch_recommended,not_published,not_for_life_safety_emergency,SRC-BWE-CONTACT;SRC-BWE-FAQ,high,Official contact and FAQ pages list branch phone numbers.
BWE-WATER-QUALITY,BWE,water_quality_concern,office_or_branch,yes,relevant_office_or_branch,water_source_location_and_sample_context_recommended,not_published,call_125_or_112_if_immediate_public_health_emergency,SRC-BWE-WATER-QUALITY;SRC-BWE-CUSTOMER-SERVICE,medium_high,Official pages document water-quality laboratories and customer-service offices but do not publish a separate water-quality complaint form.
BWE-CUTOFF-INFO,BWE,water_cutoff_explanation,informational,yes,https://bwe.gov.lb/en/customer-services1/,district_or_affected_area_recommended,not_applicable,call_125_or_112_if_life_safety,SRC-BWE-FAQ,high,Official FAQ distinguishes no-prior-notice and prior-notice cutoff scenarios.
BWE-OMT-PAYMENT,BWE,bill_payment,partner_agent,yes,OMT_locations,required_fields_not_published,not_applicable,not_for_complaints,SRC-BWE-OMT,medium_high,Partner page says BWE annual water subscription dues can be settled through OMT locations but does not publish the exact payment lookup fields.
MEW-WATER-ESCALATION,MEW,water_policy_or_unresolved_escalation,policy_escalation,conditional,https://www.energyandwater.gov.lb/,case_summary_and_prior_entity_attempt_recommended,not_published,not_for_field_emergencies,SRC-MEW-DGI;SRC-MOEW-DGO,medium,MEW is oversight and policy context. Field complaints should go first to the regional water establishment.
MEW-CONTACT-FORM,MEW,ministry_contact,online_contact_form,yes,https://www.energyandwater.gov.lb/ar/contact,first_name;last_name;email;phone;subject;message,response_reference_not_published,not_for_field_emergencies,SRC-MEW-CONTACT,high,Official MEW contact page exposes contact form fields and ministry email/phones.
MEW-CLAIMS-FORM,MEW,ministry_claim_or_oversight_complaint,online_claims_form,conditional,https://www.energyandwater.gov.lb/ar/claims,first_name;father_name;last_name;address;phone;mobile;email;confidentiality_choice;violation_type;violation_extra_info,reference_policy_not_published,not_for_field_emergencies,SRC-MEW-CLAIMS,high,Use only for ministry-level claims or oversight complaints not ordinary outage dispatch.
LRA-CONTACT-FORM,LRA,irrigation_or_basin_boundary_contact,online_contact_form,conditional,https://www.litani.gov.lb/en-us/contact,first_name;last_name;email;subject;attachment;message,response_reference_not_published,not_for_field_emergencies,SRC-LRA-CONTACT,high,Use for LRA boundary authority contact after confirming likely LRA asset or Litani basin relevance.
