"pair_id","report_id_a","report_id_b","pair_label","cluster_id","rationale"
"PAIR-B001-0024","RPT-B001-015","RPT-B001-016","DUPLICATE","CLU-B001-004","Same physical incident cluster core reports"
"PAIR-B001-0025","RPT-B001-017","RPT-B001-018","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0026","RPT-B001-017","RPT-B001-019","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0027","RPT-B001-017","RPT-B001-020","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0028","RPT-B001-018","RPT-B001-019","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0029","RPT-B001-018","RPT-B001-020","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0030","RPT-B001-019","RPT-B001-020","DUPLICATE","CLU-B001-005","Same physical incident cluster core reports"
"PAIR-B001-0031","RPT-B001-017","RPT-B001-021","RELATED","CLU-B001-005","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0032","RPT-B001-018","RPT-B001-021","RELATED","CLU-B001-005","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0033","RPT-B001-019","RPT-B001-021","RELATED","CLU-B001-005","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0034","RPT-B001-020","RPT-B001-021","RELATED","CLU-B001-005","Same incident chain but different symptom, issue type, or downstream effect"
"PAIR-B001-0035","RPT-B001-022","RPT-B001-023","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0036","RPT-B001-022","RPT-B001-024","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0037","RPT-B001-022","RPT-B001-025","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0038","RPT-B001-023","RPT-B001-024","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0039","RPT-B001-023","RPT-B001-025","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0040","RPT-B001-024","RPT-B001-025","DUPLICATE","CLU-B001-006","Same physical incident cluster core reports"
"PAIR-B001-0041","RPT-B001-026","RPT-B001-027","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0042","RPT-B001-026","RPT-B001-028","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0043","RPT-B001-026","RPT-B001-029","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0044","RPT-B001-027","RPT-B001-028","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0045","RPT-B001-027","RPT-B001-029","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0046","RPT-B001-028","RPT-B001-029","DUPLICATE","CLU-B001-007","Same physical incident cluster core reports"
"PAIR-B001-0047","RPT-B001-030","RPT-B001-031","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0048","RPT-B001-030","RPT-B001-032","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0049","RPT-B001-030","RPT-B001-033","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0050","RPT-B001-031","RPT-B001-032","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0051","RPT-B001-031","RPT-B001-033","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0052","RPT-B001-032","RPT-B001-033","DUPLICATE","CLU-B001-008","Same physical incident cluster core reports"
"PAIR-B001-0053","RPT-B001-034","RPT-B001-035","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0054","RPT-B001-034","RPT-B001-036","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0055","RPT-B001-034","RPT-B001-037","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0056","RPT-B001-035","RPT-B001-036","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0057","RPT-B001-035","RPT-B001-037","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0058","RPT-B001-036","RPT-B001-037","DUPLICATE","CLU-B001-009","Same physical incident cluster core reports"
"PAIR-B001-0059","RPT-B001-038","RPT-B001-039","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0060","RPT-B001-038","RPT-B001-040","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0061","RPT-B001-038","RPT-B001-041","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0062","RPT-B001-039","RPT-B001-040","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0063","RPT-B001-039","RPT-B001-041","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0064","RPT-B001-040","RPT-B001-041","DUPLICATE","CLU-B001-010","Same physical incident cluster core reports"
"PAIR-B001-0065","RPT-B001-038","RPT-B001-042","HARD_NEGATIVE","CLU-B001-010","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0066","RPT-B001-039","RPT-B001-042","HARD_NEGATIVE","CLU-B001-010","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0067","RPT-B001-040","RPT-B001-042","HARD_NEGATIVE","CLU-B001-010","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0068","RPT-B001-041","RPT-B001-042","HARD_NEGATIVE","CLU-B001-010","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0069","RPT-B001-043","RPT-B001-044","DUPLICATE","CLU-B001-011","Same physical incident cluster core reports"
"PAIR-B001-0070","RPT-B001-043","RPT-B001-045","DUPLICATE","CLU-B001-011","Same physical incident cluster core reports"
"PAIR-B001-0071","RPT-B001-044","RPT-B001-045","DUPLICATE","CLU-B001-011","Same physical incident cluster core reports"
"PAIR-B001-0072","RPT-B001-046","RPT-B001-047","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0073","RPT-B001-046","RPT-B001-048","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0074","RPT-B001-046","RPT-B001-049","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0075","RPT-B001-047","RPT-B001-048","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0076","RPT-B001-047","RPT-B001-049","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0077","RPT-B001-048","RPT-B001-049","DUPLICATE","CLU-B001-012","Same physical incident cluster core reports"
"PAIR-B001-0078","RPT-B001-046","RPT-B001-050","HARD_NEGATIVE","CLU-B001-012","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0079","RPT-B001-047","RPT-B001-050","HARD_NEGATIVE","CLU-B001-012","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0080","RPT-B001-048","RPT-B001-050","HARD_NEGATIVE","CLU-B001-012","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0081","RPT-B001-049","RPT-B001-050","HARD_NEGATIVE","CLU-B001-012","Geographically plausible non-duplicate hard negative"
"PAIR-B001-0082","RPT-B001-001","RPT-B001-046","UNRELATED","","Same sector (ROADS) same issue_type (POTHOLE) different streets and severity — hardest IEP-2 negative: CLU-B001-001 Hamra MEDIUM vs CLU-B001-012 Downtown HIGH"
"PAIR-B001-0083","RPT-B001-026","RPT-B001-043","UNRELATED","","Same sector (FLOODING) different issue_type and district — CLU-B001-007 Gemmayze ROAD_FLOODED vs CLU-B001-011 Sanayeh BLOCKED_DRAIN"
"PAIR-B001-0084","RPT-B001-009","RPT-B001-034","UNRELATED","","Same sector (ELECTRICITY) different issue_type — CLU-B001-003 Bourj Hammoud EXPOSED_WIRE CRITICAL vs CLU-B001-009 Mazraa POWER_OUTAGE HIGH"
"PAIR-B001-0085","RPT-B001-013","RPT-B001-038","UNRELATED","","Same sector (WASTE) different issue_type and routing — CLU-B001-004 Verdun GARBAGE_NOT_COLLECTED MUN vs CLU-B001-010 Badaro ILLEGAL_DUMP MOE"
"PAIR-B001-0086","RPT-B001-005","RPT-B001-022","UNRELATED","","Same sector (WATER) different issue_type — CLU-B001-002 Achrafieh WATER_CUT vs CLU-B001-006 Ras Beirut SEWAGE_OVERFLOW; tests water sub-type discrimination"
"PAIR-B001-0087","RPT-B001-017","RPT-B001-001","UNRELATED","","Same sector (ROADS) different issue_type and severity — CLU-B001-005 Raouche ROAD_COLLAPSE CRITICAL vs CLU-B001-001 Hamra POTHOLE MEDIUM; same city, very different hazard"
"PAIR-B001-0088","RPT-B001-030","RPT-B001-017","UNRELATED","","Different sector — CLU-B001-008 Mar Mikhael SAFETY/STRUCTURAL_COLLAPSE vs CLU-B001-005 Raouche ROADS/ROAD_COLLAPSE; similar surface text but different routing targets (CD vs CDR)"
"PAIR-B001-0089","RPT-B001-051","RPT-B001-009","DUPLICATE","CLU-B001-003","Mixed-language duplicate of ORIGINAL exposed-wire report; tests multilingual dedup with French technical term (transformateur)"
"PAIR-B001-0090","RPT-B001-052","RPT-B001-005","DUPLICATE","CLU-B001-002","Mixed-language duplicate of ORIGINAL water-cut report; tests multilingual dedup with Arabizi+English+French code-switching"
PAIR-B001-0091,RPT-B001-053,RPT-B001-003,UNRELATED,,Arabizi SAFETY/FIRE (Hamra) vs arabizi ROADS/POTHOLE (Hamra); same district different sector — unrelated cross-sector boundary
PAIR-B001-0092,RPT-B001-061,RPT-B001-057,UNRELATED,,Arabizi FLOODING/BLOCKED_DRAIN vs arabizi WASTE/GARBAGE; both Arabizi same city area different sector/route — unrelated cross-sector boundary
PAIR-B001-0093,RPT-B001-053,RPT-B001-006,UNRELATED,,Arabizi SAFETY/FIRE (Hamra) vs arabizi WATER/WATER_CUT (Achrafieh); cross-sector cross-district — truly unrelated
PAIR-B001-0094,RPT-B001-057,RPT-B001-011,UNRELATED,,Arabizi WASTE/GARBAGE (Dahyeh) vs arabizi ELECTRICITY/EXPOSED_WIRE (Bourj Hammoud); cross-sector cross-district — truly unrelated
PAIR-B001-0095,RPT-B001-061,RPT-B001-019,UNRELATED,,Arabizi FLOODING/BLOCKED_DRAIN (Ras Beirut) vs arabizi ROADS/ROAD_COLLAPSE (Ashrafieh); cross-sector cross-district — truly unrelated
PAIR-B001-0096,RPT-B001-053,RPT-B001-044,UNRELATED,,Arabizi SAFETY/FIRE (Hamra) vs arabizi FLOODING/BLOCKED_DRAIN (Dahyeh); cross-sector cross-district — truly unrelated
PAIR-B001-0097,RPT-B001-057,RPT-B001-032,UNRELATED,,Arabizi WASTE/GARBAGE (Dahyeh) vs arabizi SAFETY/STRUCTURAL_COLLAPSE (Bourj Hammoud); cross-sector cross-district — truly unrelated
PAIR-B001-0098,RPT-B001-053,RPT-B001-054,DUPLICATE,CLU-B001-013,Same building fire in Hamra; Arabizi panic shorthand duplicate
PAIR-B001-0099,RPT-B001-053,RPT-B001-055,DUPLICATE,CLU-B001-013,Same building fire in Hamra; French-mixed duplicate
PAIR-B001-0100,RPT-B001-053,RPT-B001-056,HARD_NEGATIVE,CLU-B001-013,Same SAFETY sector but gas leak in Raouche is not the Hamra building fire
PAIR-B001-0101,RPT-B001-057,RPT-B001-058,DUPLICATE,CLU-B001-014,Same Verdun waste incident; overflowing-bin wording duplicates garbage-not-collected complaint
PAIR-B001-0102,RPT-B001-057,RPT-B001-059,DUPLICATE,CLU-B001-014,Same Verdun waste incident; French-Arabizi code-switch duplicate
PAIR-B001-0103,RPT-B001-057,RPT-B001-060,HARD_NEGATIVE,CLU-B001-014,Same broad WASTE sector but illegal dump in Mazraa is not the Verdun collection incident
PAIR-B001-0104,RPT-B001-061,RPT-B001-062,DUPLICATE,CLU-B001-015,Same Ras Beirut blocked-drain incident with panic shorthand and digit noise
PAIR-B001-0105,RPT-B001-061,RPT-B001-063,DUPLICATE,CLU-B001-015,Same Ras Beirut blocked-drain incident with reordered Arabizi phrasing
PAIR-B001-0106,RPT-B001-061,RPT-B001-064,RELATED,CLU-B001-015,Blocked drain creates adjacent road-flooding effect; related but not exact duplicate
PAIR-B001-0107,RPT-B001-061,RPT-B001-065,HARD_NEGATIVE,CLU-B001-015,Nearby English blocked-drain report used as hard negative for cross-language boundary testing
