"report_id","cluster_id","language","raw_text","normalized_text","normalization_applied","district_code","lat","lon","sector","issue_type","severity","route_entity","priority_label","priority_reason","hitl_required","public_safety","image_label","image_consistent","duplicate_role","hard_negative_for_cluster_id","created_at_offset_minutes","labeler_id","reviewer_id","review_status","notes"
"RPT-B001-038","CLU-B001-010","ar","إلقاء مخلفات بناء وأكياس نفايات في الأرض الخالية في بدارو، تلويث غير قانوني يزداد يوماً بعد يوم","إلقاء مخلفات بناء وأكياس نفايات في الأرض الخالية في بدارو، تلويث غير قانوني يزداد يوماً بعد يوم","false","BEI_BADARO","33.879500","35.511400","WASTE","ILLEGAL_DUMP","HIGH","MOE","2","HIGH illegal-dump cluster routed to Ministry of Environment","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; MOE for illegal dumping"
"RPT-B001-039","CLU-B001-010","en","Illegal dumping of construction rubble and household waste in empty lot in Badaro. Pile growing daily. Clear environmental violation.","Illegal dumping of construction rubble and household waste in empty lot in Badaro. Pile growing daily. Clear environmental violation.","false","BEI_BADARO","33.879850","35.511050","WASTE","ILLEGAL_DUMP","HIGH","MOE","2","HIGH illegal-dump cluster routed to Ministry of Environment","false","false","NONE","N/A","DUPLICATE","","60","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-040","CLU-B001-010","arabizi","3am yroumo nfayat w nkesh bine bel ard l khali bi badaro, kuumeh kbire 3am tikbar kell yom w bi 7ajit 7all","عم يرموا نفايات وإنكاش بناء في الأرض الخالية في بدارو، كومة كبيرة عم تكبر كل يوم وبحاجة لحل","true","BEI_BADARO","33.879150","35.511750","WASTE","ILLEGAL_DUMP","HIGH","MOE","2","HIGH illegal-dump cluster routed to Ministry of Environment","false","false","NONE","N/A","DUPLICATE","","150","TEAM-01","CODEX-A2","APPROVED","A2 technical review: corrected الخالي to الخالية; illegal-dump semantics and MOE route approved"
"RPT-B001-041","CLU-B001-010","fr","Décharge sauvage de déblais de construction et d'ordures ménagères dans un terrain vague à Badaro. Le tas grossit chaque jour.","Décharge sauvage de déblais de construction et d'ordures ménagères dans un terrain vague à Badaro. Le tas grossit chaque jour.","false","BEI_BADARO","33.879950","35.511850","WASTE","ILLEGAL_DUMP","HIGH","MOE","2","HIGH illegal-dump cluster routed to Ministry of Environment","false","false","NONE","N/A","DUPLICATE","","240","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-042","","ar","الحاوية أمام مبنى رقم 40 في بدارو مكسورة منذ أسبوعين، يرجى الاستبدال في أقرب وقت","الحاوية أمام مبنى رقم 40 في بدارو مكسورة منذ أسبوعين، يرجى الاستبدال في أقرب وقت","false","BEI_BADARO","33.881000","35.512500","WASTE","DAMAGED_BIN","LOW","MUN","5","LOW damaged-bin hard negative for illegal-dump cluster","false","false","NONE","N/A","NOISE","CLU-B001-010","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Hard negative for CLU-B001-010; same area but different issue type (damaged bin vs illegal dump)"
"RPT-B001-043","CLU-B001-011","ar","البالوعة في شارع الصنائع مسدودة، المياه تتراكم على الرصيف وتمنع المشاة من المرور","البالوعة في شارع الصنائع مسدودة، المياه تتراكم على الرصيف وتمنع المشاة من المرور","false","BEI_SANAYEH","33.883900","35.488200","FLOODING","BLOCKED_DRAIN","MEDIUM","MUN","3","MEDIUM blocked-drain maintenance cluster","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; MUN for drainage maintenance"
"RPT-B001-044","CLU-B001-011","arabizi","balou3a bi share3 sanayeh masduude, may 3am tit3abba 3al rasif w ma fi 7ada yemshi","بالوعة في شارع الصنايع مسدودة، مي عم تتعبى على الرصيف وما في حدا قادر يمشي","true","BEI_SANAYEH","33.884250","35.487850","FLOODING","BLOCKED_DRAIN","MEDIUM","MUN","3","MEDIUM blocked-drain maintenance cluster","false","false","NONE","N/A","DUPLICATE","","45","TEAM-01","CODEX-A2","APPROVED","A2 technical review: corrected balioa to balou3a using Lebanese drain transliteration; blocked-drain semantics approved"
"RPT-B001-045","CLU-B001-011","fr","Bouche d'égout bouchée rue Sanayeh. L'eau stagnante envahit le trottoir et empêche les piétons de circuler normalement.","Bouche d'égout bouchée rue Sanayeh. L'eau stagnante envahit le trottoir et empêche les piétons de circuler normalement.","false","BEI_SANAYEH","33.883550","35.488550","FLOODING","BLOCKED_DRAIN","MEDIUM","MUN","3","MEDIUM blocked-drain maintenance cluster","false","false","NONE","N/A","DUPLICATE","","90","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-046","CLU-B001-012","en","Dangerous deep pothole on the ring road near Grand Serail in downtown Beirut. Almost blew a tire driving at slow speed.","Dangerous deep pothole on the ring road near Grand Serail in downtown Beirut. Almost blew a tire driving at slow speed.","false","BEI_DOWNTOWN","33.888800","35.502600","ROADS","POTHOLE","HIGH","MUN","2","HIGH deep-pothole cluster with vehicle-damage evidence","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-047","CLU-B001-012","ar","حفرة عميقة وخطيرة على الطريق الدائري بجانب السراي الكبير في وسط بيروت، تسببت في إتلاف إطار سيارة","حفرة عميقة وخطيرة على الطريق الدائري بجانب السراي الكبير في وسط بيروت، تسببت في إتلاف إطار سيارة","false","BEI_DOWNTOWN","33.889150","35.502250","ROADS","POTHOLE","HIGH","MUN","2","HIGH deep-pothole cluster with vehicle-damage evidence","false","false","NONE","N/A","DUPLICATE","","30","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-048","CLU-B001-012","fr","Très grand nid-de-poule sur la route du Centre-Ville près du Grand Sérail. Profond et très dangereux, a abîmé un pneu.","Très grand nid-de-poule sur la route du Centre-Ville près du Grand Sérail. Profond et très dangereux, a abîmé un pneu.","false","BEI_DOWNTOWN","33.888450","35.502950","ROADS","POTHOLE","HIGH","MUN","2","HIGH deep-pothole cluster with vehicle-damage evidence","false","false","NONE","N/A","DUPLICATE","","65","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
